"Time","{client_name=""besu"", client_type=""execution"", instance=""el-01-besu-lighthouse:9001"", job=""el-01-besu-lighthouse"", service=""el-01-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-02-besu-lighthouse:9001"", job=""el-02-besu-lighthouse"", service=""el-02-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-03-besu-lighthouse:9001"", job=""el-03-besu-lighthouse"", service=""el-03-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-04-besu-lighthouse:9001"", job=""el-04-besu-lighthouse"", service=""el-04-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-05-besu-lighthouse:9001"", job=""el-05-besu-lighthouse"", service=""el-05-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-06-besu-lighthouse:9001"", job=""el-06-besu-lighthouse"", service=""el-06-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-07-besu-lighthouse:9001"", job=""el-07-besu-lighthouse"", service=""el-07-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-08-besu-lighthouse:9001"", job=""el-08-besu-lighthouse"", service=""el-08-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-09-besu-lighthouse:9001"", job=""el-09-besu-lighthouse"", service=""el-09-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-10-besu-lighthouse:9001"", job=""el-10-besu-lighthouse"", service=""el-10-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-06-besu-lighthouse:9001"", job=""el-06-besu-lighthouse"", service=""el-06-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-08-besu-lighthouse:9001"", job=""el-08-besu-lighthouse"", service=""el-08-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-09-besu-lighthouse:9001"", job=""el-09-besu-lighthouse"", service=""el-09-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-01-besu-lighthouse:9001"", job=""el-01-besu-lighthouse"", service=""el-01-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-04-besu-lighthouse:9001"", job=""el-04-besu-lighthouse"", service=""el-04-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-03-besu-lighthouse:9001"", job=""el-03-besu-lighthouse"", service=""el-03-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-10-besu-lighthouse:9001"", job=""el-10-besu-lighthouse"", service=""el-10-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-05-besu-lighthouse:9001"", job=""el-05-besu-lighthouse"", service=""el-05-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-07-besu-lighthouse:9001"", job=""el-07-besu-lighthouse"", service=""el-07-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-02-besu-lighthouse:9001"", job=""el-02-besu-lighthouse"", service=""el-02-besu-lighthouse""}"
2025-11-16 03:37:15,,,,,,2.13 vCPU,,1.79 vCPU,,,,,,,1.94 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:37:30,6.98 vCPU,3.35 vCPU,3.30 vCPU,3.28 vCPU,3.02 vCPU,4.77 vCPU,4.36 vCPU,4.25 vCPU,3.59 vCPU,4.37 vCPU,6.02 vCPU,4.12 vCPU,3.92 vCPU,2.86 vCPU,4.39 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:37:45,16.6 vCPU,9.18 vCPU,9.80 vCPU,7.56 vCPU,9.88 vCPU,9.98 vCPU,8.80 vCPU,9.27 vCPU,12.8 vCPU,9.49 vCPU,9.67 vCPU,8.98 vCPU,8.61 vCPU,9.04 vCPU,9.77 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:38:00,29.5 vCPU,17.7 vCPU,18 vCPU,13.4 vCPU,15.3 vCPU,13.7 vCPU,15.4 vCPU,12.6 vCPU,17.7 vCPU,16.5 vCPU,21.3 vCPU,14.3 vCPU,14.0 vCPU,14.5 vCPU,14.9 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:38:15,38.8 vCPU,22.6 vCPU,23.4 vCPU,23.2 vCPU,23.6 vCPU,19.9 vCPU,19.7 vCPU,17.7 vCPU,21.6 vCPU,20.1 vCPU,25.7 vCPU,18.3 vCPU,18.8 vCPU,19.5 vCPU,20.0 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:38:30,37.3 vCPU,24.5 vCPU,22.7 vCPU,22.8 vCPU,24.8 vCPU,19.2 vCPU,23.3 vCPU,17.9 vCPU,18.7 vCPU,20.5 vCPU,25.3 vCPU,19.2 vCPU,21.1 vCPU,20.2 vCPU,24.4 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:38:45,28.2 vCPU,20.1 vCPU,23.4 vCPU,21.2 vCPU,21.6 vCPU,17.6 vCPU,20.9 vCPU,17.3 vCPU,16.6 vCPU,17.7 vCPU,16.7 vCPU,18.6 vCPU,19.1 vCPU,19.6 vCPU,20.1 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:39:00,24.4 vCPU,15.9 vCPU,19.1 vCPU,12.0 vCPU,13.8 vCPU,11.2 vCPU,17.0 vCPU,12.3 vCPU,15.3 vCPU,13.5 vCPU,13.0 vCPU,14.0 vCPU,13.7 vCPU,15.8 vCPU,14.7 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:39:15,19.4 vCPU,12.0 vCPU,16.5 vCPU,10.4 vCPU,8.27 vCPU,11.0 vCPU,11.2 vCPU,10.8 vCPU,13.4 vCPU,14.2 vCPU,11.2 vCPU,10.5 vCPU,9.60 vCPU,12.0 vCPU,7.40 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:39:30,16.5 vCPU,12.8 vCPU,9.47 vCPU,10.8 vCPU,7.77 vCPU,10.9 vCPU,11.3 vCPU,9.43 vCPU,11.2 vCPU,13.0 vCPU,8.88 vCPU,9.00 vCPU,9.58 vCPU,9.25 vCPU,8.82 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:39:45,9.77 vCPU,12.9 vCPU,9.65 vCPU,10.4 vCPU,8.58 vCPU,10.5 vCPU,10.5 vCPU,16.0 vCPU,8.87 vCPU,14.2 vCPU,7.13 vCPU,9.17 vCPU,9.48 vCPU,9.92 vCPU,8.85 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:40:00,11.4 vCPU,11.4 vCPU,9.60 vCPU,10.9 vCPU,8.05 vCPU,8.50 vCPU,10.6 vCPU,15.2 vCPU,10.4 vCPU,10.0 vCPU,7.38 vCPU,8.73 vCPU,8.58 vCPU,9.12 vCPU,8.43 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:40:15,12.4 vCPU,9.73 vCPU,9.18 vCPU,7.68 vCPU,7.48 vCPU,7.00 vCPU,8.63 vCPU,14.8 vCPU,9.42 vCPU,7.88 vCPU,7.30 vCPU,7.30 vCPU,7.23 vCPU,8.87 vCPU,7.33 vCPU,,,,,,,,,,,,,,,
2025-11-16 03:40:30,12.1 vCPU,9.93 vCPU,9.00 vCPU,7.87 vCPU,6.18 vCPU,7.77 vCPU,9.92 vCPU,8.00 vCPU,9.07 vCPU,7.30 vCPU,8.13 vCPU,7.68 vCPU,9.23 vCPU,7.28 vCPU,7.77 vCPU,,,,,,,,,,,,,,,
