"Time","Value"
2025-11-16 03:37:00,1000000000 Gwei
2025-11-16 03:37:15,1000000000 Gwei
2025-11-16 03:37:30,1000000000 Gwei
2025-11-16 03:37:45,1000000000 Gwei
2025-11-16 03:38:00,1000000000 Gwei
2025-11-16 03:38:15,1000000000 Gwei
2025-11-16 03:38:30,1000000000 Gwei
2025-11-16 03:38:45,1000000000 Gwei
2025-11-16 03:39:00,1000000000 Gwei
2025-11-16 03:39:15,1000000000 Gwei
2025-11-16 03:39:30,1000000000 Gwei
2025-11-16 03:39:45,1000000000 Gwei
2025-11-16 03:40:00,1000000000 Gwei
2025-11-16 03:40:15,1000000000 Gwei
2025-11-16 03:40:30,1000000000 Gwei
2025-11-16 03:40:45,1000000000 Gwei
2025-11-16 03:41:00,1000000000 Gwei
2025-11-16 03:41:15,1000000000 Gwei
2025-11-16 03:41:30,1000000000 Gwei
2025-11-16 03:41:45,1000000000 Gwei
2025-11-16 03:42:00,1000000000 Gwei
2025-11-16 03:42:15,1000000000 Gwei
2025-11-16 03:42:30,1000000000 Gwei
2025-11-16 03:42:45,1000000000 Gwei
2025-11-16 03:43:00,1000000000 Gwei
2025-11-16 03:43:15,1000000000 Gwei
2025-11-16 03:43:30,1000000000 Gwei
2025-11-16 03:43:45,1000000000 Gwei
2025-11-16 03:44:00,1000000000 Gwei
2025-11-16 03:44:15,1000000000 Gwei
2025-11-16 03:44:30,1000000000 Gwei
2025-11-16 03:44:45,1000000000 Gwei
2025-11-16 03:45:00,1000000000 Gwei
2025-11-16 03:45:15,1000000000 Gwei
2025-11-16 03:45:30,1000000000 Gwei
2025-11-16 03:45:45,1000000000 Gwei
2025-11-16 03:46:00,1000000000 Gwei
2025-11-16 03:46:15,1000000000 Gwei
2025-11-16 03:46:30,1000000000 Gwei
2025-11-16 03:46:45,1000000000 Gwei
2025-11-16 03:47:00,1000000000 Gwei
2025-11-16 03:47:15,1000000000 Gwei
2025-11-16 03:47:30,1000000000 Gwei
2025-11-16 03:47:45,1000000000 Gwei
2025-11-16 03:48:00,1000000000 Gwei
2025-11-16 03:48:15,1000000000 Gwei
2025-11-16 03:48:30,1000000000 Gwei
2025-11-16 03:48:45,1000000000 Gwei
2025-11-16 03:49:00,1000000000 Gwei
2025-11-16 03:49:15,1000000000 Gwei
2025-11-16 03:49:30,1000000000 Gwei
2025-11-16 03:49:45,1000000000 Gwei
2025-11-16 03:50:00,1000000000 Gwei
2025-11-16 03:50:15,1000000000 Gwei
2025-11-16 03:50:30,1000000000 Gwei
2025-11-16 03:50:45,1000000000 Gwei
2025-11-16 03:51:00,1000000000 Gwei
2025-11-16 03:51:15,1000000000 Gwei
2025-11-16 03:51:30,1000000000 Gwei
2025-11-16 03:51:45,1000000000 Gwei
2025-11-16 03:52:00,1000000000 Gwei
2025-11-16 03:52:15,1000000000 Gwei
2025-11-16 03:52:30,1000000000 Gwei
