"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}"
2025-11-16 03:37:15,3.32 kb/s,6.42 kb/s,,3.36 kb/s,3.27 kb/s,6.55 kb/s,5.53 kb/s,,6.48 kb/s,,,,,5.71 kb/s,,,,,,,,,,,,,,,,
2025-11-16 03:37:30,43.5 kb/s,39.0 kb/s,49.6 kb/s,42.7 kb/s,44.8 kb/s,50.1 kb/s,50.2 kb/s,55.0 kb/s,38.8 kb/s,6.72 kb/s,52.0 kb/s,41.3 kb/s,49.4 kb/s,45.9 kb/s,67.7 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:37:45,89.6 kb/s,86.4 kb/s,75.6 kb/s,87.6 kb/s,94.9 kb/s,92.2 kb/s,76.8 kb/s,92.5 kb/s,71.4 kb/s,88.6 kb/s,72.2 kb/s,67.8 kb/s,80.8 kb/s,74.9 kb/s,95.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:38:00,124 kb/s,118 kb/s,119 kb/s,123 kb/s,126 kb/s,119 kb/s,103 kb/s,135 kb/s,96.9 kb/s,115 kb/s,118 kb/s,98.9 kb/s,117 kb/s,101 kb/s,130 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:38:15,151 kb/s,158 kb/s,152 kb/s,155 kb/s,161 kb/s,151 kb/s,133 kb/s,172 kb/s,129 kb/s,144 kb/s,147 kb/s,145 kb/s,144 kb/s,137 kb/s,167 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:38:30,189 kb/s,185 kb/s,194 kb/s,197 kb/s,201 kb/s,176 kb/s,176 kb/s,216 kb/s,156 kb/s,175 kb/s,183 kb/s,176 kb/s,194 kb/s,173 kb/s,195 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:38:45,256 kb/s,234 kb/s,227 kb/s,254 kb/s,246 kb/s,214 kb/s,204 kb/s,253 kb/s,199 kb/s,217 kb/s,214 kb/s,200 kb/s,224 kb/s,209 kb/s,219 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:39:00,289 kb/s,265 kb/s,272 kb/s,289 kb/s,278 kb/s,240 kb/s,234 kb/s,287 kb/s,233 kb/s,243 kb/s,263 kb/s,235 kb/s,263 kb/s,240 kb/s,256 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:39:15,328 kb/s,298 kb/s,301 kb/s,329 kb/s,307 kb/s,277 kb/s,273 kb/s,311 kb/s,272 kb/s,272 kb/s,292 kb/s,279 kb/s,293 kb/s,274 kb/s,304 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:39:30,376 kb/s,326 kb/s,342 kb/s,367 kb/s,343 kb/s,303 kb/s,318 kb/s,349 kb/s,302 kb/s,302 kb/s,331 kb/s,312 kb/s,341 kb/s,314 kb/s,340 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:39:45,438 kb/s,371 kb/s,370 kb/s,421 kb/s,389 kb/s,346 kb/s,351 kb/s,382 kb/s,353 kb/s,345 kb/s,359 kb/s,345 kb/s,373 kb/s,348 kb/s,366 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:40:00,479 kb/s,402 kb/s,418 kb/s,453 kb/s,423 kb/s,376 kb/s,383 kb/s,423 kb/s,380 kb/s,374 kb/s,412 kb/s,385 kb/s,410 kb/s,381 kb/s,408 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:40:15,518 kb/s,434 kb/s,450 kb/s,491 kb/s,454 kb/s,413 kb/s,421 kb/s,454 kb/s,417 kb/s,408 kb/s,447 kb/s,430 kb/s,441 kb/s,417 kb/s,454 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:40:30,566 kb/s,465 kb/s,487 kb/s,528 kb/s,490 kb/s,442 kb/s,466 kb/s,487 kb/s,448 kb/s,440 kb/s,490 kb/s,466 kb/s,492 kb/s,455 kb/s,488 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:40:45,632 kb/s,515 kb/s,517 kb/s,576 kb/s,539 kb/s,489 kb/s,499 kb/s,525 kb/s,491 kb/s,486 kb/s,520 kb/s,497 kb/s,524 kb/s,489 kb/s,521 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:41:00,671 kb/s,545 kb/s,562 kb/s,610 kb/s,571 kb/s,520 kb/s,526 kb/s,565 kb/s,522 kb/s,514 kb/s,565 kb/s,534 kb/s,563 kb/s,516 kb/s,558 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:41:15,707 kb/s,585 kb/s,588 kb/s,647 kb/s,604 kb/s,552 kb/s,562 kb/s,592 kb/s,562 kb/s,544 kb/s,597 kb/s,584 kb/s,590 kb/s,552 kb/s,607 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:41:30,745 kb/s,616 kb/s,628 kb/s,691 kb/s,641 kb/s,578 kb/s,602 kb/s,630 kb/s,596 kb/s,575 kb/s,634 kb/s,621 kb/s,639 kb/s,593 kb/s,642 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:41:45,807 kb/s,661 kb/s,662 kb/s,743 kb/s,690 kb/s,619 kb/s,634 kb/s,669 kb/s,644 kb/s,615 kb/s,666 kb/s,654 kb/s,670 kb/s,633 kb/s,669 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:42:00,851 kb/s,688 kb/s,705 kb/s,780 kb/s,719 kb/s,648 kb/s,665 kb/s,713 kb/s,679 kb/s,640 kb/s,716 kb/s,694 kb/s,710 kb/s,662 kb/s,705 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:42:15,883 kb/s,720 kb/s,723 kb/s,810 kb/s,739 kb/s,666 kb/s,685 kb/s,729 kb/s,705 kb/s,669 kb/s,731 kb/s,733 kb/s,717 kb/s,685 kb/s,726 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:42:30,883 kb/s,703 kb/s,738 kb/s,807 kb/s,728 kb/s,651 kb/s,701 kb/s,732 kb/s,703 kb/s,647 kb/s,745 kb/s,743 kb/s,738 kb/s,694 kb/s,734 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:42:45,909 kb/s,724 kb/s,729 kb/s,830 kb/s,744 kb/s,666 kb/s,709 kb/s,734 kb/s,733 kb/s,668 kb/s,730 kb/s,744 kb/s,733 kb/s,705 kb/s,731 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:43:00,924 kb/s,716 kb/s,741 kb/s,826 kb/s,743 kb/s,666 kb/s,708 kb/s,732 kb/s,732 kb/s,671 kb/s,753 kb/s,742 kb/s,739 kb/s,699 kb/s,734 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:43:15,926 kb/s,728 kb/s,735 kb/s,816 kb/s,735 kb/s,674 kb/s,700 kb/s,721 kb/s,740 kb/s,674 kb/s,745 kb/s,767 kb/s,723 kb/s,697 kb/s,750 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:43:30,906 kb/s,710 kb/s,738 kb/s,790 kb/s,729 kb/s,666 kb/s,717 kb/s,723 kb/s,721 kb/s,666 kb/s,749 kb/s,780 kb/s,746 kb/s,701 kb/s,762 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:43:45,948 kb/s,721 kb/s,722 kb/s,795 kb/s,751 kb/s,682 kb/s,719 kb/s,735 kb/s,732 kb/s,691 kb/s,730 kb/s,780 kb/s,742 kb/s,705 kb/s,755 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:44:00,952 kb/s,719 kb/s,742 kb/s,788 kb/s,753 kb/s,671 kb/s,705 kb/s,753 kb/s,725 kb/s,693 kb/s,753 kb/s,773 kb/s,751 kb/s,701 kb/s,747 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:44:15,942 kb/s,729 kb/s,729 kb/s,783 kb/s,745 kb/s,680 kb/s,706 kb/s,747 kb/s,733 kb/s,694 kb/s,748 kb/s,796 kb/s,737 kb/s,696 kb/s,755 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:44:30,948 kb/s,718 kb/s,747 kb/s,781 kb/s,943 kb/s,671 kb/s,724 kb/s,948 kb/s,737 kb/s,692 kb/s,761 kb/s,805 kb/s,763 kb/s,719 kb/s,780 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:44:45,976 kb/s,757 kb/s,731 kb/s,799 kb/s,966 kb/s,707 kb/s,722 kb/s,946 kb/s,770 kb/s,737 kb/s,763 kb/s,813 kb/s,774 kb/s,728 kb/s,772 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:45:00,981 kb/s,756 kb/s,745 kb/s,795 kb/s,1.16 Mb/s,700 kb/s,715 kb/s,958 kb/s,776 kb/s,737 kb/s,797 kb/s,1.03 Mb/s,794 kb/s,736 kb/s,775 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:45:15,998 kb/s,768 kb/s,749 kb/s,790 kb/s,1.19 Mb/s,714 kb/s,712 kb/s,964 kb/s,989 kb/s,755 kb/s,790 kb/s,1.06 Mb/s,809 kb/s,738 kb/s,791 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:45:30,985 kb/s,755 kb/s,758 kb/s,797 kb/s,1.39 Mb/s,707 kb/s,928 kb/s,989 kb/s,1.01 Mb/s,800 kb/s,801 kb/s,1.08 Mb/s,836 kb/s,745 kb/s,796 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:45:45,1.01 Mb/s,776 kb/s,760 kb/s,821 kb/s,1.44 Mb/s,748 kb/s,939 kb/s,999 kb/s,1.03 Mb/s,829 kb/s,984 kb/s,1.09 Mb/s,834 kb/s,779 kb/s,802 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:46:00,1.05 Mb/s,791 kb/s,785 kb/s,819 kb/s,1.46 Mb/s,757 kb/s,950 kb/s,1.04 Mb/s,1.03 Mb/s,851 kb/s,1.01 Mb/s,1.10 Mb/s,1.06 Mb/s,775 kb/s,793 kb/s,,,,,,,,,,,,,,,
2025-11-16 03:46:15,1.06 Mb/s,796 kb/s,773 kb/s,808 kb/s,1.47 Mb/s,770 kb/s,971 kb/s,1.05 Mb/s,1.24 Mb/s,852 kb/s,1.01 Mb/s,1.13 Mb/s,1.06 Mb/s,782 kb/s,811 kb/s,,,,,,,,,,,,,,,
