"Time","{client_name=""besu"", client_type=""execution"", instance=""el-01-besu-lighthouse:9001"", job=""el-01-besu-lighthouse"", service=""el-01-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-02-besu-lighthouse:9001"", job=""el-02-besu-lighthouse"", service=""el-02-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-03-besu-lighthouse:9001"", job=""el-03-besu-lighthouse"", service=""el-03-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-04-besu-lighthouse:9001"", job=""el-04-besu-lighthouse"", service=""el-04-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-05-besu-lighthouse:9001"", job=""el-05-besu-lighthouse"", service=""el-05-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-06-besu-lighthouse:9001"", job=""el-06-besu-lighthouse"", service=""el-06-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-07-besu-lighthouse:9001"", job=""el-07-besu-lighthouse"", service=""el-07-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-08-besu-lighthouse:9001"", job=""el-08-besu-lighthouse"", service=""el-08-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-09-besu-lighthouse:9001"", job=""el-09-besu-lighthouse"", service=""el-09-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-10-besu-lighthouse:9001"", job=""el-10-besu-lighthouse"", service=""el-10-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-02-besu-lighthouse:9001"", job=""el-02-besu-lighthouse"", service=""el-02-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-05-besu-lighthouse:9001"", job=""el-05-besu-lighthouse"", service=""el-05-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-08-besu-lighthouse:9001"", job=""el-08-besu-lighthouse"", service=""el-08-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-03-besu-lighthouse:9001"", job=""el-03-besu-lighthouse"", service=""el-03-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-09-besu-lighthouse:9001"", job=""el-09-besu-lighthouse"", service=""el-09-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-06-besu-lighthouse:9001"", job=""el-06-besu-lighthouse"", service=""el-06-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-10-besu-lighthouse:9001"", job=""el-10-besu-lighthouse"", service=""el-10-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-04-besu-lighthouse:9001"", job=""el-04-besu-lighthouse"", service=""el-04-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-07-besu-lighthouse:9001"", job=""el-07-besu-lighthouse"", service=""el-07-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-01-besu-lighthouse:9001"", job=""el-01-besu-lighthouse"", service=""el-01-besu-lighthouse""}"
2025-11-16 04:01:15,,2.87 vCPU,7.56 vCPU,,3.21 vCPU,2.80 vCPU,,3.20 vCPU,3.60 vCPU,2.65 vCPU,2.99 vCPU,2.40 vCPU,2.87 vCPU,4.02 vCPU,2.74 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:01:30,9.00 vCPU,5.74 vCPU,9.70 vCPU,7.58 vCPU,11.0 vCPU,7.90 vCPU,6.26 vCPU,6.06 vCPU,7.56 vCPU,7.35 vCPU,6.81 vCPU,6.34 vCPU,6.65 vCPU,6.38 vCPU,7.30 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:01:45,22.0 vCPU,10.9 vCPU,14.4 vCPU,14.2 vCPU,14.4 vCPU,14.8 vCPU,11.9 vCPU,11.0 vCPU,12.5 vCPU,14.2 vCPU,13.5 vCPU,10.1 vCPU,12.7 vCPU,10.2 vCPU,14.1 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:02:00,27.8 vCPU,16.3 vCPU,17.7 vCPU,15.9 vCPU,17.2 vCPU,21.1 vCPU,14.2 vCPU,15.2 vCPU,26.9 vCPU,18.7 vCPU,18.5 vCPU,14.7 vCPU,17.5 vCPU,18.4 vCPU,19.2 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:02:15,33.4 vCPU,23.3 vCPU,22.1 vCPU,20.6 vCPU,18 vCPU,20.0 vCPU,18.9 vCPU,25.5 vCPU,27.7 vCPU,24.2 vCPU,19.1 vCPU,20.1 vCPU,19.4 vCPU,21.5 vCPU,18.3 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:02:30,33.2 vCPU,25.5 vCPU,21.8 vCPU,22.0 vCPU,17.5 vCPU,19.4 vCPU,21.0 vCPU,23.8 vCPU,25.9 vCPU,21.1 vCPU,17.6 vCPU,20.5 vCPU,18.3 vCPU,20.5 vCPU,18.0 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:02:45,28.6 vCPU,22.3 vCPU,17.6 vCPU,20.2 vCPU,16.3 vCPU,13.5 vCPU,18.8 vCPU,23.2 vCPU,13.4 vCPU,17.5 vCPU,18.9 vCPU,18.0 vCPU,15.5 vCPU,12.0 vCPU,13.5 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:03:00,21.9 vCPU,16.1 vCPU,13.5 vCPU,14.8 vCPU,10.7 vCPU,12.2 vCPU,13.7 vCPU,12.3 vCPU,11.1 vCPU,9.48 vCPU,16.6 vCPU,11.4 vCPU,12.9 vCPU,9.30 vCPU,12.0 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:03:15,14.1 vCPU,12.0 vCPU,11.9 vCPU,10.6 vCPU,10.4 vCPU,9.98 vCPU,13.5 vCPU,12.7 vCPU,12.7 vCPU,8.65 vCPU,13.8 vCPU,10.0 vCPU,10.6 vCPU,8.22 vCPU,9.25 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:03:30,16.7 vCPU,11.5 vCPU,11.9 vCPU,10.6 vCPU,10.1 vCPU,13.4 vCPU,12.5 vCPU,11.9 vCPU,11.0 vCPU,7.85 vCPU,7.40 vCPU,9.35 vCPU,9.12 vCPU,8.60 vCPU,9.55 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:03:45,16.1 vCPU,10.4 vCPU,11.2 vCPU,9.52 vCPU,9.62 vCPU,12.3 vCPU,12.1 vCPU,11.7 vCPU,10.4 vCPU,6.95 vCPU,7.62 vCPU,8.82 vCPU,9.02 vCPU,7.00 vCPU,9.32 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:04:00,15.3 vCPU,9.00 vCPU,11.5 vCPU,14.2 vCPU,7.98 vCPU,10.5 vCPU,8.08 vCPU,9.18 vCPU,7.90 vCPU,6.35 vCPU,7.50 vCPU,7.32 vCPU,8.40 vCPU,7.42 vCPU,9.17 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:04:15,11.1 vCPU,9.78 vCPU,10.5 vCPU,14.9 vCPU,7.55 vCPU,7.58 vCPU,8.05 vCPU,8.33 vCPU,7.53 vCPU,6.90 vCPU,7.38 vCPU,11.3 vCPU,8.55 vCPU,7.28 vCPU,8.23 vCPU,,,,,,,,,,,,,,,
