"Time","Value"
2025-11-16 04:01:00,1000000000 Gwei
2025-11-16 04:01:15,1000000000 Gwei
2025-11-16 04:01:30,1000000000 Gwei
2025-11-16 04:01:45,1000000000 Gwei
2025-11-16 04:02:00,1000000000 Gwei
2025-11-16 04:02:15,1000000000 Gwei
2025-11-16 04:02:30,1000000000 Gwei
2025-11-16 04:02:45,1000000000 Gwei
2025-11-16 04:03:00,1000000000 Gwei
2025-11-16 04:03:15,1000000000 Gwei
2025-11-16 04:03:30,1000000000 Gwei
2025-11-16 04:03:45,1000000000 Gwei
2025-11-16 04:04:00,1000000000 Gwei
2025-11-16 04:04:15,1000000000 Gwei
2025-11-16 04:04:30,1000000000 Gwei
2025-11-16 04:04:45,1000000000 Gwei
2025-11-16 04:05:00,1000000000 Gwei
2025-11-16 04:05:15,1000000000 Gwei
2025-11-16 04:05:30,1000000000 Gwei
2025-11-16 04:05:45,1000000000 Gwei
2025-11-16 04:06:00,1000000000 Gwei
2025-11-16 04:06:15,1000000000 Gwei
2025-11-16 04:06:30,1000000000 Gwei
2025-11-16 04:06:45,1000000000 Gwei
2025-11-16 04:07:00,1000000000 Gwei
2025-11-16 04:07:15,1000000000 Gwei
2025-11-16 04:07:30,1000000000 Gwei
2025-11-16 04:07:45,1000000000 Gwei
2025-11-16 04:08:00,1000000000 Gwei
2025-11-16 04:08:15,1000000000 Gwei
2025-11-16 04:08:30,1000000000 Gwei
2025-11-16 04:08:45,1000000000 Gwei
2025-11-16 04:09:00,1000000000 Gwei
2025-11-16 04:09:15,1000000000 Gwei
2025-11-16 04:09:30,1000000000 Gwei
2025-11-16 04:09:45,1000000000 Gwei
2025-11-16 04:10:00,1000000000 Gwei
2025-11-16 04:10:15,1000000000 Gwei
2025-11-16 04:10:30,1000000000 Gwei
2025-11-16 04:10:45,1000000000 Gwei
2025-11-16 04:11:00,1000000000 Gwei
2025-11-16 04:11:15,1000000000 Gwei
2025-11-16 04:11:30,1000000000 Gwei
2025-11-16 04:11:45,1000000000 Gwei
2025-11-16 04:12:00,1000000000 Gwei
2025-11-16 04:12:15,1000000000 Gwei
2025-11-16 04:12:30,1000000000 Gwei
2025-11-16 04:12:45,1000000000 Gwei
2025-11-16 04:13:00,1000000000 Gwei
2025-11-16 04:13:15,1000000000 Gwei
2025-11-16 04:13:30,1000000000 Gwei
2025-11-16 04:13:45,1000000000 Gwei
2025-11-16 04:14:00,1000000000 Gwei
2025-11-16 04:14:15,1000000000 Gwei
2025-11-16 04:14:30,1000000000 Gwei
2025-11-16 04:14:45,1000000000 Gwei
2025-11-16 04:15:00,1000000000 Gwei
2025-11-16 04:15:15,1000000000 Gwei
