"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}"
2025-11-16 04:01:15,37.5 kb/s,8.22 kb/s,,25.2 kb/s,7.76 kb/s,41.0 kb/s,34.0 kb/s,,15.0 kb/s,7.95 kb/s,8.95 kb/s,3.68 kb/s,,40.0 kb/s,45.2 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:01:30,65.6 kb/s,58.5 kb/s,65.4 kb/s,64.5 kb/s,85.5 kb/s,74.9 kb/s,63.5 kb/s,76.6 kb/s,72.2 kb/s,69.5 kb/s,57.7 kb/s,47.8 kb/s,60.2 kb/s,72.5 kb/s,75.5 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:01:45,104 kb/s,96.6 kb/s,83.3 kb/s,90.3 kb/s,120 kb/s,102 kb/s,94.9 kb/s,113 kb/s,101 kb/s,102 kb/s,111 kb/s,90.9 kb/s,80.5 kb/s,101 kb/s,112 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:02:00,154 kb/s,125 kb/s,123 kb/s,125 kb/s,153 kb/s,140 kb/s,132 kb/s,141 kb/s,139 kb/s,131 kb/s,140 kb/s,123 kb/s,124 kb/s,141 kb/s,161 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:02:15,187 kb/s,167 kb/s,148 kb/s,163 kb/s,192 kb/s,185 kb/s,176 kb/s,164 kb/s,170 kb/s,178 kb/s,175 kb/s,153 kb/s,153 kb/s,194 kb/s,199 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:02:30,218 kb/s,204 kb/s,187 kb/s,201 kb/s,250 kb/s,219 kb/s,206 kb/s,194 kb/s,205 kb/s,230 kb/s,203 kb/s,192 kb/s,185 kb/s,229 kb/s,232 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:02:45,256 kb/s,249 kb/s,215 kb/s,227 kb/s,280 kb/s,249 kb/s,237 kb/s,242 kb/s,229 kb/s,267 kb/s,249 kb/s,236 kb/s,216 kb/s,259 kb/s,274 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:03:00,313 kb/s,283 kb/s,258 kb/s,273 kb/s,316 kb/s,288 kb/s,268 kb/s,280 kb/s,269 kb/s,294 kb/s,276 kb/s,269 kb/s,263 kb/s,294 kb/s,321 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:03:15,357 kb/s,313 kb/s,290 kb/s,317 kb/s,355 kb/s,328 kb/s,314 kb/s,305 kb/s,304 kb/s,332 kb/s,318 kb/s,307 kb/s,295 kb/s,338 kb/s,351 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:03:30,386 kb/s,362 kb/s,330 kb/s,360 kb/s,408 kb/s,357 kb/s,351 kb/s,341 kb/s,350 kb/s,374 kb/s,347 kb/s,346 kb/s,332 kb/s,367 kb/s,384 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:03:45,427 kb/s,403 kb/s,363 kb/s,385 kb/s,439 kb/s,389 kb/s,385 kb/s,399 kb/s,383 kb/s,412 kb/s,393 kb/s,405 kb/s,357 kb/s,396 kb/s,424 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:04:00,476 kb/s,435 kb/s,409 kb/s,421 kb/s,467 kb/s,423 kb/s,422 kb/s,433 kb/s,418 kb/s,445 kb/s,424 kb/s,441 kb/s,397 kb/s,430 kb/s,474 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:04:15,515 kb/s,475 kb/s,436 kb/s,464 kb/s,497 kb/s,477 kb/s,468 kb/s,460 kb/s,452 kb/s,487 kb/s,466 kb/s,467 kb/s,427 kb/s,473 kb/s,511 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:04:30,552 kb/s,513 kb/s,477 kb/s,500 kb/s,541 kb/s,512 kb/s,502 kb/s,499 kb/s,495 kb/s,534 kb/s,494 kb/s,508 kb/s,459 kb/s,509 kb/s,542 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:04:45,590 kb/s,552 kb/s,504 kb/s,533 kb/s,570 kb/s,540 kb/s,531 kb/s,558 kb/s,521 kb/s,570 kb/s,538 kb/s,559 kb/s,490 kb/s,539 kb/s,586 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:05:00,640 kb/s,584 kb/s,556 kb/s,566 kb/s,595 kb/s,574 kb/s,568 kb/s,587 kb/s,558 kb/s,596 kb/s,571 kb/s,592 kb/s,542 kb/s,578 kb/s,640 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:05:15,672 kb/s,619 kb/s,589 kb/s,612 kb/s,627 kb/s,625 kb/s,611 kb/s,616 kb/s,589 kb/s,632 kb/s,614 kb/s,620 kb/s,574 kb/s,623 kb/s,678 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:05:30,706 kb/s,664 kb/s,630 kb/s,656 kb/s,668 kb/s,657 kb/s,646 kb/s,653 kb/s,629 kb/s,681 kb/s,646 kb/s,662 kb/s,614 kb/s,651 kb/s,712 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:05:45,743 kb/s,712 kb/s,661 kb/s,689 kb/s,701 kb/s,687 kb/s,680 kb/s,706 kb/s,657 kb/s,713 kb/s,695 kb/s,713 kb/s,647 kb/s,677 kb/s,753 kb/s,,,,,,,,,,,,,,,
