"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}"
2025-11-16 04:01:15,48.5 kb/s,22.6 kb/s,,31.2 kb/s,21.5 kb/s,50.4 kb/s,45.2 kb/s,,19.6 kb/s,21.9 kb/s,23.4 kb/s,18.6 kb/s,,45.1 kb/s,52.9 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:01:30,84.8 kb/s,82.7 kb/s,61.8 kb/s,78.3 kb/s,108 kb/s,85.5 kb/s,88.5 kb/s,89.5 kb/s,75.5 kb/s,86.2 kb/s,81.3 kb/s,73.3 kb/s,57.7 kb/s,80.4 kb/s,87.1 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:01:45,142 kb/s,134 kb/s,88.0 kb/s,112 kb/s,152 kb/s,119 kb/s,124 kb/s,134 kb/s,104 kb/s,128 kb/s,137 kb/s,130 kb/s,82.9 kb/s,118 kb/s,134 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:02:00,206 kb/s,178 kb/s,135 kb/s,157 kb/s,190 kb/s,164 kb/s,171 kb/s,169 kb/s,141 kb/s,169 kb/s,173 kb/s,171 kb/s,127 kb/s,161 kb/s,187 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:02:15,259 kb/s,228 kb/s,168 kb/s,203 kb/s,240 kb/s,222 kb/s,228 kb/s,205 kb/s,176 kb/s,216 kb/s,216 kb/s,211 kb/s,161 kb/s,213 kb/s,226 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:02:30,303 kb/s,280 kb/s,204 kb/s,246 kb/s,298 kb/s,260 kb/s,275 kb/s,255 kb/s,225 kb/s,274 kb/s,250 kb/s,262 kb/s,199 kb/s,254 kb/s,263 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:02:45,357 kb/s,331 kb/s,235 kb/s,283 kb/s,342 kb/s,296 kb/s,315 kb/s,314 kb/s,262 kb/s,322 kb/s,299 kb/s,331 kb/s,230 kb/s,287 kb/s,307 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:03:00,415 kb/s,373 kb/s,288 kb/s,328 kb/s,375 kb/s,344 kb/s,369 kb/s,357 kb/s,301 kb/s,366 kb/s,342 kb/s,380 kb/s,281 kb/s,329 kb/s,363 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:03:15,462 kb/s,430 kb/s,323 kb/s,376 kb/s,420 kb/s,405 kb/s,424 kb/s,402 kb/s,342 kb/s,419 kb/s,388 kb/s,419 kb/s,318 kb/s,375 kb/s,409 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:03:30,509 kb/s,479 kb/s,360 kb/s,419 kb/s,474 kb/s,447 kb/s,471 kb/s,459 kb/s,393 kb/s,480 kb/s,422 kb/s,474 kb/s,358 kb/s,415 kb/s,445 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:03:45,560 kb/s,532 kb/s,391 kb/s,464 kb/s,513 kb/s,489 kb/s,510 kb/s,517 kb/s,426 kb/s,528 kb/s,479 kb/s,535 kb/s,394 kb/s,451 kb/s,494 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:04:00,619 kb/s,573 kb/s,445 kb/s,520 kb/s,549 kb/s,537 kb/s,558 kb/s,563 kb/s,464 kb/s,571 kb/s,520 kb/s,575 kb/s,454 kb/s,492 kb/s,547 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:04:15,668 kb/s,617 kb/s,483 kb/s,571 kb/s,594 kb/s,590 kb/s,610 kb/s,608 kb/s,499 kb/s,618 kb/s,566 kb/s,614 kb/s,492 kb/s,540 kb/s,589 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:04:30,707 kb/s,666 kb/s,525 kb/s,622 kb/s,646 kb/s,631 kb/s,657 kb/s,662 kb/s,551 kb/s,680 kb/s,607 kb/s,666 kb/s,533 kb/s,579 kb/s,632 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:04:45,759 kb/s,718 kb/s,560 kb/s,667 kb/s,685 kb/s,671 kb/s,698 kb/s,723 kb/s,588 kb/s,732 kb/s,667 kb/s,727 kb/s,563 kb/s,616 kb/s,680 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:05:00,812 kb/s,760 kb/s,616 kb/s,718 kb/s,721 kb/s,717 kb/s,746 kb/s,777 kb/s,623 kb/s,777 kb/s,706 kb/s,774 kb/s,617 kb/s,657 kb/s,735 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:05:15,859 kb/s,810 kb/s,649 kb/s,767 kb/s,766 kb/s,773 kb/s,802 kb/s,824 kb/s,657 kb/s,832 kb/s,754 kb/s,817 kb/s,652 kb/s,711 kb/s,780 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:05:30,901 kb/s,858 kb/s,691 kb/s,815 kb/s,819 kb/s,817 kb/s,849 kb/s,882 kb/s,709 kb/s,894 kb/s,795 kb/s,876 kb/s,688 kb/s,754 kb/s,821 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:05:45,953 kb/s,905 kb/s,727 kb/s,857 kb/s,857 kb/s,856 kb/s,887 kb/s,948 kb/s,742 kb/s,949 kb/s,854 kb/s,929 kb/s,722 kb/s,791 kb/s,870 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:06:00,1.00 Mb/s,943 kb/s,774 kb/s,905 kb/s,890 kb/s,888 kb/s,923 kb/s,990 kb/s,782 kb/s,993 kb/s,886 kb/s,969 kb/s,769 kb/s,820 kb/s,916 kb/s,,,,,,,,,,,,,,,
