"Time","{client_name=""besu"", client_type=""execution"", instance=""el-01-besu-lighthouse:9001"", job=""el-01-besu-lighthouse"", service=""el-01-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-02-besu-lighthouse:9001"", job=""el-02-besu-lighthouse"", service=""el-02-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-03-besu-lighthouse:9001"", job=""el-03-besu-lighthouse"", service=""el-03-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-04-besu-lighthouse:9001"", job=""el-04-besu-lighthouse"", service=""el-04-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-05-besu-lighthouse:9001"", job=""el-05-besu-lighthouse"", service=""el-05-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-06-besu-lighthouse:9001"", job=""el-06-besu-lighthouse"", service=""el-06-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-07-besu-lighthouse:9001"", job=""el-07-besu-lighthouse"", service=""el-07-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-08-besu-lighthouse:9001"", job=""el-08-besu-lighthouse"", service=""el-08-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-09-besu-lighthouse:9001"", job=""el-09-besu-lighthouse"", service=""el-09-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-10-besu-lighthouse:9001"", job=""el-10-besu-lighthouse"", service=""el-10-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-07-besu-lighthouse:9001"", job=""el-07-besu-lighthouse"", service=""el-07-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-10-besu-lighthouse:9001"", job=""el-10-besu-lighthouse"", service=""el-10-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-02-besu-lighthouse:9001"", job=""el-02-besu-lighthouse"", service=""el-02-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-06-besu-lighthouse:9001"", job=""el-06-besu-lighthouse"", service=""el-06-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-05-besu-lighthouse:9001"", job=""el-05-besu-lighthouse"", service=""el-05-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-08-besu-lighthouse:9001"", job=""el-08-besu-lighthouse"", service=""el-08-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-09-besu-lighthouse:9001"", job=""el-09-besu-lighthouse"", service=""el-09-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-01-besu-lighthouse:9001"", job=""el-01-besu-lighthouse"", service=""el-01-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-04-besu-lighthouse:9001"", job=""el-04-besu-lighthouse"", service=""el-04-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-03-besu-lighthouse:9001"", job=""el-03-besu-lighthouse"", service=""el-03-besu-lighthouse""}"
2025-11-16 04:51:30,,1.57 vCPU,,,,,1.76 vCPU,,,1.68 vCPU,,,,,,,,,,,,,,,,,,,,
2025-11-16 04:51:45,3.45 vCPU,4.39 vCPU,4.71 vCPU,2.60 vCPU,3.34 vCPU,3.45 vCPU,4.65 vCPU,2.97 vCPU,6.38 vCPU,4.00 vCPU,3.39 vCPU,3.49 vCPU,2.54 vCPU,3.64 vCPU,3.21 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:52:00,12.4 vCPU,10.7 vCPU,11.5 vCPU,6.58 vCPU,7.14 vCPU,8.03 vCPU,10.2 vCPU,6.81 vCPU,14.1 vCPU,8.93 vCPU,9.09 vCPU,6.86 vCPU,6.44 vCPU,9.05 vCPU,7.62 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:52:15,25.1 vCPU,15.9 vCPU,19.7 vCPU,12.8 vCPU,11.0 vCPU,11.6 vCPU,15.3 vCPU,18.6 vCPU,20.5 vCPU,14.4 vCPU,15.7 vCPU,10.6 vCPU,10.3 vCPU,15.2 vCPU,14.1 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:52:30,35.8 vCPU,20.3 vCPU,22.9 vCPU,17.7 vCPU,17.3 vCPU,16.4 vCPU,20.2 vCPU,22.7 vCPU,22.6 vCPU,18.1 vCPU,20.8 vCPU,21.8 vCPU,14.4 vCPU,18.7 vCPU,18.5 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:52:45,34.4 vCPU,21.2 vCPU,21.8 vCPU,20.2 vCPU,19.7 vCPU,21.8 vCPU,22.4 vCPU,22.7 vCPU,24.4 vCPU,20.6 vCPU,20.7 vCPU,26.7 vCPU,19.2 vCPU,19.8 vCPU,23.8 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:53:00,27.3 vCPU,19.1 vCPU,20.5 vCPU,18.3 vCPU,18.6 vCPU,25.7 vCPU,19.9 vCPU,13.3 vCPU,19.6 vCPU,17.5 vCPU,18.8 vCPU,26.1 vCPU,18.8 vCPU,19.3 vCPU,20.1 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:53:15,20.1 vCPU,15.2 vCPU,17.0 vCPU,15.5 vCPU,14.2 vCPU,21.6 vCPU,15.1 vCPU,10.6 vCPU,16.8 vCPU,14.3 vCPU,15.4 vCPU,15.7 vCPU,21.5 vCPU,16.7 vCPU,17.7 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:53:30,17.6 vCPU,11.6 vCPU,13.6 vCPU,15.8 vCPU,11.1 vCPU,14.1 vCPU,10.2 vCPU,8.40 vCPU,8.93 vCPU,9.78 vCPU,11.8 vCPU,9.82 vCPU,17.3 vCPU,12.7 vCPU,11.7 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:53:45,16.2 vCPU,12.7 vCPU,13.7 vCPU,13.7 vCPU,10.5 vCPU,7.98 vCPU,10.00 vCPU,7.93 vCPU,8.30 vCPU,10.1 vCPU,10.1 vCPU,7.88 vCPU,16.4 vCPU,10.3 vCPU,13.4 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:54:00,14.6 vCPU,12.4 vCPU,13.4 vCPU,11.9 vCPU,9.00 vCPU,7.63 vCPU,9.07 vCPU,7.32 vCPU,6.88 vCPU,9.33 vCPU,9.17 vCPU,7.78 vCPU,11.2 vCPU,9.95 vCPU,13.2 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:54:15,15.5 vCPU,11.7 vCPU,13.2 vCPU,7.62 vCPU,8.40 vCPU,10.5 vCPU,12.3 vCPU,7.68 vCPU,7.53 vCPU,8.83 vCPU,9.53 vCPU,7.47 vCPU,9.27 vCPU,9.50 vCPU,11.9 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:54:30,14.3 vCPU,11.2 vCPU,9.68 vCPU,6.87 vCPU,7.92 vCPU,9.55 vCPU,10.5 vCPU,7.95 vCPU,7.68 vCPU,7.35 vCPU,9.30 vCPU,6.83 vCPU,8.38 vCPU,7.87 vCPU,10.9 vCPU,,,,,,,,,,,,,,,
2025-11-16 04:54:45,13.5 vCPU,11.8 vCPU,10.1 vCPU,6.88 vCPU,7.78 vCPU,9.33 vCPU,12.4 vCPU,6.80 vCPU,8.00 vCPU,7.52 vCPU,8.65 vCPU,6.88 vCPU,8.80 vCPU,7.08 vCPU,11.3 vCPU,,,,,,,,,,,,,,,
