"Time","Value"
2025-11-16 04:51:15,1000000000 Gwei
2025-11-16 04:51:30,1000000000 Gwei
2025-11-16 04:51:45,1000000000 Gwei
2025-11-16 04:52:00,1000000000 Gwei
2025-11-16 04:52:15,1000000000 Gwei
2025-11-16 04:52:30,1000000000 Gwei
2025-11-16 04:52:45,1000000000 Gwei
2025-11-16 04:53:00,1000000000 Gwei
2025-11-16 04:53:15,1000000000 Gwei
2025-11-16 04:53:30,1000000000 Gwei
2025-11-16 04:53:45,1000000000 Gwei
2025-11-16 04:54:00,1000000000 Gwei
2025-11-16 04:54:15,1000000000 Gwei
2025-11-16 04:54:30,1000000000 Gwei
2025-11-16 04:54:45,1000000000 Gwei
2025-11-16 04:55:00,1000000000 Gwei
2025-11-16 04:55:15,1000000000 Gwei
2025-11-16 04:55:30,1000000000 Gwei
2025-11-16 04:55:45,1000000000 Gwei
2025-11-16 04:56:00,1000000000 Gwei
2025-11-16 04:56:15,1000000000 Gwei
2025-11-16 04:56:30,1000000000 Gwei
2025-11-16 04:56:45,1000000000 Gwei
2025-11-16 04:57:00,1000000000 Gwei
2025-11-16 04:57:15,1000000000 Gwei
2025-11-16 04:57:30,1000000000 Gwei
2025-11-16 04:57:45,1000000000 Gwei
2025-11-16 04:58:00,1000000000 Gwei
2025-11-16 04:58:15,1000000000 Gwei
2025-11-16 04:58:30,1000000000 Gwei
2025-11-16 04:58:45,1000000000 Gwei
2025-11-16 04:59:00,1000000000 Gwei
2025-11-16 04:59:15,1000000000 Gwei
2025-11-16 04:59:30,1000000000 Gwei
2025-11-16 04:59:45,1000000000 Gwei
2025-11-16 05:00:00,1000000000 Gwei
2025-11-16 05:00:15,1000000000 Gwei
2025-11-16 05:00:30,1000000000 Gwei
2025-11-16 05:00:45,1000000000 Gwei
2025-11-16 05:01:00,1000000000 Gwei
2025-11-16 05:01:15,1000000000 Gwei
2025-11-16 05:01:30,1000000000 Gwei
2025-11-16 05:01:45,1000000000 Gwei
2025-11-16 05:02:00,1000000000 Gwei
2025-11-16 05:02:15,1000000000 Gwei
2025-11-16 05:02:30,1000000000 Gwei
2025-11-16 05:02:45,1000000000 Gwei
2025-11-16 05:03:00,1000000000 Gwei
2025-11-16 05:03:15,1000000000 Gwei
2025-11-16 05:03:30,1000000000 Gwei
2025-11-16 05:03:45,1000000000 Gwei
2025-11-16 05:04:00,1000000000 Gwei
2025-11-16 05:04:15,1000000000 Gwei
2025-11-16 05:04:30,1000000000 Gwei
2025-11-16 05:04:45,1000000000 Gwei
2025-11-16 05:05:00,1000000000 Gwei
2025-11-16 05:05:15,1000000000 Gwei
2025-11-16 05:05:30,1000000000 Gwei
2025-11-16 05:05:45,1000000000 Gwei
2025-11-16 05:06:00,1000000000 Gwei
2025-11-16 05:06:15,1000000000 Gwei
2025-11-16 05:06:30,1000000000 Gwei
2025-11-16 05:06:45,1000000000 Gwei
2025-11-16 05:07:00,1000000000 Gwei
2025-11-16 05:07:15,1000000000 Gwei
2025-11-16 05:07:30,1000000000 Gwei
2025-11-16 05:07:45,1000000000 Gwei
2025-11-16 05:08:00,1000000000 Gwei
