"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}"
2025-11-16 04:51:30,,,,,,2.92 kb/s,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-16 04:51:45,9.69 kb/s,42.6 kb/s,39.3 kb/s,49.7 kb/s,35.9 kb/s,41.8 kb/s,50.5 kb/s,50.5 kb/s,45.4 kb/s,39.5 kb/s,49.3 kb/s,7.12 kb/s,41.2 kb/s,9.31 kb/s,37.0 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:52:00,66.6 kb/s,74.5 kb/s,66.6 kb/s,78.7 kb/s,72.6 kb/s,89.9 kb/s,82.5 kb/s,72.8 kb/s,71.2 kb/s,67.9 kb/s,80.3 kb/s,84.9 kb/s,68.2 kb/s,85.3 kb/s,75.4 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:52:15,122 kb/s,117 kb/s,104 kb/s,123 kb/s,97.2 kb/s,125 kb/s,118 kb/s,106 kb/s,107 kb/s,103 kb/s,110 kb/s,114 kb/s,101 kb/s,126 kb/s,99.4 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:52:30,156 kb/s,177 kb/s,144 kb/s,152 kb/s,134 kb/s,157 kb/s,168 kb/s,133 kb/s,138 kb/s,141 kb/s,147 kb/s,155 kb/s,135 kb/s,157 kb/s,132 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:52:45,208 kb/s,211 kb/s,172 kb/s,188 kb/s,180 kb/s,197 kb/s,213 kb/s,171 kb/s,173 kb/s,187 kb/s,187 kb/s,182 kb/s,167 kb/s,207 kb/s,158 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:53:00,250 kb/s,250 kb/s,202 kb/s,217 kb/s,215 kb/s,246 kb/s,248 kb/s,194 kb/s,200 kb/s,218 kb/s,220 kb/s,231 kb/s,196 kb/s,267 kb/s,195 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:53:15,303 kb/s,298 kb/s,237 kb/s,255 kb/s,242 kb/s,277 kb/s,287 kb/s,233 kb/s,238 kb/s,257 kb/s,247 kb/s,268 kb/s,234 kb/s,294 kb/s,223 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:53:30,339 kb/s,349 kb/s,281 kb/s,279 kb/s,275 kb/s,308 kb/s,322 kb/s,265 kb/s,271 kb/s,302 kb/s,285 kb/s,312 kb/s,275 kb/s,321 kb/s,260 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:53:45,384 kb/s,388 kb/s,312 kb/s,314 kb/s,314 kb/s,341 kb/s,355 kb/s,307 kb/s,305 kb/s,342 kb/s,330 kb/s,346 kb/s,310 kb/s,359 kb/s,290 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:54:00,426 kb/s,424 kb/s,337 kb/s,338 kb/s,344 kb/s,390 kb/s,383 kb/s,336 kb/s,331 kb/s,370 kb/s,362 kb/s,407 kb/s,342 kb/s,402 kb/s,329 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:54:15,478 kb/s,473 kb/s,373 kb/s,378 kb/s,375 kb/s,423 kb/s,421 kb/s,371 kb/s,363 kb/s,412 kb/s,386 kb/s,445 kb/s,380 kb/s,436 kb/s,360 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:54:30,507 kb/s,535 kb/s,422 kb/s,407 kb/s,419 kb/s,456 kb/s,458 kb/s,400 kb/s,399 kb/s,457 kb/s,421 kb/s,490 kb/s,423 kb/s,463 kb/s,396 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:54:45,551 kb/s,577 kb/s,455 kb/s,441 kb/s,464 kb/s,489 kb/s,493 kb/s,444 kb/s,435 kb/s,500 kb/s,466 kb/s,524 kb/s,463 kb/s,501 kb/s,425 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:55:00,592 kb/s,618 kb/s,483 kb/s,466 kb/s,503 kb/s,532 kb/s,518 kb/s,474 kb/s,464 kb/s,534 kb/s,497 kb/s,583 kb/s,489 kb/s,550 kb/s,462 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:55:15,639 kb/s,662 kb/s,524 kb/s,506 kb/s,534 kb/s,567 kb/s,551 kb/s,514 kb/s,502 kb/s,570 kb/s,522 kb/s,615 kb/s,530 kb/s,585 kb/s,496 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:55:30,667 kb/s,719 kb/s,573 kb/s,535 kb/s,578 kb/s,596 kb/s,592 kb/s,548 kb/s,543 kb/s,605 kb/s,563 kb/s,664 kb/s,574 kb/s,617 kb/s,535 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:55:45,708 kb/s,753 kb/s,612 kb/s,571 kb/s,626 kb/s,631 kb/s,628 kb/s,591 kb/s,582 kb/s,650 kb/s,604 kb/s,704 kb/s,612 kb/s,661 kb/s,565 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:56:00,751 kb/s,793 kb/s,646 kb/s,597 kb/s,666 kb/s,680 kb/s,657 kb/s,624 kb/s,615 kb/s,683 kb/s,633 kb/s,764 kb/s,645 kb/s,710 kb/s,599 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:56:15,795 kb/s,833 kb/s,692 kb/s,647 kb/s,693 kb/s,712 kb/s,692 kb/s,666 kb/s,653 kb/s,720 kb/s,664 kb/s,802 kb/s,681 kb/s,745 kb/s,635 kb/s,,,,,,,,,,,,,,,
