"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}"
2025-11-16 04:51:30,,,,,,12.3 kb/s,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-16 04:51:45,24.4 kb/s,57.9 kb/s,48.6 kb/s,59.5 kb/s,47.5 kb/s,61.6 kb/s,55.1 kb/s,53.0 kb/s,47.3 kb/s,62.0 kb/s,67.3 kb/s,17.4 kb/s,42.7 kb/s,23.0 kb/s,50.6 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:52:00,92.0 kb/s,91.6 kb/s,84.2 kb/s,99.2 kb/s,89.6 kb/s,119 kb/s,88.7 kb/s,85.0 kb/s,77.0 kb/s,101 kb/s,108 kb/s,90.4 kb/s,71.5 kb/s,101 kb/s,92.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:52:15,154 kb/s,139 kb/s,126 kb/s,164 kb/s,120 kb/s,162 kb/s,130 kb/s,128 kb/s,108 kb/s,153 kb/s,147 kb/s,129 kb/s,103 kb/s,142 kb/s,129 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:52:30,197 kb/s,199 kb/s,180 kb/s,212 kb/s,163 kb/s,206 kb/s,172 kb/s,162 kb/s,142 kb/s,203 kb/s,200 kb/s,179 kb/s,145 kb/s,186 kb/s,174 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:52:45,241 kb/s,243 kb/s,223 kb/s,265 kb/s,212 kb/s,260 kb/s,211 kb/s,205 kb/s,184 kb/s,260 kb/s,264 kb/s,216 kb/s,187 kb/s,233 kb/s,210 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:53:00,287 kb/s,284 kb/s,260 kb/s,309 kb/s,251 kb/s,318 kb/s,245 kb/s,238 kb/s,216 kb/s,306 kb/s,306 kb/s,266 kb/s,219 kb/s,299 kb/s,256 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:53:15,343 kb/s,334 kb/s,305 kb/s,365 kb/s,289 kb/s,361 kb/s,286 kb/s,281 kb/s,252 kb/s,363 kb/s,349 kb/s,307 kb/s,264 kb/s,338 kb/s,296 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:53:30,382 kb/s,398 kb/s,356 kb/s,406 kb/s,333 kb/s,401 kb/s,327 kb/s,316 kb/s,293 kb/s,417 kb/s,402 kb/s,362 kb/s,307 kb/s,372 kb/s,343 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:53:45,432 kb/s,440 kb/s,397 kb/s,453 kb/s,380 kb/s,452 kb/s,365 kb/s,363 kb/s,334 kb/s,478 kb/s,465 kb/s,402 kb/s,348 kb/s,420 kb/s,386 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:54:00,478 kb/s,479 kb/s,438 kb/s,489 kb/s,418 kb/s,514 kb/s,398 kb/s,397 kb/s,368 kb/s,526 kb/s,510 kb/s,457 kb/s,381 kb/s,468 kb/s,430 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:54:15,537 kb/s,528 kb/s,484 kb/s,548 kb/s,452 kb/s,557 kb/s,443 kb/s,441 kb/s,404 kb/s,585 kb/s,555 kb/s,498 kb/s,421 kb/s,507 kb/s,474 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:54:30,586 kb/s,589 kb/s,537 kb/s,587 kb/s,495 kb/s,597 kb/s,486 kb/s,479 kb/s,444 kb/s,644 kb/s,608 kb/s,550 kb/s,468 kb/s,544 kb/s,526 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:54:45,638 kb/s,632 kb/s,580 kb/s,636 kb/s,545 kb/s,650 kb/s,526 kb/s,526 kb/s,486 kb/s,708 kb/s,672 kb/s,590 kb/s,510 kb/s,593 kb/s,568 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:55:00,691 kb/s,672 kb/s,618 kb/s,675 kb/s,584 kb/s,710 kb/s,561 kb/s,565 kb/s,519 kb/s,755 kb/s,716 kb/s,648 kb/s,548 kb/s,650 kb/s,616 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:55:15,750 kb/s,723 kb/s,663 kb/s,739 kb/s,618 kb/s,751 kb/s,603 kb/s,607 kb/s,557 kb/s,816 kb/s,758 kb/s,690 kb/s,586 kb/s,692 kb/s,660 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:55:30,798 kb/s,781 kb/s,717 kb/s,788 kb/s,661 kb/s,795 kb/s,645 kb/s,645 kb/s,600 kb/s,878 kb/s,808 kb/s,741 kb/s,633 kb/s,733 kb/s,718 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:55:45,854 kb/s,826 kb/s,762 kb/s,843 kb/s,710 kb/s,847 kb/s,685 kb/s,695 kb/s,641 kb/s,943 kb/s,871 kb/s,780 kb/s,674 kb/s,782 kb/s,761 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:56:00,903 kb/s,863 kb/s,804 kb/s,891 kb/s,750 kb/s,906 kb/s,721 kb/s,731 kb/s,678 kb/s,994 kb/s,918 kb/s,840 kb/s,712 kb/s,843 kb/s,815 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:56:15,959 kb/s,913 kb/s,849 kb/s,965 kb/s,788 kb/s,951 kb/s,765 kb/s,777 kb/s,719 kb/s,1.04 Mb/s,962 kb/s,869 kb/s,753 kb/s,883 kb/s,862 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:56:30,997 kb/s,948 kb/s,889 kb/s,1.00 Mb/s,809 kb/s,980 kb/s,786 kb/s,796 kb/s,748 kb/s,1.08 Mb/s,990 kb/s,910 kb/s,790 kb/s,919 kb/s,906 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:56:45,1.01 Mb/s,953 kb/s,900 kb/s,1.02 Mb/s,824 kb/s,972 kb/s,795 kb/s,814 kb/s,762 kb/s,1.09 Mb/s,1.02 Mb/s,901 kb/s,811 kb/s,918 kb/s,906 kb/s,,,,,,,,,,,,,,,
2025-11-16 04:57:00,999 kb/s,947 kb/s,902 kb/s,1.01 Mb/s,831 kb/s,987 kb/s,789 kb/s,811 kb/s,766 kb/s,1.09 Mb/s,1.03 Mb/s,921 kb/s,820 kb/s,937 kb/s,922 kb/s,,,,,,,,,,,,,,,
