"Time","{client_name=""besu"", client_type=""execution"", instance=""el-01-besu-lighthouse:9001"", job=""el-01-besu-lighthouse"", service=""el-01-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-02-besu-lighthouse:9001"", job=""el-02-besu-lighthouse"", service=""el-02-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-03-besu-lighthouse:9001"", job=""el-03-besu-lighthouse"", service=""el-03-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-04-besu-lighthouse:9001"", job=""el-04-besu-lighthouse"", service=""el-04-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-05-besu-lighthouse:9001"", job=""el-05-besu-lighthouse"", service=""el-05-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-06-besu-lighthouse:9001"", job=""el-06-besu-lighthouse"", service=""el-06-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-07-besu-lighthouse:9001"", job=""el-07-besu-lighthouse"", service=""el-07-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-08-besu-lighthouse:9001"", job=""el-08-besu-lighthouse"", service=""el-08-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-09-besu-lighthouse:9001"", job=""el-09-besu-lighthouse"", service=""el-09-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-10-besu-lighthouse:9001"", job=""el-10-besu-lighthouse"", service=""el-10-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-02-besu-lighthouse:9001"", job=""el-02-besu-lighthouse"", service=""el-02-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-04-besu-lighthouse:9001"", job=""el-04-besu-lighthouse"", service=""el-04-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-05-besu-lighthouse:9001"", job=""el-05-besu-lighthouse"", service=""el-05-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-09-besu-lighthouse:9001"", job=""el-09-besu-lighthouse"", service=""el-09-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-07-besu-lighthouse:9001"", job=""el-07-besu-lighthouse"", service=""el-07-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-03-besu-lighthouse:9001"", job=""el-03-besu-lighthouse"", service=""el-03-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-06-besu-lighthouse:9001"", job=""el-06-besu-lighthouse"", service=""el-06-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-01-besu-lighthouse:9001"", job=""el-01-besu-lighthouse"", service=""el-01-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-08-besu-lighthouse:9001"", job=""el-08-besu-lighthouse"", service=""el-08-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-10-besu-lighthouse:9001"", job=""el-10-besu-lighthouse"", service=""el-10-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}"
2025-11-16 05:13:45,4.38 vCPU,4.07 vCPU,3.88 vCPU,9.18 vCPU,3.42 vCPU,3.37 vCPU,3.05 vCPU,2.98 vCPU,3.45 vCPU,2.69 vCPU,2.54 vCPU,3.35 vCPU,4.25 vCPU,3.57 vCPU,3.50 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:14:00,14.6 vCPU,7.30 vCPU,7.89 vCPU,9.82 vCPU,6.12 vCPU,6.66 vCPU,6.66 vCPU,7.10 vCPU,6.34 vCPU,8.38 vCPU,7.50 vCPU,6.45 vCPU,6.53 vCPU,6.71 vCPU,5.95 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:14:15,24.3 vCPU,12.6 vCPU,14.2 vCPU,15.4 vCPU,10.4 vCPU,12.3 vCPU,10.8 vCPU,13.5 vCPU,16.9 vCPU,14.9 vCPU,13.3 vCPU,10.2 vCPU,10.2 vCPU,10.4 vCPU,10.1 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:14:30,34.8 vCPU,17.8 vCPU,20.4 vCPU,15.7 vCPU,19.1 vCPU,19.2 vCPU,19.0 vCPU,24.5 vCPU,22.5 vCPU,19.9 vCPU,19.4 vCPU,15.8 vCPU,14.2 vCPU,15.8 vCPU,14.4 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:14:45,33.4 vCPU,28.6 vCPU,24.4 vCPU,21.4 vCPU,22.5 vCPU,21.8 vCPU,20.8 vCPU,24.7 vCPU,24.7 vCPU,19.4 vCPU,20.4 vCPU,20.3 vCPU,20.4 vCPU,19.8 vCPU,22.0 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:15:00,28.0 vCPU,25.3 vCPU,22.0 vCPU,18.2 vCPU,25.1 vCPU,18.5 vCPU,20.3 vCPU,20.6 vCPU,15.9 vCPU,18.1 vCPU,18.4 vCPU,19.7 vCPU,21.5 vCPU,20.2 vCPU,22.1 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:15:15,20.5 vCPU,23.3 vCPU,18.4 vCPU,18.1 vCPU,18.2 vCPU,14.4 vCPU,14.4 vCPU,11.3 vCPU,10.5 vCPU,14.2 vCPU,14.5 vCPU,16.4 vCPU,18.2 vCPU,15.9 vCPU,19.7 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:15:30,15.8 vCPU,14.6 vCPU,13.3 vCPU,14.0 vCPU,16.0 vCPU,11.1 vCPU,13.3 vCPU,9.47 vCPU,8.07 vCPU,10.9 vCPU,10.3 vCPU,12.1 vCPU,12.7 vCPU,11.3 vCPU,12.0 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:15:45,13.3 vCPU,13.2 vCPU,11.6 vCPU,13.3 vCPU,13.6 vCPU,11.3 vCPU,11.5 vCPU,8.65 vCPU,7.62 vCPU,9.33 vCPU,10.3 vCPU,10.9 vCPU,9.65 vCPU,8.42 vCPU,9.65 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:16:00,11.4 vCPU,11.1 vCPU,11.2 vCPU,13.7 vCPU,12.1 vCPU,9.03 vCPU,9.92 vCPU,7.58 vCPU,7.70 vCPU,8.78 vCPU,9.10 vCPU,9.53 vCPU,9.38 vCPU,8.02 vCPU,9.38 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:16:15,11.9 vCPU,9.08 vCPU,13.6 vCPU,12.4 vCPU,10.0 vCPU,13.6 vCPU,7.83 vCPU,7.28 vCPU,6.95 vCPU,8.72 vCPU,9.33 vCPU,8.65 vCPU,8.02 vCPU,8.07 vCPU,9.00 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:16:30,11.8 vCPU,8.32 vCPU,12.9 vCPU,11.6 vCPU,6.88 vCPU,12.4 vCPU,7.92 vCPU,6.70 vCPU,7.15 vCPU,6.98 vCPU,11.9 vCPU,14.9 vCPU,8.95 vCPU,9.53 vCPU,8.43 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:16:45,11.2 vCPU,7.55 vCPU,11.0 vCPU,9.05 vCPU,6.48 vCPU,12.0 vCPU,7.48 vCPU,6.22 vCPU,7.15 vCPU,6.32 vCPU,14.1 vCPU,14.7 vCPU,8.87 vCPU,9.37 vCPU,8.07 vCPU,,,,,,,,,,,,,,,
