"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}"
2025-11-16 05:13:30,,,2.60 kb/s,,,,,,,,,,,,2.63 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:13:45,43.4 kb/s,6.99 kb/s,43.5 kb/s,8.84 kb/s,43.9 kb/s,59.4 kb/s,6.25 kb/s,7.49 kb/s,45.5 kb/s,7.10 kb/s,29.0 kb/s,9.97 kb/s,57.5 kb/s,42.6 kb/s,40.7 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:14:00,79.8 kb/s,76.1 kb/s,76.5 kb/s,81.6 kb/s,66.8 kb/s,106 kb/s,79.2 kb/s,71.8 kb/s,68.6 kb/s,92.6 kb/s,65.9 kb/s,65.8 kb/s,81.2 kb/s,74.4 kb/s,68.9 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:14:15,133 kb/s,111 kb/s,107 kb/s,113 kb/s,118 kb/s,141 kb/s,105 kb/s,98.0 kb/s,102 kb/s,122 kb/s,90.9 kb/s,101 kb/s,114 kb/s,104 kb/s,104 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:14:30,180 kb/s,158 kb/s,135 kb/s,138 kb/s,151 kb/s,170 kb/s,145 kb/s,134 kb/s,129 kb/s,158 kb/s,127 kb/s,126 kb/s,140 kb/s,146 kb/s,128 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:14:45,217 kb/s,195 kb/s,169 kb/s,173 kb/s,188 kb/s,196 kb/s,179 kb/s,170 kb/s,158 kb/s,188 kb/s,164 kb/s,165 kb/s,186 kb/s,179 kb/s,167 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:15:00,260 kb/s,259 kb/s,213 kb/s,207 kb/s,219 kb/s,233 kb/s,226 kb/s,217 kb/s,184 kb/s,236 kb/s,198 kb/s,207 kb/s,216 kb/s,219 kb/s,204 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:15:15,320 kb/s,293 kb/s,248 kb/s,237 kb/s,267 kb/s,283 kb/s,255 kb/s,247 kb/s,221 kb/s,271 kb/s,226 kb/s,244 kb/s,256 kb/s,256 kb/s,241 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:15:30,374 kb/s,333 kb/s,277 kb/s,266 kb/s,293 kb/s,319 kb/s,289 kb/s,286 kb/s,253 kb/s,313 kb/s,259 kb/s,280 kb/s,284 kb/s,307 kb/s,273 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:15:45,411 kb/s,366 kb/s,319 kb/s,301 kb/s,332 kb/s,353 kb/s,317 kb/s,321 kb/s,286 kb/s,347 kb/s,300 kb/s,324 kb/s,334 kb/s,343 kb/s,313 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:16:00,459 kb/s,414 kb/s,358 kb/s,336 kb/s,362 kb/s,396 kb/s,361 kb/s,380 kb/s,314 kb/s,407 kb/s,337 kb/s,365 kb/s,363 kb/s,382 kb/s,352 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:16:15,516 kb/s,449 kb/s,383 kb/s,373 kb/s,406 kb/s,458 kb/s,388 kb/s,406 kb/s,350 kb/s,439 kb/s,364 kb/s,397 kb/s,405 kb/s,418 kb/s,399 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:16:30,568 kb/s,492 kb/s,409 kb/s,399 kb/s,432 kb/s,497 kb/s,420 kb/s,442 kb/s,383 kb/s,479 kb/s,403 kb/s,431 kb/s,435 kb/s,469 kb/s,435 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:16:45,603 kb/s,527 kb/s,445 kb/s,433 kb/s,462 kb/s,535 kb/s,447 kb/s,475 kb/s,416 kb/s,509 kb/s,445 kb/s,474 kb/s,479 kb/s,504 kb/s,475 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:17:00,649 kb/s,576 kb/s,483 kb/s,468 kb/s,489 kb/s,581 kb/s,488 kb/s,519 kb/s,443 kb/s,564 kb/s,477 kb/s,531 kb/s,504 kb/s,546 kb/s,511 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:17:15,697 kb/s,610 kb/s,510 kb/s,503 kb/s,529 kb/s,643 kb/s,512 kb/s,551 kb/s,477 kb/s,596 kb/s,505 kb/s,569 kb/s,542 kb/s,583 kb/s,556 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:17:30,741 kb/s,648 kb/s,537 kb/s,530 kb/s,554 kb/s,680 kb/s,550 kb/s,588 kb/s,517 kb/s,637 kb/s,544 kb/s,606 kb/s,570 kb/s,627 kb/s,589 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:17:45,773 kb/s,679 kb/s,576 kb/s,565 kb/s,590 kb/s,716 kb/s,579 kb/s,618 kb/s,554 kb/s,666 kb/s,585 kb/s,646 kb/s,615 kb/s,659 kb/s,633 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:18:00,814 kb/s,731 kb/s,616 kb/s,600 kb/s,618 kb/s,757 kb/s,623 kb/s,667 kb/s,580 kb/s,717 kb/s,621 kb/s,694 kb/s,648 kb/s,696 kb/s,675 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:18:15,862 kb/s,761 kb/s,647 kb/s,628 kb/s,662 kb/s,803 kb/s,648 kb/s,697 kb/s,615 kb/s,749 kb/s,647 kb/s,727 kb/s,682 kb/s,727 kb/s,717 kb/s,,,,,,,,,,,,,,,
