"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""False""}"
2025-11-16 05:13:30,,,12.4 kb/s,,,,,,,,,,,,13.7 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:13:45,57.8 kb/s,18.4 kb/s,44.9 kb/s,24.4 kb/s,61.2 kb/s,54.3 kb/s,18.1 kb/s,18.3 kb/s,58.4 kb/s,17.9 kb/s,47.9 kb/s,25.0 kb/s,54.6 kb/s,54.0 kb/s,57.2 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:14:00,104 kb/s,102 kb/s,78.8 kb/s,75.8 kb/s,95.2 kb/s,100 kb/s,98.4 kb/s,87.6 kb/s,86.4 kb/s,116 kb/s,94.0 kb/s,102 kb/s,86.7 kb/s,93.5 kb/s,92.7 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:14:15,160 kb/s,144 kb/s,108 kb/s,114 kb/s,160 kb/s,149 kb/s,134 kb/s,126 kb/s,125 kb/s,152 kb/s,131 kb/s,142 kb/s,123 kb/s,126 kb/s,137 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:14:30,207 kb/s,193 kb/s,138 kb/s,146 kb/s,206 kb/s,187 kb/s,184 kb/s,174 kb/s,159 kb/s,200 kb/s,177 kb/s,185 kb/s,154 kb/s,181 kb/s,176 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:14:45,250 kb/s,241 kb/s,173 kb/s,183 kb/s,264 kb/s,222 kb/s,220 kb/s,216 kb/s,196 kb/s,236 kb/s,226 kb/s,239 kb/s,207 kb/s,218 kb/s,219 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:15:00,304 kb/s,310 kb/s,218 kb/s,221 kb/s,309 kb/s,266 kb/s,282 kb/s,275 kb/s,227 kb/s,287 kb/s,273 kb/s,293 kb/s,239 kb/s,262 kb/s,261 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:15:15,358 kb/s,356 kb/s,256 kb/s,262 kb/s,389 kb/s,322 kb/s,321 kb/s,319 kb/s,266 kb/s,328 kb/s,312 kb/s,341 kb/s,280 kb/s,303 kb/s,310 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:15:30,403 kb/s,410 kb/s,292 kb/s,298 kb/s,439 kb/s,362 kb/s,370 kb/s,371 kb/s,309 kb/s,382 kb/s,364 kb/s,381 kb/s,315 kb/s,361 kb/s,348 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:15:45,449 kb/s,450 kb/s,331 kb/s,338 kb/s,495 kb/s,405 kb/s,412 kb/s,415 kb/s,351 kb/s,422 kb/s,415 kb/s,431 kb/s,368 kb/s,400 kb/s,394 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:16:00,498 kb/s,510 kb/s,394 kb/s,383 kb/s,543 kb/s,454 kb/s,470 kb/s,474 kb/s,385 kb/s,478 kb/s,464 kb/s,499 kb/s,404 kb/s,449 kb/s,439 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:16:15,555 kb/s,550 kb/s,433 kb/s,427 kb/s,602 kb/s,514 kb/s,509 kb/s,521 kb/s,427 kb/s,519 kb/s,506 kb/s,549 kb/s,442 kb/s,490 kb/s,484 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:16:30,600 kb/s,602 kb/s,472 kb/s,464 kb/s,648 kb/s,558 kb/s,556 kb/s,574 kb/s,467 kb/s,567 kb/s,558 kb/s,592 kb/s,478 kb/s,543 kb/s,521 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:16:45,645 kb/s,645 kb/s,510 kb/s,507 kb/s,697 kb/s,596 kb/s,594 kb/s,618 kb/s,507 kb/s,606 kb/s,616 kb/s,652 kb/s,532 kb/s,580 kb/s,568 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:17:00,694 kb/s,710 kb/s,565 kb/s,551 kb/s,735 kb/s,647 kb/s,649 kb/s,686 kb/s,540 kb/s,661 kb/s,669 kb/s,706 kb/s,570 kb/s,624 kb/s,614 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:17:15,746 kb/s,753 kb/s,602 kb/s,594 kb/s,797 kb/s,710 kb/s,688 kb/s,733 kb/s,580 kb/s,704 kb/s,709 kb/s,754 kb/s,613 kb/s,663 kb/s,661 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:17:30,786 kb/s,805 kb/s,637 kb/s,633 kb/s,840 kb/s,755 kb/s,735 kb/s,783 kb/s,621 kb/s,754 kb/s,761 kb/s,796 kb/s,651 kb/s,715 kb/s,699 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:17:45,825 kb/s,850 kb/s,675 kb/s,673 kb/s,889 kb/s,798 kb/s,777 kb/s,828 kb/s,661 kb/s,795 kb/s,814 kb/s,853 kb/s,709 kb/s,754 kb/s,744 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:18:00,875 kb/s,913 kb/s,727 kb/s,719 kb/s,930 kb/s,849 kb/s,834 kb/s,892 kb/s,696 kb/s,855 kb/s,868 kb/s,943 kb/s,749 kb/s,802 kb/s,786 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:18:15,928 kb/s,950 kb/s,766 kb/s,755 kb/s,995 kb/s,904 kb/s,868 kb/s,930 kb/s,737 kb/s,891 kb/s,909 kb/s,942 kb/s,792 kb/s,841 kb/s,831 kb/s,,,,,,,,,,,,,,,
