"Time","Value"
2025-11-16 13:44:00,1040000001 Gwei
2025-11-16 13:44:15,1033333334 Gwei
2025-11-16 13:44:30,7685000001 Gwei
2025-11-16 13:44:45,60931666667 Gwei
2025-11-16 13:45:00,28344298131 Gwei
2025-11-16 13:45:15,2163044012 Gwei
2025-11-16 13:45:30,2136863996 Gwei
2025-11-16 13:45:45,2100425905 Gwei
2025-11-16 13:46:00,2050670336 Gwei
2025-11-16 13:46:15,2023296786 Gwei
2025-11-16 13:46:30,2010437428 Gwei
2025-11-16 13:46:45,1983901746 Gwei
2025-11-16 13:47:00,1949991979 Gwei
2025-11-16 13:47:15,1934022469 Gwei
2025-11-16 13:47:30,1922938288 Gwei
2025-11-16 13:47:45,1906698460 Gwei
2025-11-16 13:48:00,1880899214 Gwei
2025-11-16 13:48:15,1870350889 Gwei
2025-11-16 13:48:30,1852739648 Gwei
2025-11-16 13:48:45,1829724687 Gwei
2025-11-16 13:49:00,1811424671 Gwei
2025-11-16 13:49:15,1796550904 Gwei
2025-11-16 13:49:30,1783162481 Gwei
2025-11-16 13:49:45,1768781295 Gwei
2025-11-16 13:50:00,1756889655 Gwei
2025-11-16 13:50:15,1747757134 Gwei
2025-11-16 13:50:30,1739732319 Gwei
2025-11-16 13:50:45,1731535545 Gwei
2025-11-16 13:51:00,1723049232 Gwei
2025-11-16 13:51:15,1717689160 Gwei
2025-11-16 13:51:30,1712488953 Gwei
2025-11-16 13:51:45,1709391663 Gwei
2025-11-16 13:52:00,1706604850 Gwei
2025-11-16 13:52:15,1706597237 Gwei
2025-11-16 13:52:30,1705592850 Gwei
2025-11-16 13:52:45,1705773794 Gwei
2025-11-16 13:53:00,1707099732 Gwei
2025-11-16 13:53:15,1710771259 Gwei
2025-11-16 13:53:30,1713121176 Gwei
2025-11-16 13:53:45,1715024143 Gwei
2025-11-16 13:54:00,1718680615 Gwei
2025-11-16 13:54:15,1723358369 Gwei
2025-11-16 13:54:30,1728457035 Gwei
2025-11-16 13:54:45,1734864515 Gwei
2025-11-16 13:55:00,1742659353 Gwei
2025-11-16 13:55:15,1751086207 Gwei
2025-11-16 13:55:30,1761105646 Gwei
2025-11-16 13:55:45,1768287291 Gwei
2025-11-16 13:56:00,1778469800 Gwei
2025-11-16 13:56:15,1795241794 Gwei
2025-11-16 13:56:30,1805810145 Gwei
2025-11-16 13:56:45,1819721345 Gwei
2025-11-16 13:57:00,1835865379 Gwei
2025-11-16 13:57:15,1860464215 Gwei
2025-11-16 13:57:30,1875596990 Gwei
2025-11-16 13:57:45,1898987403 Gwei
2025-11-16 13:58:00,1924822741 Gwei
2025-11-16 13:58:15,1959961862 Gwei
2025-11-16 13:58:30,1984739759 Gwei
