"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}"
2025-11-16 13:44:15,,,2.33 kb/s,,2.87 kb/s,,,,,2.47 kb/s,2.88 kb/s,3.15 kb/s,2.28 kb/s,,,,,,,,,,,,,,,,,
2025-11-16 13:44:30,3.60 kb/s,4.16 kb/s,47.7 kb/s,5.88 kb/s,41.9 kb/s,10.7 kb/s,7.55 kb/s,6.47 kb/s,7.18 kb/s,39.5 kb/s,36.8 kb/s,33.9 kb/s,35.4 kb/s,9.29 kb/s,4.10 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:44:45,48.4 kb/s,53.4 kb/s,76.1 kb/s,73.3 kb/s,70.9 kb/s,63.0 kb/s,67.2 kb/s,62.2 kb/s,68.1 kb/s,68.2 kb/s,81.4 kb/s,63.1 kb/s,62.7 kb/s,46.9 kb/s,51.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:45:00,101 kb/s,99.7 kb/s,111 kb/s,98.7 kb/s,114 kb/s,114 kb/s,102 kb/s,91.0 kb/s,101 kb/s,102 kb/s,118 kb/s,103 kb/s,101 kb/s,89.4 kb/s,86.0 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:45:15,159 kb/s,141 kb/s,157 kb/s,131 kb/s,167 kb/s,147 kb/s,136 kb/s,127 kb/s,141 kb/s,136 kb/s,178 kb/s,147 kb/s,157 kb/s,116 kb/s,130 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:45:30,201 kb/s,177 kb/s,189 kb/s,167 kb/s,204 kb/s,189 kb/s,176 kb/s,155 kb/s,172 kb/s,171 kb/s,215 kb/s,182 kb/s,198 kb/s,153 kb/s,161 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:45:45,239 kb/s,217 kb/s,214 kb/s,215 kb/s,240 kb/s,214 kb/s,232 kb/s,200 kb/s,222 kb/s,198 kb/s,253 kb/s,213 kb/s,227 kb/s,181 kb/s,197 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:46:00,276 kb/s,262 kb/s,253 kb/s,241 kb/s,281 kb/s,269 kb/s,263 kb/s,227 kb/s,257 kb/s,238 kb/s,280 kb/s,256 kb/s,267 kb/s,236 kb/s,236 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:46:15,328 kb/s,300 kb/s,299 kb/s,279 kb/s,334 kb/s,303 kb/s,290 kb/s,265 kb/s,297 kb/s,281 kb/s,331 kb/s,300 kb/s,310 kb/s,272 kb/s,288 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:46:30,361 kb/s,335 kb/s,333 kb/s,315 kb/s,375 kb/s,348 kb/s,324 kb/s,295 kb/s,327 kb/s,323 kb/s,365 kb/s,338 kb/s,343 kb/s,315 kb/s,317 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:46:45,386 kb/s,374 kb/s,364 kb/s,360 kb/s,403 kb/s,377 kb/s,374 kb/s,340 kb/s,374 kb/s,360 kb/s,404 kb/s,371 kb/s,368 kb/s,346 kb/s,357 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:47:00,428 kb/s,421 kb/s,401 kb/s,390 kb/s,445 kb/s,431 kb/s,410 kb/s,364 kb/s,406 kb/s,404 kb/s,434 kb/s,409 kb/s,404 kb/s,402 kb/s,392 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:47:15,471 kb/s,460 kb/s,445 kb/s,427 kb/s,495 kb/s,465 kb/s,441 kb/s,405 kb/s,445 kb/s,452 kb/s,479 kb/s,455 kb/s,452 kb/s,431 kb/s,433 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:47:30,509 kb/s,491 kb/s,476 kb/s,465 kb/s,531 kb/s,510 kb/s,480 kb/s,436 kb/s,476 kb/s,493 kb/s,510 kb/s,488 kb/s,486 kb/s,467 kb/s,468 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:47:45,543 kb/s,533 kb/s,504 kb/s,511 kb/s,557 kb/s,540 kb/s,532 kb/s,483 kb/s,523 kb/s,527 kb/s,549 kb/s,519 kb/s,517 kb/s,499 kb/s,502 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:48:00,585 kb/s,571 kb/s,542 kb/s,538 kb/s,596 kb/s,583 kb/s,561 kb/s,517 kb/s,560 kb/s,568 kb/s,582 kb/s,558 kb/s,558 kb/s,557 kb/s,540 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:48:15,630 kb/s,618 kb/s,587 kb/s,575 kb/s,648 kb/s,614 kb/s,594 kb/s,554 kb/s,597 kb/s,614 kb/s,642 kb/s,601 kb/s,604 kb/s,591 kb/s,584 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:48:30,670 kb/s,651 kb/s,624 kb/s,606 kb/s,682 kb/s,656 kb/s,634 kb/s,585 kb/s,630 kb/s,653 kb/s,678 kb/s,641 kb/s,633 kb/s,635 kb/s,615 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:48:45,701 kb/s,692 kb/s,655 kb/s,656 kb/s,719 kb/s,691 kb/s,682 kb/s,627 kb/s,686 kb/s,680 kb/s,721 kb/s,668 kb/s,663 kb/s,672 kb/s,652 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:49:00,740 kb/s,731 kb/s,691 kb/s,685 kb/s,752 kb/s,745 kb/s,713 kb/s,663 kb/s,717 kb/s,728 kb/s,747 kb/s,709 kb/s,700 kb/s,734 kb/s,685 kb/s,,,,,,,,,,,,,,,
