"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}"
2025-11-16 13:44:15,,,14.0 kb/s,,13.9 kb/s,,,,,14.7 kb/s,12.9 kb/s,14.5 kb/s,13.6 kb/s,,,,,,,,,,,,,,,,,
2025-11-16 13:44:30,20.1 kb/s,18.1 kb/s,56.9 kb/s,15.7 kb/s,52.4 kb/s,23.0 kb/s,20.9 kb/s,15.5 kb/s,16.2 kb/s,62.0 kb/s,49.5 kb/s,50.7 kb/s,44.2 kb/s,23.5 kb/s,18.7 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:44:45,71.7 kb/s,78.3 kb/s,90.7 kb/s,80.9 kb/s,89.5 kb/s,79.3 kb/s,89.0 kb/s,73.1 kb/s,86.9 kb/s,98.1 kb/s,99.3 kb/s,84.3 kb/s,73.4 kb/s,64.6 kb/s,82.4 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:45:00,129 kb/s,124 kb/s,133 kb/s,120 kb/s,140 kb/s,145 kb/s,126 kb/s,105 kb/s,128 kb/s,142 kb/s,140 kb/s,130 kb/s,113 kb/s,110 kb/s,132 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:45:15,196 kb/s,180 kb/s,179 kb/s,161 kb/s,205 kb/s,189 kb/s,158 kb/s,147 kb/s,179 kb/s,183 kb/s,203 kb/s,181 kb/s,161 kb/s,146 kb/s,199 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:45:30,252 kb/s,222 kb/s,219 kb/s,204 kb/s,252 kb/s,242 kb/s,201 kb/s,178 kb/s,220 kb/s,228 kb/s,248 kb/s,224 kb/s,196 kb/s,192 kb/s,248 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:45:45,295 kb/s,272 kb/s,257 kb/s,262 kb/s,295 kb/s,284 kb/s,251 kb/s,226 kb/s,287 kb/s,267 kb/s,302 kb/s,260 kb/s,231 kb/s,225 kb/s,304 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:46:00,345 kb/s,325 kb/s,301 kb/s,304 kb/s,351 kb/s,345 kb/s,292 kb/s,263 kb/s,329 kb/s,315 kb/s,345 kb/s,304 kb/s,267 kb/s,281 kb/s,350 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:46:15,394 kb/s,382 kb/s,351 kb/s,347 kb/s,417 kb/s,388 kb/s,331 kb/s,301 kb/s,379 kb/s,364 kb/s,405 kb/s,361 kb/s,315 kb/s,317 kb/s,413 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:46:30,438 kb/s,423 kb/s,391 kb/s,396 kb/s,463 kb/s,440 kb/s,378 kb/s,333 kb/s,425 kb/s,415 kb/s,447 kb/s,405 kb/s,350 kb/s,365 kb/s,457 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:46:45,480 kb/s,476 kb/s,425 kb/s,463 kb/s,510 kb/s,483 kb/s,433 kb/s,387 kb/s,488 kb/s,456 kb/s,495 kb/s,442 kb/s,384 kb/s,402 kb/s,508 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:47:00,530 kb/s,526 kb/s,468 kb/s,503 kb/s,558 kb/s,550 kb/s,472 kb/s,422 kb/s,531 kb/s,511 kb/s,533 kb/s,490 kb/s,420 kb/s,457 kb/s,555 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:47:15,591 kb/s,587 kb/s,513 kb/s,543 kb/s,620 kb/s,595 kb/s,508 kb/s,459 kb/s,582 kb/s,562 kb/s,589 kb/s,542 kb/s,471 kb/s,500 kb/s,616 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:47:30,645 kb/s,631 kb/s,551 kb/s,585 kb/s,664 kb/s,645 kb/s,551 kb/s,489 kb/s,621 kb/s,619 kb/s,629 kb/s,586 kb/s,506 kb/s,554 kb/s,655 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:47:45,686 kb/s,686 kb/s,586 kb/s,644 kb/s,709 kb/s,689 kb/s,602 kb/s,541 kb/s,681 kb/s,662 kb/s,681 kb/s,624 kb/s,538 kb/s,591 kb/s,706 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:48:00,744 kb/s,737 kb/s,628 kb/s,687 kb/s,763 kb/s,761 kb/s,644 kb/s,577 kb/s,724 kb/s,714 kb/s,723 kb/s,671 kb/s,574 kb/s,646 kb/s,748 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:48:15,808 kb/s,790 kb/s,678 kb/s,727 kb/s,829 kb/s,807 kb/s,680 kb/s,618 kb/s,775 kb/s,764 kb/s,784 kb/s,724 kb/s,625 kb/s,687 kb/s,812 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:48:30,860 kb/s,838 kb/s,717 kb/s,772 kb/s,877 kb/s,869 kb/s,722 kb/s,652 kb/s,814 kb/s,819 kb/s,827 kb/s,768 kb/s,663 kb/s,738 kb/s,860 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:48:45,909 kb/s,891 kb/s,754 kb/s,836 kb/s,917 kb/s,913 kb/s,771 kb/s,709 kb/s,868 kb/s,865 kb/s,882 kb/s,823 kb/s,697 kb/s,779 kb/s,913 kb/s,,,,,,,,,,,,,,,
2025-11-16 13:49:00,955 kb/s,943 kb/s,798 kb/s,878 kb/s,974 kb/s,981 kb/s,811 kb/s,745 kb/s,910 kb/s,911 kb/s,926 kb/s,873 kb/s,736 kb/s,842 kb/s,958 kb/s,,,,,,,,,,,,,,,
