"Time","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-06-nethermind-lighthouse:9001"", job=""el-06-nethermind-lighthouse"", service=""el-06-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-07-nethermind-lighthouse:9001"", job=""el-07-nethermind-lighthouse"", service=""el-07-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-08-nethermind-lighthouse:9001"", job=""el-08-nethermind-lighthouse"", service=""el-08-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-09-nethermind-lighthouse:9001"", job=""el-09-nethermind-lighthouse"", service=""el-09-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-10-nethermind-lighthouse:9001"", job=""el-10-nethermind-lighthouse"", service=""el-10-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-13-besu-lighthouse:9001"", job=""el-13-besu-lighthouse"", service=""el-13-besu-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-10-nethermind-lighthouse:9001"", job=""el-10-nethermind-lighthouse"", service=""el-10-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-14-besu-lighthouse:9001"", job=""el-14-besu-lighthouse"", service=""el-14-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-15-besu-lighthouse:9001"", job=""el-15-besu-lighthouse"", service=""el-15-besu-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-11-besu-lighthouse:9001"", job=""el-11-besu-lighthouse"", service=""el-11-besu-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-08-nethermind-lighthouse:9001"", job=""el-08-nethermind-lighthouse"", service=""el-08-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-06-nethermind-lighthouse:9001"", job=""el-06-nethermind-lighthouse"", service=""el-06-nethermind-lighthouse""}","{client_name=""besu"", client_type=""execution"", instance=""el-12-besu-lighthouse:9001"", job=""el-12-besu-lighthouse"", service=""el-12-besu-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-07-nethermind-lighthouse:9001"", job=""el-07-nethermind-lighthouse"", service=""el-07-nethermind-lighthouse""}","{Commit=""e4a537799f8f058dc2900c9636ce21f7198956c0"", Instance=""Nethermind"", Network=""42069"", PruningMode=""Hybrid"", Runtime="".NET 9.0.10"", SourceDate=""1760953374"", SyncType=""Full"", Version=""1.35.0+e4a53779"", client_name=""nethermind"", client_type=""execution"", instance=""el-09-nethermind-lighthouse:9001"", job=""el-09-nethermind-lighthouse"", service=""el-09-nethermind-lighthouse""}"
2025-11-16 14:04:45,0.967 vCPU,,0.818 vCPU,,0.631 vCPU,,,,,,1.43 vCPU,1.55 vCPU,1.50 vCPU,,1.84 vCPU,2.93 vCPU,2.36 vCPU,2.56 vCPU,5.06 vCPU,2.68 vCPU,,,,,,,,,,
2025-11-16 14:05:00,2.09 vCPU,1.79 vCPU,2.14 vCPU,1.80 vCPU,1.90 vCPU,,,,,,3.23 vCPU,3.00 vCPU,2.99 vCPU,2.14 vCPU,2.60 vCPU,7.91 vCPU,6.58 vCPU,6.16 vCPU,8.56 vCPU,6.31 vCPU,,,,,,,,,,
2025-11-16 14:05:15,2.99 vCPU,3.35 vCPU,2.97 vCPU,3.38 vCPU,3.26 vCPU,,,,,,4.34 vCPU,4.36 vCPU,4.14 vCPU,4.60 vCPU,3.89 vCPU,12.0 vCPU,10.2 vCPU,8.55 vCPU,12.0 vCPU,14.6 vCPU,,,,,,,,,,
2025-11-16 14:05:30,3.58 vCPU,3.28 vCPU,3.79 vCPU,3.28 vCPU,3.85 vCPU,,,,,,4.45 vCPU,4.40 vCPU,4.35 vCPU,4.35 vCPU,3.98 vCPU,15.0 vCPU,13.3 vCPU,10.7 vCPU,20.6 vCPU,18.2 vCPU,,,,,,,,,,
2025-11-16 14:05:45,3.51 vCPU,3.40 vCPU,3.38 vCPU,3.40 vCPU,3.38 vCPU,,,,,,3.51 vCPU,3.80 vCPU,3.70 vCPU,4.25 vCPU,4.21 vCPU,14.7 vCPU,13.7 vCPU,13.2 vCPU,20.1 vCPU,19.1 vCPU,,,,,,,,,,
2025-11-16 14:06:00,3.37 vCPU,3.27 vCPU,3.53 vCPU,3.25 vCPU,3.24 vCPU,,,,,,3.36 vCPU,3.77 vCPU,3.61 vCPU,3.54 vCPU,3.44 vCPU,15.7 vCPU,18.3 vCPU,13.6 vCPU,19.1 vCPU,14.2 vCPU,,,,,,,,,,
2025-11-16 14:06:15,3.23 vCPU,3.42 vCPU,3.04 vCPU,3.44 vCPU,3.29 vCPU,,,,,,3.27 vCPU,3.53 vCPU,3.39 vCPU,3.24 vCPU,3.25 vCPU,13.1 vCPU,17.1 vCPU,14.3 vCPU,9.80 vCPU,12.5 vCPU,,,,,,,,,,
2025-11-16 14:06:30,3.02 vCPU,3.28 vCPU,3.15 vCPU,3.28 vCPU,3.15 vCPU,,,,,,3.18 vCPU,3.27 vCPU,3.15 vCPU,3.20 vCPU,3.12 vCPU,10.0 vCPU,14.3 vCPU,13.8 vCPU,8.42 vCPU,11.2 vCPU,,,,,,,,,,
2025-11-16 14:06:45,3.05 vCPU,3.00 vCPU,2.90 vCPU,3.00 vCPU,2.90 vCPU,,,,,,3.18 vCPU,3.06 vCPU,3.06 vCPU,3.21 vCPU,3.15 vCPU,7.23 vCPU,8.75 vCPU,12.1 vCPU,7.07 vCPU,10.5 vCPU,,,,,,,,,,
2025-11-16 14:07:00,2.76 vCPU,2.76 vCPU,2.89 vCPU,2.73 vCPU,2.62 vCPU,,,,,,2.99 vCPU,2.94 vCPU,2.98 vCPU,3.23 vCPU,3.18 vCPU,7.40 vCPU,6.90 vCPU,10.4 vCPU,6.40 vCPU,8.92 vCPU,,,,,,,,,,
2025-11-16 14:07:15,2.74 vCPU,2.84 vCPU,2.57 vCPU,2.86 vCPU,2.83 vCPU,,,,,,2.83 vCPU,2.99 vCPU,3.07 vCPU,3.17 vCPU,3.00 vCPU,7.32 vCPU,6.40 vCPU,6.67 vCPU,6.05 vCPU,8.40 vCPU,,,,,,,,,,
2025-11-16 14:07:30,2.72 vCPU,2.84 vCPU,2.85 vCPU,2.84 vCPU,2.87 vCPU,,,,,,2.83 vCPU,2.99 vCPU,2.99 vCPU,2.95 vCPU,2.89 vCPU,6.72 vCPU,5.80 vCPU,6.13 vCPU,9.12 vCPU,8.82 vCPU,,,,,,,,,,
2025-11-16 14:07:45,2.90 vCPU,2.76 vCPU,2.80 vCPU,2.76 vCPU,2.80 vCPU,,,,,,2.84 vCPU,3.15 vCPU,2.81 vCPU,2.96 vCPU,2.82 vCPU,6.02 vCPU,8.00 vCPU,5.77 vCPU,9.87 vCPU,9.25 vCPU,,,,,,,,,,
2025-11-16 14:08:00,2.83 vCPU,2.70 vCPU,2.95 vCPU,2.67 vCPU,2.68 vCPU,,,,,,3.00 vCPU,3.02 vCPU,2.76 vCPU,2.94 vCPU,2.77 vCPU,6.45 vCPU,8.07 vCPU,6.13 vCPU,9.68 vCPU,8.98 vCPU,,,,,,,,,,
2025-11-16 14:08:15,2.81 vCPU,2.90 vCPU,2.64 vCPU,2.93 vCPU,2.91 vCPU,,,,,,3.00 vCPU,2.97 vCPU,2.74 vCPU,2.89 vCPU,2.67 vCPU,6.17 vCPU,8.17 vCPU,6.65 vCPU,6.72 vCPU,8.30 vCPU,,,,,,,,,,
2025-11-16 14:08:30,2.72 vCPU,2.92 vCPU,2.87 vCPU,2.92 vCPU,2.88 vCPU,,,,,,2.97 vCPU,2.64 vCPU,2.77 vCPU,2.78 vCPU,2.75 vCPU,5.88 vCPU,6.02 vCPU,8.75 vCPU,5.67 vCPU,8.08 vCPU,,,,,,,,,,
2025-11-16 14:08:45,2.87 vCPU,2.76 vCPU,2.80 vCPU,2.76 vCPU,2.82 vCPU,,,,,,2.90 vCPU,2.93 vCPU,2.78 vCPU,2.80 vCPU,2.86 vCPU,7.67 vCPU,6.40 vCPU,8.73 vCPU,5.48 vCPU,7.87 vCPU,,,,,,,,,,
2025-11-16 14:09:00,2.80 vCPU,2.72 vCPU,2.93 vCPU,2.68 vCPU,2.65 vCPU,,,,,,2.83 vCPU,2.89 vCPU,2.80 vCPU,2.98 vCPU,2.93 vCPU,8.63 vCPU,6.62 vCPU,7.90 vCPU,5.05 vCPU,7.50 vCPU,,,,,,,,,,
2025-11-16 14:09:15,2.90 vCPU,2.89 vCPU,2.72 vCPU,2.92 vCPU,2.98 vCPU,,,,,,2.88 vCPU,2.97 vCPU,3.02 vCPU,3.02 vCPU,2.91 vCPU,9.53 vCPU,7.22 vCPU,5.52 vCPU,6.12 vCPU,8.40 vCPU,,,,,,,,,,
2025-11-16 14:09:30,2.82 vCPU,2.99 vCPU,2.94 vCPU,2.99 vCPU,2.94 vCPU,,,,,,2.86 vCPU,2.68 vCPU,2.96 vCPU,2.98 vCPU,3.05 vCPU,6.95 vCPU,7.07 vCPU,5.75 vCPU,5.97 vCPU,8.40 vCPU,,,,,,,,,,
2025-11-16 14:09:45,2.94 vCPU,2.82 vCPU,2.74 vCPU,2.83 vCPU,2.83 vCPU,,,,,,2.82 vCPU,2.81 vCPU,2.94 vCPU,2.83 vCPU,3.07 vCPU,6.42 vCPU,7.82 vCPU,5.88 vCPU,6.20 vCPU,8.20 vCPU,,,,,,,,,,
