"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}"
2025-11-16 14:04:45,,3.23 kb/s,3.07 kb/s,7.04 kb/s,3.78 kb/s,3.57 kb/s,3.45 kb/s,3.27 kb/s,,6.43 kb/s,6.08 kb/s,2.64 kb/s,2.96 kb/s,2.69 kb/s,3.21 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:05:00,6.70 kb/s,39.4 kb/s,51.2 kb/s,51.1 kb/s,49.5 kb/s,44.0 kb/s,38.2 kb/s,41.4 kb/s,7.95 kb/s,48.6 kb/s,70.1 kb/s,59.7 kb/s,39.1 kb/s,49.5 kb/s,44.3 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:05:15,96.8 kb/s,69.3 kb/s,88.3 kb/s,86.3 kb/s,88.6 kb/s,82.1 kb/s,65.9 kb/s,70.6 kb/s,84.4 kb/s,81.1 kb/s,105 kb/s,86.4 kb/s,75.7 kb/s,74.2 kb/s,78.7 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:05:30,126 kb/s,113 kb/s,120 kb/s,119 kb/s,120 kb/s,122 kb/s,107 kb/s,113 kb/s,118 kb/s,109 kb/s,140 kb/s,125 kb/s,104 kb/s,121 kb/s,116 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:05:45,162 kb/s,143 kb/s,159 kb/s,166 kb/s,165 kb/s,152 kb/s,137 kb/s,139 kb/s,161 kb/s,143 kb/s,184 kb/s,151 kb/s,148 kb/s,154 kb/s,147 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:06:00,193 kb/s,196 kb/s,190 kb/s,219 kb/s,196 kb/s,177 kb/s,181 kb/s,177 kb/s,192 kb/s,180 kb/s,243 kb/s,187 kb/s,174 kb/s,192 kb/s,181 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:06:15,253 kb/s,229 kb/s,227 kb/s,266 kb/s,233 kb/s,209 kb/s,211 kb/s,212 kb/s,250 kb/s,216 kb/s,275 kb/s,213 kb/s,207 kb/s,222 kb/s,219 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:06:30,284 kb/s,270 kb/s,259 kb/s,297 kb/s,262 kb/s,246 kb/s,253 kb/s,261 kb/s,276 kb/s,242 kb/s,309 kb/s,255 kb/s,237 kb/s,278 kb/s,264 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:06:45,318 kb/s,301 kb/s,303 kb/s,339 kb/s,312 kb/s,272 kb/s,280 kb/s,294 kb/s,317 kb/s,279 kb/s,353 kb/s,285 kb/s,279 kb/s,312 kb/s,296 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:07:00,346 kb/s,346 kb/s,330 kb/s,393 kb/s,347 kb/s,297 kb/s,332 kb/s,330 kb/s,339 kb/s,317 kb/s,408 kb/s,324 kb/s,308 kb/s,345 kb/s,340 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:07:15,408 kb/s,375 kb/s,372 kb/s,430 kb/s,383 kb/s,334 kb/s,362 kb/s,360 kb/s,378 kb/s,351 kb/s,437 kb/s,349 kb/s,342 kb/s,376 kb/s,382 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:07:30,444 kb/s,415 kb/s,409 kb/s,461 kb/s,421 kb/s,373 kb/s,403 kb/s,409 kb/s,411 kb/s,378 kb/s,465 kb/s,387 kb/s,366 kb/s,438 kb/s,417 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:07:45,489 kb/s,444 kb/s,450 kb/s,498 kb/s,481 kb/s,402 kb/s,431 kb/s,439 kb/s,449 kb/s,411 kb/s,506 kb/s,411 kb/s,406 kb/s,470 kb/s,447 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:08:00,516 kb/s,490 kb/s,483 kb/s,535 kb/s,514 kb/s,427 kb/s,483 kb/s,469 kb/s,478 kb/s,444 kb/s,562 kb/s,440 kb/s,437 kb/s,507 kb/s,484 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:08:15,577 kb/s,521 kb/s,526 kb/s,573 kb/s,549 kb/s,458 kb/s,513 kb/s,506 kb/s,520 kb/s,480 kb/s,597 kb/s,466 kb/s,470 kb/s,533 kb/s,523 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:08:30,612 kb/s,560 kb/s,556 kb/s,601 kb/s,587 kb/s,499 kb/s,547 kb/s,550 kb/s,549 kb/s,508 kb/s,631 kb/s,515 kb/s,494 kb/s,589 kb/s,565 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:08:45,654 kb/s,591 kb/s,606 kb/s,639 kb/s,643 kb/s,533 kb/s,570 kb/s,574 kb/s,584 kb/s,543 kb/s,673 kb/s,542 kb/s,541 kb/s,618 kb/s,598 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:09:00,689 kb/s,646 kb/s,644 kb/s,683 kb/s,673 kb/s,556 kb/s,622 kb/s,611 kb/s,607 kb/s,584 kb/s,729 kb/s,581 kb/s,569 kb/s,656 kb/s,634 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:09:15,757 kb/s,681 kb/s,684 kb/s,723 kb/s,723 kb/s,588 kb/s,654 kb/s,644 kb/s,655 kb/s,614 kb/s,768 kb/s,605 kb/s,607 kb/s,689 kb/s,665 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:09:30,785 kb/s,719 kb/s,728 kb/s,757 kb/s,751 kb/s,628 kb/s,693 kb/s,691 kb/s,681 kb/s,641 kb/s,804 kb/s,655 kb/s,636 kb/s,741 kb/s,705 kb/s,,,,,,,,,,,,,,,
