"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}"
2025-11-16 14:04:45,,19.5 kb/s,17.0 kb/s,16.8 kb/s,17.4 kb/s,15.6 kb/s,19.8 kb/s,14.8 kb/s,,17.3 kb/s,16.1 kb/s,14.6 kb/s,16.6 kb/s,14.9 kb/s,14.5 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:05:00,21.9 kb/s,55.0 kb/s,55.2 kb/s,75.6 kb/s,65.9 kb/s,66.3 kb/s,52.6 kb/s,62.2 kb/s,19.5 kb/s,70.9 kb/s,83.6 kb/s,56.6 kb/s,48.6 kb/s,67.9 kb/s,62.1 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:05:15,123 kb/s,89.1 kb/s,95.8 kb/s,122 kb/s,113 kb/s,114 kb/s,84.7 kb/s,101 kb/s,105 kb/s,109 kb/s,125 kb/s,85.9 kb/s,84.3 kb/s,102 kb/s,108 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:05:30,169 kb/s,128 kb/s,133 kb/s,165 kb/s,149 kb/s,166 kb/s,125 kb/s,154 kb/s,145 kb/s,144 kb/s,165 kb/s,131 kb/s,117 kb/s,158 kb/s,158 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:05:45,225 kb/s,162 kb/s,184 kb/s,213 kb/s,209 kb/s,206 kb/s,163 kb/s,195 kb/s,191 kb/s,188 kb/s,213 kb/s,164 kb/s,166 kb/s,197 kb/s,198 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:06:00,264 kb/s,218 kb/s,222 kb/s,272 kb/s,249 kb/s,248 kb/s,228 kb/s,240 kb/s,227 kb/s,240 kb/s,276 kb/s,203 kb/s,199 kb/s,243 kb/s,246 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:06:15,323 kb/s,252 kb/s,265 kb/s,320 kb/s,302 kb/s,298 kb/s,265 kb/s,282 kb/s,283 kb/s,285 kb/s,321 kb/s,234 kb/s,240 kb/s,280 kb/s,296 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:06:30,366 kb/s,290 kb/s,310 kb/s,363 kb/s,345 kb/s,355 kb/s,303 kb/s,331 kb/s,322 kb/s,323 kb/s,361 kb/s,286 kb/s,275 kb/s,341 kb/s,347 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:06:45,425 kb/s,320 kb/s,368 kb/s,416 kb/s,411 kb/s,396 kb/s,336 kb/s,367 kb/s,370 kb/s,367 kb/s,409 kb/s,319 kb/s,325 kb/s,386 kb/s,386 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:07:00,468 kb/s,374 kb/s,410 kb/s,475 kb/s,453 kb/s,434 kb/s,387 kb/s,410 kb/s,409 kb/s,420 kb/s,470 kb/s,356 kb/s,359 kb/s,440 kb/s,430 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:07:15,528 kb/s,408 kb/s,457 kb/s,520 kb/s,510 kb/s,477 kb/s,423 kb/s,454 kb/s,467 kb/s,463 kb/s,514 kb/s,389 kb/s,396 kb/s,483 kb/s,476 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:07:30,574 kb/s,445 kb/s,501 kb/s,559 kb/s,553 kb/s,534 kb/s,462 kb/s,506 kb/s,502 kb/s,499 kb/s,558 kb/s,442 kb/s,431 kb/s,550 kb/s,533 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:07:45,629 kb/s,481 kb/s,558 kb/s,605 kb/s,623 kb/s,573 kb/s,498 kb/s,543 kb/s,547 kb/s,540 kb/s,604 kb/s,476 kb/s,482 kb/s,594 kb/s,572 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:08:00,675 kb/s,533 kb/s,596 kb/s,657 kb/s,670 kb/s,612 kb/s,554 kb/s,586 kb/s,582 kb/s,589 kb/s,663 kb/s,510 kb/s,515 kb/s,642 kb/s,615 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:08:15,738 kb/s,568 kb/s,636 kb/s,704 kb/s,723 kb/s,659 kb/s,587 kb/s,627 kb/s,634 kb/s,633 kb/s,706 kb/s,540 kb/s,554 kb/s,687 kb/s,662 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:08:30,787 kb/s,606 kb/s,680 kb/s,749 kb/s,766 kb/s,717 kb/s,628 kb/s,684 kb/s,675 kb/s,671 kb/s,748 kb/s,588 kb/s,592 kb/s,747 kb/s,712 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:08:45,841 kb/s,640 kb/s,730 kb/s,803 kb/s,839 kb/s,755 kb/s,665 kb/s,727 kb/s,722 kb/s,718 kb/s,799 kb/s,625 kb/s,646 kb/s,789 kb/s,751 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:09:00,887 kb/s,690 kb/s,768 kb/s,864 kb/s,889 kb/s,797 kb/s,723 kb/s,772 kb/s,762 kb/s,770 kb/s,861 kb/s,663 kb/s,683 kb/s,840 kb/s,798 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:09:15,951 kb/s,728 kb/s,814 kb/s,914 kb/s,938 kb/s,846 kb/s,758 kb/s,818 kb/s,817 kb/s,820 kb/s,904 kb/s,704 kb/s,721 kb/s,880 kb/s,849 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:09:30,987 kb/s,762 kb/s,854 kb/s,961 kb/s,984 kb/s,904 kb/s,793 kb/s,872 kb/s,845 kb/s,863 kb/s,946 kb/s,751 kb/s,760 kb/s,942 kb/s,903 kb/s,,,,,,,,,,,,,,,
