"Time","Value"
2025-11-16 14:23:45,1100000001 Gwei
2025-11-16 14:24:00,1033333334 Gwei
2025-11-16 14:24:15,1033333334 Gwei
2025-11-16 14:24:30,1008333334 Gwei
2025-11-16 14:24:45,963411459 Gwei
2025-11-16 14:25:00,40803795573 Gwei
2025-11-16 14:25:15,67384841312 Gwei
2025-11-16 14:25:30,67368639821 Gwei
2025-11-16 14:25:45,28142692019 Gwei
2025-11-16 14:26:00,1980828965 Gwei
2025-11-16 14:26:15,1957093689 Gwei
2025-11-16 14:26:30,1938571200 Gwei
2025-11-16 14:26:45,1918540452 Gwei
2025-11-16 14:27:00,1897288225 Gwei
2025-11-16 14:27:15,1881851351 Gwei
2025-11-16 14:27:30,1862495287 Gwei
2025-11-16 14:27:45,1850417476 Gwei
2025-11-16 14:28:00,1834452543 Gwei
2025-11-16 14:28:15,1825616186 Gwei
2025-11-16 14:28:30,1811586431 Gwei
2025-11-16 14:28:45,1801837123 Gwei
2025-11-16 14:29:00,1787150045 Gwei
2025-11-16 14:29:15,1776164812 Gwei
2025-11-16 14:29:30,1760149961 Gwei
2025-11-16 14:29:45,1751212925 Gwei
2025-11-16 14:30:00,1741968177 Gwei
2025-11-16 14:30:15,1735330360 Gwei
2025-11-16 14:30:30,1727650483 Gwei
2025-11-16 14:30:45,1721166048 Gwei
2025-11-16 14:31:00,1714523579 Gwei
2025-11-16 14:31:15,1710385926 Gwei
2025-11-16 14:31:30,1704401336 Gwei
2025-11-16 14:31:45,1702093162 Gwei
2025-11-16 14:32:00,1702474714 Gwei
2025-11-16 14:32:15,1701110983 Gwei
2025-11-16 14:32:30,1699607365 Gwei
2025-11-16 14:32:45,1701599953 Gwei
2025-11-16 14:33:00,1704224537 Gwei
2025-11-16 14:33:15,1705766140 Gwei
2025-11-16 14:33:30,1708484958 Gwei
2025-11-16 14:33:45,1712262390 Gwei
2025-11-16 14:34:00,1718853137 Gwei
2025-11-16 14:34:15,1723448149 Gwei
2025-11-16 14:34:30,1730523127 Gwei
2025-11-16 14:34:45,1736955704 Gwei
2025-11-16 14:35:00,1749737235 Gwei
2025-11-16 14:35:15,1760114173 Gwei
2025-11-16 14:35:30,1774847146 Gwei
2025-11-16 14:35:45,1791374137 Gwei
2025-11-16 14:36:00,1816317860 Gwei
2025-11-16 14:36:15,1829387732 Gwei
2025-11-16 14:36:30,1850167304 Gwei
2025-11-16 14:36:45,1878200066 Gwei
2025-11-16 14:37:00,1907568974 Gwei
2025-11-16 14:37:15,1929051372 Gwei
2025-11-16 14:37:30,1971199510 Gwei
2025-11-16 14:37:45,2014739534 Gwei
2025-11-16 14:38:00,2080407619 Gwei
2025-11-16 14:38:15,2170947101 Gwei
