"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}"
2025-11-16 14:24:00,,,,,,,2.34 kb/s,,2.42 kb/s,,,2.95 kb/s,,,,,,,,,,,,,,,,,,
2025-11-16 14:24:15,3.54 kb/s,2.89 kb/s,4.74 kb/s,3.74 kb/s,6.71 kb/s,6.22 kb/s,26.3 kb/s,6.52 kb/s,23.3 kb/s,4.20 kb/s,3.55 kb/s,38.0 kb/s,6.96 kb/s,4.65 kb/s,3.92 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:24:30,41.0 kb/s,46.9 kb/s,56.0 kb/s,42.7 kb/s,48.4 kb/s,58.0 kb/s,51.7 kb/s,58.1 kb/s,54.5 kb/s,45.1 kb/s,51.6 kb/s,65.8 kb/s,53.0 kb/s,35.1 kb/s,42.9 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:24:45,76.7 kb/s,85.2 kb/s,89.7 kb/s,78.7 kb/s,82.9 kb/s,87.9 kb/s,75.9 kb/s,118 kb/s,86.8 kb/s,84.1 kb/s,84.8 kb/s,91.1 kb/s,75.5 kb/s,68.4 kb/s,88.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:25:00,112 kb/s,129 kb/s,119 kb/s,117 kb/s,109 kb/s,115 kb/s,111 kb/s,157 kb/s,125 kb/s,129 kb/s,114 kb/s,128 kb/s,106 kb/s,94.4 kb/s,153 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:25:15,164 kb/s,164 kb/s,151 kb/s,149 kb/s,143 kb/s,148 kb/s,159 kb/s,193 kb/s,173 kb/s,168 kb/s,156 kb/s,177 kb/s,130 kb/s,129 kb/s,197 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:25:30,200 kb/s,206 kb/s,202 kb/s,204 kb/s,176 kb/s,190 kb/s,189 kb/s,230 kb/s,213 kb/s,201 kb/s,181 kb/s,205 kb/s,164 kb/s,176 kb/s,236 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:25:45,234 kb/s,250 kb/s,234 kb/s,239 kb/s,215 kb/s,218 kb/s,219 kb/s,280 kb/s,247 kb/s,241 kb/s,211 kb/s,233 kb/s,191 kb/s,210 kb/s,283 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:26:00,275 kb/s,286 kb/s,271 kb/s,279 kb/s,243 kb/s,251 kb/s,254 kb/s,311 kb/s,286 kb/s,283 kb/s,244 kb/s,272 kb/s,222 kb/s,241 kb/s,338 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:26:15,329 kb/s,314 kb/s,314 kb/s,317 kb/s,281 kb/s,287 kb/s,306 kb/s,353 kb/s,339 kb/s,322 kb/s,290 kb/s,312 kb/s,249 kb/s,278 kb/s,367 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:26:30,361 kb/s,347 kb/s,370 kb/s,377 kb/s,317 kb/s,330 kb/s,340 kb/s,389 kb/s,380 kb/s,352 kb/s,326 kb/s,346 kb/s,288 kb/s,328 kb/s,396 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:26:45,394 kb/s,381 kb/s,405 kb/s,413 kb/s,359 kb/s,360 kb/s,371 kb/s,443 kb/s,416 kb/s,395 kb/s,361 kb/s,378 kb/s,314 kb/s,362 kb/s,437 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:27:00,435 kb/s,412 kb/s,437 kb/s,457 kb/s,389 kb/s,385 kb/s,403 kb/s,479 kb/s,456 kb/s,438 kb/s,393 kb/s,420 kb/s,346 kb/s,391 kb/s,489 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:27:15,491 kb/s,437 kb/s,475 kb/s,483 kb/s,423 kb/s,422 kb/s,451 kb/s,526 kb/s,509 kb/s,473 kb/s,438 kb/s,470 kb/s,373 kb/s,426 kb/s,524 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:27:30,520 kb/s,473 kb/s,522 kb/s,534 kb/s,459 kb/s,463 kb/s,484 kb/s,559 kb/s,552 kb/s,503 kb/s,472 kb/s,506 kb/s,418 kb/s,471 kb/s,554 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:27:45,553 kb/s,512 kb/s,557 kb/s,567 kb/s,502 kb/s,494 kb/s,513 kb/s,623 kb/s,577 kb/s,547 kb/s,509 kb/s,546 kb/s,447 kb/s,497 kb/s,594 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:28:00,596 kb/s,550 kb/s,590 kb/s,604 kb/s,535 kb/s,519 kb/s,549 kb/s,660 kb/s,612 kb/s,588 kb/s,535 kb/s,586 kb/s,483 kb/s,527 kb/s,645 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:28:15,651 kb/s,581 kb/s,628 kb/s,636 kb/s,572 kb/s,556 kb/s,594 kb/s,708 kb/s,645 kb/s,622 kb/s,582 kb/s,642 kb/s,511 kb/s,563 kb/s,679 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:28:30,683 kb/s,620 kb/s,683 kb/s,683 kb/s,604 kb/s,599 kb/s,628 kb/s,742 kb/s,677 kb/s,651 kb/s,608 kb/s,684 kb/s,552 kb/s,607 kb/s,710 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:28:45,713 kb/s,654 kb/s,708 kb/s,704 kb/s,645 kb/s,630 kb/s,655 kb/s,810 kb/s,701 kb/s,688 kb/s,642 kb/s,723 kb/s,577 kb/s,630 kb/s,748 kb/s,,,,,,,,,,,,,,,
