"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}"
2025-11-16 14:24:00,,,,,,,13.7 kb/s,,14.5 kb/s,,,14.4 kb/s,,,,,,,,,,,,,,,,,,
2025-11-16 14:24:15,20.0 kb/s,15.8 kb/s,23.2 kb/s,22.2 kb/s,18.5 kb/s,18.0 kb/s,46.0 kb/s,19.3 kb/s,41.0 kb/s,17.9 kb/s,19.9 kb/s,49.4 kb/s,13.0 kb/s,22.3 kb/s,17.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:24:30,64.5 kb/s,66.6 kb/s,74.7 kb/s,64.0 kb/s,53.0 kb/s,80.6 kb/s,79.0 kb/s,74.5 kb/s,81.9 kb/s,58.5 kb/s,67.6 kb/s,82.7 kb/s,58.6 kb/s,50.3 kb/s,63.9 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:24:45,114 kb/s,112 kb/s,118 kb/s,103 kb/s,89.4 kb/s,119 kb/s,115 kb/s,127 kb/s,116 kb/s,98.9 kb/s,108 kb/s,117 kb/s,84.9 kb/s,80.5 kb/s,107 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:25:00,166 kb/s,160 kb/s,160 kb/s,148 kb/s,119 kb/s,161 kb/s,161 kb/s,166 kb/s,159 kb/s,150 kb/s,147 kb/s,161 kb/s,116 kb/s,111 kb/s,165 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:25:15,240 kb/s,201 kb/s,204 kb/s,183 kb/s,154 kb/s,212 kb/s,223 kb/s,224 kb/s,209 kb/s,193 kb/s,204 kb/s,214 kb/s,143 kb/s,148 kb/s,205 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:25:30,288 kb/s,256 kb/s,262 kb/s,244 kb/s,188 kb/s,270 kb/s,265 kb/s,264 kb/s,251 kb/s,230 kb/s,246 kb/s,256 kb/s,186 kb/s,202 kb/s,249 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:25:45,340 kb/s,308 kb/s,304 kb/s,287 kb/s,233 kb/s,318 kb/s,310 kb/s,318 kb/s,290 kb/s,279 kb/s,289 kb/s,293 kb/s,217 kb/s,237 kb/s,295 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:26:00,391 kb/s,355 kb/s,351 kb/s,329 kb/s,266 kb/s,354 kb/s,366 kb/s,364 kb/s,339 kb/s,332 kb/s,330 kb/s,340 kb/s,255 kb/s,268 kb/s,346 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:26:15,466 kb/s,397 kb/s,398 kb/s,370 kb/s,302 kb/s,404 kb/s,435 kb/s,416 kb/s,392 kb/s,375 kb/s,391 kb/s,395 kb/s,288 kb/s,305 kb/s,387 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:26:30,516 kb/s,447 kb/s,468 kb/s,431 kb/s,336 kb/s,459 kb/s,481 kb/s,457 kb/s,438 kb/s,414 kb/s,432 kb/s,440 kb/s,342 kb/s,353 kb/s,424 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:26:45,568 kb/s,497 kb/s,513 kb/s,469 kb/s,379 kb/s,507 kb/s,522 kb/s,518 kb/s,478 kb/s,459 kb/s,476 kb/s,480 kb/s,378 kb/s,385 kb/s,469 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:27:00,620 kb/s,545 kb/s,559 kb/s,513 kb/s,411 kb/s,548 kb/s,574 kb/s,562 kb/s,527 kb/s,509 kb/s,516 kb/s,535 kb/s,423 kb/s,419 kb/s,521 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:27:15,691 kb/s,583 kb/s,606 kb/s,554 kb/s,447 kb/s,597 kb/s,633 kb/s,609 kb/s,576 kb/s,550 kb/s,576 kb/s,595 kb/s,462 kb/s,455 kb/s,560 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:27:30,742 kb/s,632 kb/s,670 kb/s,615 kb/s,481 kb/s,655 kb/s,676 kb/s,653 kb/s,618 kb/s,587 kb/s,613 kb/s,639 kb/s,523 kb/s,500 kb/s,597 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:27:45,794 kb/s,685 kb/s,715 kb/s,655 kb/s,522 kb/s,701 kb/s,719 kb/s,715 kb/s,655 kb/s,636 kb/s,659 kb/s,680 kb/s,560 kb/s,537 kb/s,643 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:28:00,847 kb/s,732 kb/s,765 kb/s,707 kb/s,552 kb/s,742 kb/s,772 kb/s,760 kb/s,700 kb/s,685 kb/s,700 kb/s,735 kb/s,606 kb/s,577 kb/s,702 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:28:15,918 kb/s,771 kb/s,812 kb/s,745 kb/s,585 kb/s,786 kb/s,834 kb/s,814 kb/s,747 kb/s,724 kb/s,755 kb/s,797 kb/s,642 kb/s,614 kb/s,743 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:28:30,970 kb/s,820 kb/s,874 kb/s,808 kb/s,622 kb/s,836 kb/s,875 kb/s,861 kb/s,788 kb/s,761 kb/s,798 kb/s,867 kb/s,700 kb/s,663 kb/s,783 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:28:45,1.02 Mb/s,873 kb/s,910 kb/s,842 kb/s,664 kb/s,880 kb/s,922 kb/s,916 kb/s,827 kb/s,803 kb/s,839 kb/s,901 kb/s,741 kb/s,692 kb/s,830 kb/s,,,,,,,,,,,,,,,
