"Time","Value"
2025-11-16 14:42:30,1066666667 Gwei
2025-11-16 14:42:45,1033333334 Gwei
2025-11-16 14:43:00,1033333334 Gwei
2025-11-16 14:43:15,27569166667 Gwei
2025-11-16 14:43:30,47902649876 Gwei
2025-11-16 14:43:45,34804696517 Gwei
2025-11-16 14:44:00,8640985070 Gwei
2025-11-16 14:44:15,2065811450 Gwei
2025-11-16 14:44:30,2042068088 Gwei
2025-11-16 14:44:45,2017696751 Gwei
2025-11-16 14:45:00,1993054657 Gwei
2025-11-16 14:45:15,1963626701 Gwei
2025-11-16 14:45:30,1940367049 Gwei
2025-11-16 14:45:45,1929027938 Gwei
2025-11-16 14:46:00,1912546765 Gwei
2025-11-16 14:46:15,1890732565 Gwei
2025-11-16 14:46:30,1875143391 Gwei
2025-11-16 14:46:45,1859770341 Gwei
2025-11-16 14:47:00,1847183163 Gwei
2025-11-16 14:47:15,1829061769 Gwei
2025-11-16 14:47:30,1809946247 Gwei
2025-11-16 14:47:45,1795748394 Gwei
2025-11-16 14:48:00,1782844988 Gwei
2025-11-16 14:48:15,1768484490 Gwei
2025-11-16 14:48:30,1756638894 Gwei
2025-11-16 14:48:45,1747679230 Gwei
2025-11-16 14:49:00,1739596263 Gwei
2025-11-16 14:49:15,1730325226 Gwei
2025-11-16 14:49:30,1723756070 Gwei
2025-11-16 14:49:45,1720451929 Gwei
2025-11-16 14:50:00,1718105847 Gwei
2025-11-16 14:50:15,1715610383 Gwei
2025-11-16 14:50:30,1715274770 Gwei
2025-11-16 14:50:45,1717455109 Gwei
2025-11-16 14:51:00,1719795341 Gwei
2025-11-16 14:51:15,1721939395 Gwei
2025-11-16 14:51:30,1727148219 Gwei
2025-11-16 14:51:45,1731920841 Gwei
2025-11-16 14:52:00,1736545235 Gwei
2025-11-16 14:52:15,1740194692 Gwei
2025-11-16 14:52:30,1749920823 Gwei
2025-11-16 14:52:45,1757872797 Gwei
2025-11-16 14:53:00,1769185513 Gwei
2025-11-16 14:53:15,1779701146 Gwei
2025-11-16 14:53:30,1795811450 Gwei
2025-11-16 14:53:45,1813255253 Gwei
2025-11-16 14:54:00,1823199792 Gwei
2025-11-16 14:54:15,1843590171 Gwei
2025-11-16 14:54:30,1867828005 Gwei
2025-11-16 14:54:45,1891781925 Gwei
2025-11-16 14:55:00,1915354358 Gwei
2025-11-16 14:55:15,1947821351 Gwei
2025-11-16 14:55:30,1984182365 Gwei
2025-11-16 14:55:45,2017009514 Gwei
2025-11-16 14:56:00,2053663172 Gwei
2025-11-16 14:56:15,2094808734 Gwei
2025-11-16 14:56:30,2154971707 Gwei
2025-11-16 14:56:45,2271226349 Gwei
2025-11-16 14:57:00,2365207189 Gwei
