"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}"
2025-11-16 14:42:45,2.99 kb/s,,,,,,2.39 kb/s,,,,,,2.34 kb/s,,,,,,,,,,,,,,,,,
2025-11-16 14:43:00,30.9 kb/s,4.74 kb/s,4.30 kb/s,4.15 kb/s,5.31 kb/s,3.54 kb/s,25.6 kb/s,7.43 kb/s,3.67 kb/s,4.99 kb/s,3.66 kb/s,4.54 kb/s,29.5 kb/s,4.33 kb/s,3.30 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:43:15,63.6 kb/s,42.6 kb/s,39.7 kb/s,43.8 kb/s,67.6 kb/s,33.6 kb/s,53.0 kb/s,51.1 kb/s,54.9 kb/s,56.2 kb/s,39.4 kb/s,59.6 kb/s,56.2 kb/s,55.8 kb/s,41.1 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:43:30,107 kb/s,81.9 kb/s,77.2 kb/s,76.1 kb/s,108 kb/s,71.5 kb/s,92.3 kb/s,104 kb/s,106 kb/s,84.0 kb/s,81.0 kb/s,88.6 kb/s,92.2 kb/s,113 kb/s,75.2 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:43:45,138 kb/s,129 kb/s,122 kb/s,123 kb/s,147 kb/s,106 kb/s,123 kb/s,139 kb/s,139 kb/s,118 kb/s,110 kb/s,127 kb/s,118 kb/s,148 kb/s,118 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:44:00,183 kb/s,180 kb/s,157 kb/s,161 kb/s,175 kb/s,141 kb/s,169 kb/s,178 kb/s,168 kb/s,147 kb/s,158 kb/s,158 kb/s,165 kb/s,177 kb/s,150 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:44:15,216 kb/s,213 kb/s,187 kb/s,200 kb/s,209 kb/s,171 kb/s,200 kb/s,213 kb/s,205 kb/s,192 kb/s,191 kb/s,205 kb/s,199 kb/s,220 kb/s,180 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:44:30,255 kb/s,256 kb/s,226 kb/s,231 kb/s,239 kb/s,209 kb/s,242 kb/s,266 kb/s,252 kb/s,224 kb/s,224 kb/s,242 kb/s,238 kb/s,273 kb/s,222 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:44:45,283 kb/s,293 kb/s,268 kb/s,294 kb/s,279 kb/s,245 kb/s,275 kb/s,297 kb/s,280 kb/s,259 kb/s,254 kb/s,279 kb/s,270 kb/s,309 kb/s,274 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:45:00,331 kb/s,335 kb/s,308 kb/s,322 kb/s,306 kb/s,280 kb/s,321 kb/s,332 kb/s,306 kb/s,288 kb/s,306 kb/s,313 kb/s,318 kb/s,344 kb/s,308 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:45:15,362 kb/s,369 kb/s,340 kb/s,355 kb/s,341 kb/s,310 kb/s,353 kb/s,357 kb/s,340 kb/s,337 kb/s,338 kb/s,361 kb/s,346 kb/s,377 kb/s,343 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:45:30,398 kb/s,412 kb/s,376 kb/s,393 kb/s,369 kb/s,348 kb/s,394 kb/s,407 kb/s,389 kb/s,368 kb/s,375 kb/s,390 kb/s,389 kb/s,431 kb/s,383 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:45:45,428 kb/s,459 kb/s,423 kb/s,448 kb/s,408 kb/s,388 kb/s,425 kb/s,440 kb/s,423 kb/s,405 kb/s,405 kb/s,428 kb/s,417 kb/s,466 kb/s,426 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:46:00,471 kb/s,497 kb/s,456 kb/s,485 kb/s,438 kb/s,423 kb/s,478 kb/s,482 kb/s,449 kb/s,434 kb/s,457 kb/s,453 kb/s,469 kb/s,501 kb/s,455 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:46:15,502 kb/s,529 kb/s,487 kb/s,527 kb/s,470 kb/s,452 kb/s,509 kb/s,511 kb/s,488 kb/s,479 kb/s,488 kb/s,503 kb/s,499 kb/s,540 kb/s,482 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:46:30,544 kb/s,564 kb/s,524 kb/s,567 kb/s,502 kb/s,488 kb/s,548 kb/s,562 kb/s,543 kb/s,509 kb/s,528 kb/s,537 kb/s,538 kb/s,600 kb/s,514 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:46:45,577 kb/s,608 kb/s,572 kb/s,628 kb/s,538 kb/s,525 kb/s,578 kb/s,592 kb/s,573 kb/s,546 kb/s,560 kb/s,578 kb/s,567 kb/s,634 kb/s,557 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:47:00,634 kb/s,650 kb/s,611 kb/s,662 kb/s,569 kb/s,557 kb/s,622 kb/s,631 kb/s,604 kb/s,576 kb/s,607 kb/s,605 kb/s,622 kb/s,669 kb/s,589 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:47:15,672 kb/s,684 kb/s,641 kb/s,702 kb/s,608 kb/s,582 kb/s,655 kb/s,665 kb/s,635 kb/s,623 kb/s,635 kb/s,655 kb/s,651 kb/s,709 kb/s,615 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:47:30,709 kb/s,729 kb/s,684 kb/s,738 kb/s,640 kb/s,617 kb/s,698 kb/s,713 kb/s,674 kb/s,656 kb/s,663 kb/s,689 kb/s,688 kb/s,765 kb/s,652 kb/s,,,,,,,,,,,,,,,
