"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-besu:5054"", job=""cl-13-lighthouse-besu"", service=""cl-13-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}"
2025-11-16 14:42:45,14.2 kb/s,,,,,,13.9 kb/s,,,,,,13.7 kb/s,,,,,,,,,,,,,,,,,
2025-11-16 14:43:00,54.9 kb/s,19.1 kb/s,18.0 kb/s,17.2 kb/s,17.2 kb/s,18.4 kb/s,44.8 kb/s,20.5 kb/s,15.8 kb/s,13.1 kb/s,20.2 kb/s,12.8 kb/s,37.9 kb/s,15.8 kb/s,17.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:43:15,96.9 kb/s,64.4 kb/s,55.5 kb/s,63.9 kb/s,59.2 kb/s,49.5 kb/s,77.4 kb/s,64.7 kb/s,76.6 kb/s,84.7 kb/s,68.9 kb/s,75.8 kb/s,66.5 kb/s,62.0 kb/s,56.3 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:43:30,150 kb/s,115 kb/s,102 kb/s,102 kb/s,94.7 kb/s,83.5 kb/s,120 kb/s,118 kb/s,147 kb/s,123 kb/s,118 kb/s,114 kb/s,101 kb/s,120 kb/s,92.3 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:43:45,198 kb/s,166 kb/s,158 kb/s,163 kb/s,135 kb/s,124 kb/s,156 kb/s,157 kb/s,195 kb/s,172 kb/s,157 kb/s,164 kb/s,130 kb/s,157 kb/s,141 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:44:00,275 kb/s,208 kb/s,200 kb/s,202 kb/s,166 kb/s,170 kb/s,212 kb/s,206 kb/s,243 kb/s,209 kb/s,216 kb/s,205 kb/s,176 kb/s,199 kb/s,176 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:44:15,317 kb/s,251 kb/s,238 kb/s,253 kb/s,202 kb/s,204 kb/s,249 kb/s,241 kb/s,303 kb/s,270 kb/s,255 kb/s,271 kb/s,211 kb/s,238 kb/s,210 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:44:30,371 kb/s,301 kb/s,284 kb/s,298 kb/s,238 kb/s,240 kb/s,296 kb/s,301 kb/s,367 kb/s,312 kb/s,309 kb/s,307 kb/s,249 kb/s,290 kb/s,253 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:44:45,416 kb/s,363 kb/s,345 kb/s,361 kb/s,279 kb/s,283 kb/s,333 kb/s,343 kb/s,407 kb/s,363 kb/s,347 kb/s,356 kb/s,285 kb/s,325 kb/s,306 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:45:00,481 kb/s,411 kb/s,385 kb/s,407 kb/s,311 kb/s,336 kb/s,392 kb/s,392 kb/s,444 kb/s,405 kb/s,407 kb/s,391 kb/s,335 kb/s,361 kb/s,345 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:45:15,526 kb/s,453 kb/s,422 kb/s,460 kb/s,347 kb/s,370 kb/s,430 kb/s,434 kb/s,494 kb/s,465 kb/s,445 kb/s,449 kb/s,373 kb/s,401 kb/s,378 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:45:30,583 kb/s,500 kb/s,473 kb/s,503 kb/s,385 kb/s,409 kb/s,477 kb/s,494 kb/s,550 kb/s,511 kb/s,496 kb/s,488 kb/s,413 kb/s,457 kb/s,419 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:45:45,627 kb/s,555 kb/s,531 kb/s,569 kb/s,433 kb/s,453 kb/s,516 kb/s,533 kb/s,592 kb/s,562 kb/s,536 kb/s,533 kb/s,446 kb/s,494 kb/s,473 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:46:00,694 kb/s,609 kb/s,577 kb/s,612 kb/s,467 kb/s,494 kb/s,570 kb/s,579 kb/s,634 kb/s,604 kb/s,595 kb/s,574 kb/s,498 kb/s,532 kb/s,510 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:46:15,741 kb/s,650 kb/s,617 kb/s,661 kb/s,506 kb/s,526 kb/s,610 kb/s,620 kb/s,684 kb/s,667 kb/s,635 kb/s,632 kb/s,536 kb/s,574 kb/s,544 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:46:30,800 kb/s,702 kb/s,666 kb/s,702 kb/s,544 kb/s,566 kb/s,660 kb/s,678 kb/s,746 kb/s,714 kb/s,682 kb/s,670 kb/s,579 kb/s,624 kb/s,586 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:46:45,847 kb/s,755 kb/s,725 kb/s,766 kb/s,593 kb/s,607 kb/s,699 kb/s,721 kb/s,792 kb/s,770 kb/s,720 kb/s,713 kb/s,616 kb/s,668 kb/s,637 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:47:00,917 kb/s,799 kb/s,767 kb/s,812 kb/s,628 kb/s,654 kb/s,759 kb/s,768 kb/s,835 kb/s,815 kb/s,778 kb/s,750 kb/s,670 kb/s,708 kb/s,675 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:47:15,965 kb/s,838 kb/s,812 kb/s,864 kb/s,666 kb/s,691 kb/s,799 kb/s,804 kb/s,892 kb/s,883 kb/s,820 kb/s,810 kb/s,709 kb/s,748 kb/s,710 kb/s,,,,,,,,,,,,,,,
2025-11-16 14:47:30,1.03 Mb/s,881 kb/s,855 kb/s,910 kb/s,708 kb/s,730 kb/s,844 kb/s,863 kb/s,960 kb/s,935 kb/s,870 kb/s,860 kb/s,750 kb/s,799 kb/s,753 kb/s,,,,,,,,,,,,,,,
