"Time","Value"
2025-11-16 05:36:30,1000000001 Gwei
2025-11-16 05:36:45,1000000001 Gwei
2025-11-16 05:37:00,983333334 Gwei
2025-11-16 05:37:15,20869791667 Gwei
2025-11-16 05:37:30,100735098415 Gwei
2025-11-16 05:37:45,100651262312 Gwei
2025-11-16 05:38:00,87523524800 Gwei
2025-11-16 05:38:15,15588150750 Gwei
2025-11-16 05:38:30,2460116555 Gwei
2025-11-16 05:38:45,2406522970 Gwei
2025-11-16 05:39:00,2367840917 Gwei
2025-11-16 05:39:15,2326952242 Gwei
2025-11-16 05:39:30,2289265353 Gwei
2025-11-16 05:39:45,2254573961 Gwei
2025-11-16 05:40:00,2230522036 Gwei
2025-11-16 05:40:15,2205603053 Gwei
2025-11-16 05:40:30,2181574248 Gwei
2025-11-16 05:40:45,2159967635 Gwei
2025-11-16 05:41:00,2144830167 Gwei
2025-11-16 05:41:15,2128871306 Gwei
2025-11-16 05:41:30,2113436918 Gwei
2025-11-16 05:41:45,2099906371 Gwei
2025-11-16 05:42:00,2090695991 Gwei
2025-11-16 05:42:15,2080609714 Gwei
2025-11-16 05:42:30,2070322210 Gwei
2025-11-16 05:42:45,2062563695 Gwei
2025-11-16 05:43:00,2056753522 Gwei
2025-11-16 05:43:15,2050325203 Gwei
2025-11-16 05:43:30,2044302877 Gwei
2025-11-16 05:43:45,2040123746 Gwei
2025-11-16 05:44:00,2039201137 Gwei
2025-11-16 05:44:15,2043105080 Gwei
2025-11-16 05:44:30,2047588144 Gwei
2025-11-16 05:44:45,2052260266 Gwei
2025-11-16 05:45:00,2057860441 Gwei
2025-11-16 05:45:15,2065244469 Gwei
2025-11-16 05:45:30,2072726213 Gwei
2025-11-16 05:45:45,2081580976 Gwei
2025-11-16 05:46:00,2090638270 Gwei
2025-11-16 05:46:15,2100689474 Gwei
2025-11-16 05:46:30,2110542267 Gwei
2025-11-16 05:46:45,2123266997 Gwei
2025-11-16 05:47:00,2136272146 Gwei
2025-11-16 05:47:15,2149578451 Gwei
2025-11-16 05:47:30,2166663897 Gwei
2025-11-16 05:47:45,2187548187 Gwei
2025-11-16 05:48:00,2206895909 Gwei
2025-11-16 05:48:15,2230136469 Gwei
2025-11-16 05:48:30,2256120529 Gwei
2025-11-16 05:48:45,2287219548 Gwei
2025-11-16 05:49:00,2318266382 Gwei
2025-11-16 05:49:15,2349336006 Gwei
2025-11-16 05:49:30,2384374525 Gwei
2025-11-16 05:49:45,2435537110 Gwei
2025-11-16 05:50:00,2484128531 Gwei
2025-11-16 05:50:15,2534539952 Gwei
2025-11-16 05:50:30,2596057715 Gwei
2025-11-16 05:50:45,2650132978 Gwei
