"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}"
2025-11-16 05:36:45,2.53 kb/s,1.38 kb/s,3.31 kb/s,1.57 kb/s,2.87 kb/s,2.48 kb/s,898 b/s,3.00 kb/s,1.55 kb/s,2.54 kb/s,2.55 kb/s,2.75 kb/s,2.56 kb/s,1.49 kb/s,1.94 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:37:00,4.15 kb/s,3.97 kb/s,6.05 kb/s,4.19 kb/s,4.76 kb/s,4.19 kb/s,5.96 kb/s,11.8 kb/s,5.24 kb/s,4.21 kb/s,4.29 kb/s,7.04 kb/s,4.27 kb/s,4.04 kb/s,3.63 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:37:15,38.3 kb/s,47.2 kb/s,70.0 kb/s,33.5 kb/s,33.1 kb/s,51.5 kb/s,73.6 kb/s,73.4 kb/s,35.9 kb/s,48.4 kb/s,49.3 kb/s,64.9 kb/s,43.3 kb/s,32.0 kb/s,45.7 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:37:30,78.5 kb/s,85.6 kb/s,103 kb/s,73.5 kb/s,72.2 kb/s,102 kb/s,110 kb/s,103 kb/s,68.3 kb/s,90.1 kb/s,88.6 kb/s,101 kb/s,87.8 kb/s,73.1 kb/s,85.4 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:37:45,127 kb/s,139 kb/s,143 kb/s,107 kb/s,115 kb/s,140 kb/s,146 kb/s,140 kb/s,109 kb/s,127 kb/s,123 kb/s,133 kb/s,120 kb/s,117 kb/s,122 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:38:00,193 kb/s,169 kb/s,177 kb/s,155 kb/s,148 kb/s,204 kb/s,189 kb/s,172 kb/s,158 kb/s,171 kb/s,179 kb/s,171 kb/s,185 kb/s,153 kb/s,152 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:38:15,235 kb/s,213 kb/s,229 kb/s,191 kb/s,177 kb/s,237 kb/s,234 kb/s,213 kb/s,202 kb/s,205 kb/s,218 kb/s,213 kb/s,217 kb/s,179 kb/s,195 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:38:30,261 kb/s,249 kb/s,260 kb/s,229 kb/s,217 kb/s,283 kb/s,262 kb/s,241 kb/s,231 kb/s,242 kb/s,260 kb/s,243 kb/s,265 kb/s,219 kb/s,234 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:38:45,295 kb/s,312 kb/s,297 kb/s,258 kb/s,266 kb/s,311 kb/s,291 kb/s,276 kb/s,278 kb/s,274 kb/s,299 kb/s,276 kb/s,304 kb/s,263 kb/s,275 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:39:00,351 kb/s,344 kb/s,326 kb/s,301 kb/s,300 kb/s,370 kb/s,331 kb/s,302 kb/s,326 kb/s,310 kb/s,348 kb/s,318 kb/s,369 kb/s,297 kb/s,304 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:39:15,383 kb/s,386 kb/s,368 kb/s,335 kb/s,329 kb/s,398 kb/s,370 kb/s,337 kb/s,371 kb/s,345 kb/s,386 kb/s,369 kb/s,406 kb/s,327 kb/s,341 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:39:30,411 kb/s,413 kb/s,397 kb/s,373 kb/s,366 kb/s,438 kb/s,405 kb/s,364 kb/s,404 kb/s,380 kb/s,423 kb/s,410 kb/s,455 kb/s,367 kb/s,382 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:39:45,450 kb/s,451 kb/s,433 kb/s,406 kb/s,404 kb/s,475 kb/s,433 kb/s,397 kb/s,445 kb/s,413 kb/s,450 kb/s,446 kb/s,492 kb/s,409 kb/s,420 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:40:00,500 kb/s,476 kb/s,459 kb/s,450 kb/s,436 kb/s,526 kb/s,471 kb/s,423 kb/s,493 kb/s,456 kb/s,503 kb/s,488 kb/s,562 kb/s,439 kb/s,449 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:40:15,527 kb/s,512 kb/s,502 kb/s,477 kb/s,465 kb/s,563 kb/s,526 kb/s,458 kb/s,535 kb/s,484 kb/s,537 kb/s,542 kb/s,596 kb/s,466 kb/s,484 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:40:30,556 kb/s,538 kb/s,530 kb/s,515 kb/s,503 kb/s,607 kb/s,563 kb/s,484 kb/s,567 kb/s,522 kb/s,572 kb/s,578 kb/s,638 kb/s,502 kb/s,522 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:40:45,601 kb/s,579 kb/s,563 kb/s,546 kb/s,547 kb/s,638 kb/s,591 kb/s,519 kb/s,609 kb/s,559 kb/s,606 kb/s,611 kb/s,673 kb/s,543 kb/s,559 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:41:00,645 kb/s,607 kb/s,590 kb/s,595 kb/s,579 kb/s,704 kb/s,637 kb/s,548 kb/s,649 kb/s,603 kb/s,645 kb/s,650 kb/s,734 kb/s,578 kb/s,589 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:41:15,675 kb/s,641 kb/s,632 kb/s,626 kb/s,608 kb/s,746 kb/s,695 kb/s,589 kb/s,682 kb/s,630 kb/s,680 kb/s,689 kb/s,764 kb/s,608 kb/s,628 kb/s,,,,,,,,,,,,,,,
