"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}"
2025-11-16 05:36:45,16.2 kb/s,14.4 kb/s,15.8 kb/s,15.5 kb/s,15.1 kb/s,15.6 kb/s,11.9 kb/s,15.4 kb/s,16.1 kb/s,15.8 kb/s,16.0 kb/s,12.8 kb/s,16.1 kb/s,14.9 kb/s,14.0 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:37:00,26.6 kb/s,23.6 kb/s,22.9 kb/s,25.0 kb/s,24.3 kb/s,25.6 kb/s,23.5 kb/s,25.1 kb/s,26.7 kb/s,25.3 kb/s,25.9 kb/s,23.8 kb/s,25.7 kb/s,24.1 kb/s,22.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:37:15,70.0 kb/s,73.1 kb/s,88.2 kb/s,58.6 kb/s,54.4 kb/s,72.3 kb/s,98.2 kb/s,83.1 kb/s,61.1 kb/s,78.0 kb/s,77.5 kb/s,73.6 kb/s,65.8 kb/s,59.2 kb/s,73.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:37:30,120 kb/s,114 kb/s,128 kb/s,101 kb/s,88.7 kb/s,127 kb/s,140 kb/s,115 kb/s,93.2 kb/s,138 kb/s,128 kb/s,111 kb/s,119 kb/s,105 kb/s,129 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:37:45,175 kb/s,182 kb/s,174 kb/s,139 kb/s,133 kb/s,168 kb/s,178 kb/s,152 kb/s,132 kb/s,189 kb/s,172 kb/s,144 kb/s,160 kb/s,158 kb/s,183 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:38:00,241 kb/s,232 kb/s,216 kb/s,195 kb/s,168 kb/s,241 kb/s,232 kb/s,185 kb/s,184 kb/s,263 kb/s,234 kb/s,182 kb/s,219 kb/s,206 kb/s,228 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:38:15,285 kb/s,288 kb/s,272 kb/s,230 kb/s,199 kb/s,288 kb/s,301 kb/s,229 kb/s,227 kb/s,311 kb/s,276 kb/s,233 kb/s,265 kb/s,248 kb/s,282 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:38:30,327 kb/s,333 kb/s,310 kb/s,274 kb/s,233 kb/s,342 kb/s,343 kb/s,262 kb/s,268 kb/s,365 kb/s,320 kb/s,275 kb/s,320 kb/s,295 kb/s,337 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:38:45,382 kb/s,399 kb/s,352 kb/s,313 kb/s,278 kb/s,389 kb/s,384 kb/s,300 kb/s,306 kb/s,413 kb/s,362 kb/s,306 kb/s,363 kb/s,359 kb/s,391 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:39:00,437 kb/s,447 kb/s,388 kb/s,372 kb/s,311 kb/s,454 kb/s,432 kb/s,337 kb/s,355 kb/s,478 kb/s,425 kb/s,344 kb/s,424 kb/s,410 kb/s,437 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:39:15,478 kb/s,500 kb/s,438 kb/s,409 kb/s,343 kb/s,505 kb/s,494 kb/s,382 kb/s,399 kb/s,518 kb/s,467 kb/s,392 kb/s,467 kb/s,455 kb/s,495 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:39:30,519 kb/s,542 kb/s,474 kb/s,455 kb/s,377 kb/s,559 kb/s,541 kb/s,417 kb/s,433 kb/s,571 kb/s,512 kb/s,436 kb/s,520 kb/s,498 kb/s,548 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:39:45,575 kb/s,602 kb/s,516 kb/s,493 kb/s,421 kb/s,600 kb/s,588 kb/s,455 kb/s,472 kb/s,611 kb/s,558 kb/s,472 kb/s,565 kb/s,548 kb/s,603 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:40:00,629 kb/s,644 kb/s,552 kb/s,551 kb/s,456 kb/s,666 kb/s,647 kb/s,487 kb/s,517 kb/s,667 kb/s,617 kb/s,511 kb/s,628 kb/s,595 kb/s,647 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:40:15,672 kb/s,692 kb/s,601 kb/s,591 kb/s,487 kb/s,705 kb/s,710 kb/s,536 kb/s,556 kb/s,709 kb/s,660 kb/s,561 kb/s,674 kb/s,636 kb/s,699 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:40:30,715 kb/s,731 kb/s,638 kb/s,637 kb/s,521 kb/s,759 kb/s,758 kb/s,569 kb/s,591 kb/s,758 kb/s,710 kb/s,600 kb/s,729 kb/s,686 kb/s,752 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:40:45,764 kb/s,791 kb/s,679 kb/s,676 kb/s,563 kb/s,810 kb/s,807 kb/s,608 kb/s,629 kb/s,800 kb/s,761 kb/s,633 kb/s,773 kb/s,744 kb/s,806 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:41:00,827 kb/s,834 kb/s,713 kb/s,730 kb/s,598 kb/s,869 kb/s,860 kb/s,643 kb/s,673 kb/s,855 kb/s,830 kb/s,672 kb/s,827 kb/s,790 kb/s,852 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:41:15,871 kb/s,884 kb/s,763 kb/s,770 kb/s,629 kb/s,910 kb/s,920 kb/s,688 kb/s,710 kb/s,903 kb/s,875 kb/s,726 kb/s,875 kb/s,832 kb/s,908 kb/s,,,,,,,,,,,,,,,
