"Time","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-06-geth-lighthouse:9001"", job=""el-06-geth-lighthouse"", service=""el-06-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-07-geth-lighthouse:9001"", job=""el-07-geth-lighthouse"", service=""el-07-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-08-geth-lighthouse:9001"", job=""el-08-geth-lighthouse"", service=""el-08-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-09-geth-lighthouse:9001"", job=""el-09-geth-lighthouse"", service=""el-09-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-10-geth-lighthouse:9001"", job=""el-10-geth-lighthouse"", service=""el-10-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-11-geth-lighthouse:9001"", job=""el-11-geth-lighthouse"", service=""el-11-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-12-geth-lighthouse:9001"", job=""el-12-geth-lighthouse"", service=""el-12-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-13-geth-lighthouse:9001"", job=""el-13-geth-lighthouse"", service=""el-13-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-14-geth-lighthouse:9001"", job=""el-14-geth-lighthouse"", service=""el-14-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-15-geth-lighthouse:9001"", job=""el-15-geth-lighthouse"", service=""el-15-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-12-geth-lighthouse:9001"", job=""el-12-geth-lighthouse"", service=""el-12-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-08-geth-lighthouse:9001"", job=""el-08-geth-lighthouse"", service=""el-08-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-10-geth-lighthouse:9001"", job=""el-10-geth-lighthouse"", service=""el-10-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-13-geth-lighthouse:9001"", job=""el-13-geth-lighthouse"", service=""el-13-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-09-geth-lighthouse:9001"", job=""el-09-geth-lighthouse"", service=""el-09-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-06-geth-lighthouse:9001"", job=""el-06-geth-lighthouse"", service=""el-06-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-11-geth-lighthouse:9001"", job=""el-11-geth-lighthouse"", service=""el-11-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-07-geth-lighthouse:9001"", job=""el-07-geth-lighthouse"", service=""el-07-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-14-geth-lighthouse:9001"", job=""el-14-geth-lighthouse"", service=""el-14-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-15-geth-lighthouse:9001"", job=""el-15-geth-lighthouse"", service=""el-15-geth-lighthouse""}"
2025-11-16 05:55:30,0.874 vCPU,0.644 vCPU,0.881 vCPU,0.488 vCPU,0.783 vCPU,0.751 vCPU,0.546 vCPU,0.769 vCPU,0.776 vCPU,0.854 vCPU,0.516 vCPU,0.829 vCPU,0.749 vCPU,0.507 vCPU,0.339 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:55:45,0.820 vCPU,0.616 vCPU,0.789 vCPU,0.687 vCPU,1.02 vCPU,0.691 vCPU,0.550 vCPU,0.863 vCPU,0.709 vCPU,0.852 vCPU,0.525 vCPU,1.07 vCPU,0.845 vCPU,0.520 vCPU,0.779 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:56:00,1.48 vCPU,1.50 vCPU,1.49 vCPU,1.44 vCPU,1.46 vCPU,1.46 vCPU,1.48 vCPU,1.46 vCPU,1.47 vCPU,1.49 vCPU,1.45 vCPU,1.38 vCPU,1.47 vCPU,1.46 vCPU,1.63 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:56:15,1.55 vCPU,1.60 vCPU,1.53 vCPU,1.87 vCPU,1.62 vCPU,1.60 vCPU,1.70 vCPU,1.62 vCPU,1.60 vCPU,1.58 vCPU,1.86 vCPU,1.61 vCPU,1.62 vCPU,1.86 vCPU,1.90 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:56:30,1.99 vCPU,2.28 vCPU,1.99 vCPU,2.16 vCPU,1.92 vCPU,2.20 vCPU,2.29 vCPU,1.92 vCPU,2.09 vCPU,1.99 vCPU,2.32 vCPU,1.91 vCPU,1.92 vCPU,2.32 vCPU,2.00 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:56:45,1.78 vCPU,1.91 vCPU,1.96 vCPU,2.00 vCPU,1.74 vCPU,1.97 vCPU,1.91 vCPU,1.75 vCPU,1.96 vCPU,1.71 vCPU,1.92 vCPU,1.86 vCPU,1.73 vCPU,1.92 vCPU,1.72 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:57:00,1.96 vCPU,2.01 vCPU,1.97 vCPU,1.75 vCPU,1.94 vCPU,1.93 vCPU,1.91 vCPU,1.94 vCPU,1.92 vCPU,1.96 vCPU,1.75 vCPU,1.85 vCPU,1.95 vCPU,1.75 vCPU,2.00 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:57:15,1.98 vCPU,1.84 vCPU,2.01 vCPU,2.09 vCPU,2.03 vCPU,1.90 vCPU,1.95 vCPU,2.03 vCPU,2.01 vCPU,1.97 vCPU,2.09 vCPU,2.01 vCPU,2.03 vCPU,2.08 vCPU,2.06 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:57:30,2.11 vCPU,2.18 vCPU,1.91 vCPU,2.14 vCPU,2.08 vCPU,2.11 vCPU,2.19 vCPU,2.08 vCPU,2.01 vCPU,2.18 vCPU,2.21 vCPU,2.07 vCPU,2.09 vCPU,2.21 vCPU,2.28 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:57:45,2.10 vCPU,2.24 vCPU,2.29 vCPU,2.37 vCPU,2.04 vCPU,2.31 vCPU,2.26 vCPU,2.04 vCPU,2.29 vCPU,2.03 vCPU,2.27 vCPU,2.15 vCPU,2.03 vCPU,2.27 vCPU,2.10 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:58:00,2.35 vCPU,2.37 vCPU,2.34 vCPU,2.10 vCPU,2.33 vCPU,2.28 vCPU,2.26 vCPU,2.32 vCPU,2.27 vCPU,2.35 vCPU,2.10 vCPU,2.23 vCPU,2.34 vCPU,2.10 vCPU,2.51 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:58:15,2.54 vCPU,2.39 vCPU,2.57 vCPU,2.66 vCPU,2.57 vCPU,2.46 vCPU,2.50 vCPU,2.57 vCPU,2.57 vCPU,2.53 vCPU,2.65 vCPU,2.54 vCPU,2.58 vCPU,2.65 vCPU,2.58 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:58:30,2.61 vCPU,2.68 vCPU,2.41 vCPU,2.62 vCPU,2.61 vCPU,2.34 vCPU,2.69 vCPU,2.61 vCPU,2.51 vCPU,2.69 vCPU,2.70 vCPU,2.60 vCPU,2.61 vCPU,2.70 vCPU,2.72 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:58:45,2.56 vCPU,2.66 vCPU,2.73 vCPU,2.76 vCPU,2.49 vCPU,2.60 vCPU,2.67 vCPU,2.50 vCPU,2.73 vCPU,2.48 vCPU,2.68 vCPU,2.60 vCPU,2.48 vCPU,2.68 vCPU,2.33 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:59:00,2.49 vCPU,2.49 vCPU,2.49 vCPU,2.20 vCPU,2.51 vCPU,2.33 vCPU,2.38 vCPU,2.51 vCPU,2.40 vCPU,2.50 vCPU,2.20 vCPU,2.44 vCPU,2.52 vCPU,2.21 vCPU,2.45 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:59:15,2.37 vCPU,2.18 vCPU,2.38 vCPU,2.42 vCPU,2.46 vCPU,2.38 vCPU,2.28 vCPU,2.46 vCPU,2.37 vCPU,2.37 vCPU,2.43 vCPU,2.45 vCPU,2.46 vCPU,2.42 vCPU,2.33 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:59:30,2.33 vCPU,2.40 vCPU,2.13 vCPU,2.32 vCPU,2.32 vCPU,2.21 vCPU,2.40 vCPU,2.32 vCPU,2.24 vCPU,2.41 vCPU,2.41 vCPU,2.32 vCPU,2.33 vCPU,2.41 vCPU,2.42 vCPU,,,,,,,,,,,,,,,
2025-11-16 05:59:45,2.22 vCPU,2.32 vCPU,2.40 vCPU,2.42 vCPU,2.16 vCPU,2.32 vCPU,2.33 vCPU,2.16 vCPU,2.40 vCPU,2.14 vCPU,2.34 vCPU,2.27 vCPU,2.15 vCPU,2.34 vCPU,2.15 vCPU,,,,,,,,,,,,,,,
2025-11-16 06:00:00,2.40 vCPU,2.43 vCPU,2.42 vCPU,2.17 vCPU,2.38 vCPU,2.41 vCPU,2.33 vCPU,2.38 vCPU,2.34 vCPU,2.40 vCPU,2.16 vCPU,2.28 vCPU,2.39 vCPU,2.17 vCPU,2.42 vCPU,,,,,,,,,,,,,,,
2025-11-16 06:00:15,2.36 vCPU,2.20 vCPU,2.39 vCPU,2.46 vCPU,2.44 vCPU,2.38 vCPU,2.30 vCPU,2.44 vCPU,2.38 vCPU,2.35 vCPU,2.45 vCPU,2.42 vCPU,2.44 vCPU,2.45 vCPU,2.38 vCPU,,,,,,,,,,,,,,,
2025-11-16 06:00:30,2.40 vCPU,2.46 vCPU,2.20 vCPU,2.38 vCPU,2.40 vCPU,2.28 vCPU,2.46 vCPU,2.40 vCPU,2.30 vCPU,2.48 vCPU,2.47 vCPU,2.39 vCPU,2.40 vCPU,2.47 vCPU,2.47 vCPU,,,,,,,,,,,,,,,
