"Time","Value"
2025-11-16 05:55:15,1000000001 Gwei
2025-11-16 05:55:30,1000000001 Gwei
2025-11-16 05:55:45,983333334 Gwei
2025-11-16 05:56:00,869791668 Gwei
2025-11-16 05:56:15,720963543 Gwei
2025-11-16 05:56:30,614792889 Gwei
2025-11-16 05:56:45,523899843 Gwei
2025-11-16 05:57:00,446123919 Gwei
2025-11-16 05:57:15,1316734042 Gwei
2025-11-16 05:57:30,2346447788 Gwei
2025-11-16 05:57:45,2304860124 Gwei
2025-11-16 05:58:00,2271919421 Gwei
2025-11-16 05:58:15,2239045662 Gwei
2025-11-16 05:58:30,2212925594 Gwei
2025-11-16 05:58:45,2190326814 Gwei
2025-11-16 05:59:00,2170066597 Gwei
2025-11-16 05:59:15,2149126353 Gwei
2025-11-16 05:59:30,2133398040 Gwei
2025-11-16 05:59:45,2119676454 Gwei
2025-11-16 06:00:00,2106607270 Gwei
2025-11-16 06:00:15,2093385510 Gwei
2025-11-16 06:00:30,2083502391 Gwei
2025-11-16 06:00:45,2074639889 Gwei
2025-11-16 06:01:00,2066778525 Gwei
2025-11-16 06:01:15,2058885139 Gwei
2025-11-16 06:01:30,2052631964 Gwei
2025-11-16 06:01:45,2046872946 Gwei
2025-11-16 06:02:00,2041957575 Gwei
2025-11-16 06:02:15,2036826023 Gwei
2025-11-16 06:02:30,2033561581 Gwei
2025-11-16 06:02:45,2034766835 Gwei
2025-11-16 06:03:00,2035804046 Gwei
2025-11-16 06:03:15,2038492722 Gwei
2025-11-16 06:03:30,2040515848 Gwei
2025-11-16 06:03:45,2042120643 Gwei
2025-11-16 06:04:00,2045178981 Gwei
2025-11-16 06:04:15,2047202343 Gwei
2025-11-16 06:04:30,2049550212 Gwei
2025-11-16 06:04:45,2052653012 Gwei
2025-11-16 06:05:00,2054218936 Gwei
2025-11-16 06:05:15,2058289501 Gwei
2025-11-16 06:05:30,2061353110 Gwei
2025-11-16 06:05:45,2063783235 Gwei
2025-11-16 06:06:00,2068414454 Gwei
2025-11-16 06:06:15,2071478407 Gwei
2025-11-16 06:06:30,2075033764 Gwei
2025-11-16 06:06:45,2079732326 Gwei
2025-11-16 06:07:00,2082103613 Gwei
2025-11-16 06:07:15,2088267694 Gwei
2025-11-16 06:07:30,2092906932 Gwei
2025-11-16 06:07:45,2096586891 Gwei
2025-11-16 06:08:00,2103599957 Gwei
2025-11-16 06:08:15,2108239712 Gwei
2025-11-16 06:08:30,2113623589 Gwei
2025-11-16 06:08:45,2120738633 Gwei
2025-11-16 06:09:00,2124329435 Gwei
2025-11-16 06:09:15,2133663654 Gwei
