"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}"
2025-11-16 05:55:30,2.33 kb/s,1.72 kb/s,923 b/s,2.00 kb/s,2.02 kb/s,1.84 kb/s,1.31 kb/s,2.74 kb/s,1.98 kb/s,3.28 kb/s,2.47 kb/s,5.44 kb/s,2.85 kb/s,1.77 kb/s,1.65 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:55:45,13.9 kb/s,6.24 kb/s,6.02 kb/s,4.59 kb/s,3.72 kb/s,4.28 kb/s,6.45 kb/s,6.15 kb/s,6.53 kb/s,6.10 kb/s,4.23 kb/s,6.33 kb/s,28.6 kb/s,3.51 kb/s,3.36 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:56:00,59.7 kb/s,52.3 kb/s,53.5 kb/s,45.6 kb/s,47.1 kb/s,37.1 kb/s,37.4 kb/s,74.1 kb/s,47.2 kb/s,81.5 kb/s,30.4 kb/s,34.5 kb/s,62.9 kb/s,54.9 kb/s,38.5 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:56:15,90.0 kb/s,78.9 kb/s,86.3 kb/s,87.0 kb/s,92.7 kb/s,69.1 kb/s,85.5 kb/s,101 kb/s,101 kb/s,113 kb/s,70.9 kb/s,64.4 kb/s,90.0 kb/s,115 kb/s,86.1 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:56:30,126 kb/s,102 kb/s,114 kb/s,124 kb/s,124 kb/s,99.2 kb/s,113 kb/s,133 kb/s,132 kb/s,149 kb/s,105 kb/s,109 kb/s,124 kb/s,156 kb/s,114 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:56:45,167 kb/s,134 kb/s,145 kb/s,152 kb/s,154 kb/s,129 kb/s,147 kb/s,159 kb/s,174 kb/s,177 kb/s,161 kb/s,142 kb/s,173 kb/s,186 kb/s,141 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:57:00,210 kb/s,172 kb/s,188 kb/s,209 kb/s,187 kb/s,159 kb/s,171 kb/s,201 kb/s,205 kb/s,223 kb/s,198 kb/s,193 kb/s,207 kb/s,230 kb/s,177 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:57:15,240 kb/s,197 kb/s,220 kb/s,246 kb/s,236 kb/s,184 kb/s,217 kb/s,232 kb/s,257 kb/s,252 kb/s,233 kb/s,225 kb/s,235 kb/s,286 kb/s,227 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:57:30,273 kb/s,219 kb/s,251 kb/s,284 kb/s,272 kb/s,214 kb/s,247 kb/s,270 kb/s,292 kb/s,288 kb/s,265 kb/s,269 kb/s,274 kb/s,320 kb/s,261 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:57:45,310 kb/s,254 kb/s,290 kb/s,310 kb/s,302 kb/s,248 kb/s,282 kb/s,300 kb/s,332 kb/s,317 kb/s,317 kb/s,303 kb/s,318 kb/s,355 kb/s,291 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:58:00,351 kb/s,286 kb/s,333 kb/s,353 kb/s,341 kb/s,286 kb/s,308 kb/s,340 kb/s,360 kb/s,364 kb/s,350 kb/s,356 kb/s,351 kb/s,395 kb/s,328 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:58:15,377 kb/s,313 kb/s,368 kb/s,379 kb/s,390 kb/s,315 kb/s,353 kb/s,371 kb/s,406 kb/s,396 kb/s,393 kb/s,387 kb/s,387 kb/s,443 kb/s,377 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:58:30,412 kb/s,339 kb/s,396 kb/s,413 kb/s,427 kb/s,351 kb/s,384 kb/s,412 kb/s,437 kb/s,434 kb/s,425 kb/s,431 kb/s,424 kb/s,480 kb/s,411 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:58:45,454 kb/s,372 kb/s,436 kb/s,440 kb/s,456 kb/s,385 kb/s,423 kb/s,440 kb/s,469 kb/s,461 kb/s,480 kb/s,463 kb/s,471 kb/s,511 kb/s,440 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:59:00,504 kb/s,410 kb/s,482 kb/s,485 kb/s,492 kb/s,424 kb/s,451 kb/s,490 kb/s,501 kb/s,508 kb/s,518 kb/s,519 kb/s,508 kb/s,554 kb/s,475 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:59:15,532 kb/s,438 kb/s,512 kb/s,517 kb/s,543 kb/s,453 kb/s,503 kb/s,522 kb/s,542 kb/s,536 kb/s,554 kb/s,550 kb/s,543 kb/s,594 kb/s,526 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:59:30,574 kb/s,461 kb/s,546 kb/s,554 kb/s,582 kb/s,486 kb/s,534 kb/s,560 kb/s,573 kb/s,577 kb/s,589 kb/s,591 kb/s,586 kb/s,627 kb/s,556 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:59:45,615 kb/s,491 kb/s,582 kb/s,586 kb/s,613 kb/s,518 kb/s,571 kb/s,587 kb/s,612 kb/s,608 kb/s,646 kb/s,621 kb/s,639 kb/s,657 kb/s,585 kb/s,,,,,,,,,,,,,,,
2025-11-16 06:00:00,669 kb/s,531 kb/s,636 kb/s,628 kb/s,649 kb/s,550 kb/s,599 kb/s,636 kb/s,634 kb/s,657 kb/s,682 kb/s,670 kb/s,675 kb/s,692 kb/s,624 kb/s,,,,,,,,,,,,,,,
