"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}"
2025-11-16 05:55:30,15.0 kb/s,12.1 kb/s,11.9 kb/s,16.6 kb/s,13.6 kb/s,16.9 kb/s,12.9 kb/s,16.0 kb/s,12.8 kb/s,15.8 kb/s,15.9 kb/s,18.2 kb/s,14.0 kb/s,13.7 kb/s,13.3 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:55:45,31.5 kb/s,23.4 kb/s,23.2 kb/s,27.0 kb/s,22.4 kb/s,27.3 kb/s,24.7 kb/s,23.2 kb/s,24.4 kb/s,22.9 kb/s,25.5 kb/s,28.4 kb/s,37.1 kb/s,22.5 kb/s,21.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:56:00,99.8 kb/s,91.1 kb/s,71.9 kb/s,59.4 kb/s,64.6 kb/s,79.5 kb/s,67.8 kb/s,75.2 kb/s,76.0 kb/s,92.6 kb/s,63.9 kb/s,57.6 kb/s,65.5 kb/s,68.6 kb/s,67.9 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:56:15,147 kb/s,132 kb/s,107 kb/s,94.0 kb/s,117 kb/s,119 kb/s,120 kb/s,102 kb/s,142 kb/s,128 kb/s,110 kb/s,94.8 kb/s,94.0 kb/s,126 kb/s,121 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:56:30,196 kb/s,171 kb/s,138 kb/s,137 kb/s,157 kb/s,161 kb/s,157 kb/s,131 kb/s,184 kb/s,171 kb/s,143 kb/s,132 kb/s,124 kb/s,167 kb/s,158 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:56:45,244 kb/s,214 kb/s,176 kb/s,176 kb/s,191 kb/s,206 kb/s,203 kb/s,158 kb/s,225 kb/s,207 kb/s,193 kb/s,163 kb/s,164 kb/s,207 kb/s,192 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:57:00,298 kb/s,278 kb/s,228 kb/s,238 kb/s,237 kb/s,256 kb/s,241 kb/s,201 kb/s,269 kb/s,259 kb/s,227 kb/s,222 kb/s,196 kb/s,253 kb/s,236 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:57:15,340 kb/s,323 kb/s,263 kb/s,276 kb/s,291 kb/s,298 kb/s,300 kb/s,232 kb/s,336 kb/s,298 kb/s,275 kb/s,260 kb/s,229 kb/s,308 kb/s,290 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:57:30,391 kb/s,366 kb/s,296 kb/s,313 kb/s,337 kb/s,354 kb/s,342 kb/s,265 kb/s,376 kb/s,344 kb/s,310 kb/s,301 kb/s,272 kb/s,349 kb/s,330 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:57:45,437 kb/s,416 kb/s,341 kb/s,345 kb/s,378 kb/s,410 kb/s,393 kb/s,295 kb/s,426 kb/s,380 kb/s,363 kb/s,335 kb/s,327 kb/s,385 kb/s,369 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:58:00,493 kb/s,477 kb/s,388 kb/s,396 kb/s,426 kb/s,471 kb/s,430 kb/s,339 kb/s,463 kb/s,429 kb/s,403 kb/s,388 kb/s,364 kb/s,434 kb/s,416 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:58:15,541 kb/s,524 kb/s,425 kb/s,431 kb/s,481 kb/s,517 kb/s,487 kb/s,373 kb/s,521 kb/s,470 kb/s,446 kb/s,425 kb/s,400 kb/s,481 kb/s,469 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:58:30,598 kb/s,567 kb/s,460 kb/s,471 kb/s,529 kb/s,573 kb/s,529 kb/s,410 kb/s,559 kb/s,522 kb/s,484 kb/s,466 kb/s,448 kb/s,521 kb/s,509 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:58:45,646 kb/s,617 kb/s,508 kb/s,504 kb/s,572 kb/s,629 kb/s,576 kb/s,440 kb/s,605 kb/s,559 kb/s,538 kb/s,502 kb/s,508 kb/s,556 kb/s,548 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:59:00,705 kb/s,681 kb/s,560 kb/s,557 kb/s,628 kb/s,692 kb/s,616 kb/s,489 kb/s,642 kb/s,612 kb/s,579 kb/s,555 kb/s,545 kb/s,602 kb/s,597 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:59:15,754 kb/s,728 kb/s,601 kb/s,592 kb/s,681 kb/s,740 kb/s,672 kb/s,522 kb/s,698 kb/s,653 kb/s,628 kb/s,595 kb/s,582 kb/s,649 kb/s,652 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:59:30,812 kb/s,773 kb/s,636 kb/s,633 kb/s,728 kb/s,800 kb/s,713 kb/s,565 kb/s,736 kb/s,701 kb/s,666 kb/s,636 kb/s,625 kb/s,693 kb/s,692 kb/s,,,,,,,,,,,,,,,
2025-11-16 05:59:45,867 kb/s,823 kb/s,679 kb/s,668 kb/s,770 kb/s,862 kb/s,763 kb/s,599 kb/s,777 kb/s,738 kb/s,720 kb/s,691 kb/s,680 kb/s,730 kb/s,730 kb/s,,,,,,,,,,,,,,,
2025-11-16 06:00:00,928 kb/s,889 kb/s,733 kb/s,718 kb/s,824 kb/s,924 kb/s,805 kb/s,648 kb/s,816 kb/s,794 kb/s,757 kb/s,709 kb/s,720 kb/s,780 kb/s,776 kb/s,,,,,,,,,,,,,,,
