"Time","Value"
2025-11-16 11:44:30,1000000001 Gwei
2025-11-16 11:44:45,1000000001 Gwei
2025-11-16 11:45:00,1000000001 Gwei
2025-11-16 11:45:15,975000001 Gwei
2025-11-16 11:45:30,34180208334 Gwei
2025-11-16 11:45:45,81144913559 Gwei
2025-11-16 11:46:00,28798326074 Gwei
2025-11-16 11:46:15,2582281469 Gwei
2025-11-16 11:46:30,2520770194 Gwei
2025-11-16 11:46:45,2462948025 Gwei
2025-11-16 11:47:00,2411719565 Gwei
2025-11-16 11:47:15,2364919766 Gwei
2025-11-16 11:47:30,2327480726 Gwei
2025-11-16 11:47:45,2289868957 Gwei
2025-11-16 11:48:00,2257801547 Gwei
2025-11-16 11:48:15,2228220409 Gwei
2025-11-16 11:48:30,2203765905 Gwei
2025-11-16 11:48:45,2180920697 Gwei
2025-11-16 11:49:00,2160724429 Gwei
2025-11-16 11:49:15,2142776741 Gwei
2025-11-16 11:49:30,2127607853 Gwei
2025-11-16 11:49:45,2113698988 Gwei
2025-11-16 11:50:00,2100847871 Gwei
2025-11-16 11:50:15,2089512459 Gwei
2025-11-16 11:50:30,2080246163 Gwei
2025-11-16 11:50:45,2070947809 Gwei
2025-11-16 11:51:00,2063027892 Gwei
2025-11-16 11:51:15,2055989744 Gwei
2025-11-16 11:51:30,2050148343 Gwei
2025-11-16 11:51:45,2044710631 Gwei
2025-11-16 11:52:00,2039765711 Gwei
2025-11-16 11:52:15,2036871791 Gwei
2025-11-16 11:52:30,2041325267 Gwei
2025-11-16 11:52:45,2047946282 Gwei
2025-11-16 11:53:00,2050949557 Gwei
2025-11-16 11:53:15,2057403576 Gwei
2025-11-16 11:53:30,2066113727 Gwei
2025-11-16 11:53:45,2076702541 Gwei
2025-11-16 11:54:00,2089068554 Gwei
2025-11-16 11:54:15,2103421597 Gwei
2025-11-16 11:54:30,2119111894 Gwei
2025-11-16 11:54:45,2139274854 Gwei
2025-11-16 11:55:00,2159943623 Gwei
2025-11-16 11:55:15,2179250876 Gwei
2025-11-16 11:55:30,2205366483 Gwei
2025-11-16 11:55:45,2236620093 Gwei
2025-11-16 11:56:00,2274599058 Gwei
2025-11-16 11:56:15,2318930171 Gwei
2025-11-16 11:56:30,2367403061 Gwei
2025-11-16 11:56:45,2426362829 Gwei
2025-11-16 11:57:00,2494791901 Gwei
2025-11-16 11:57:15,2569095566 Gwei
2025-11-16 11:57:30,2636812424 Gwei
2025-11-16 11:57:45,2735168793 Gwei
2025-11-16 11:58:00,2853140520 Gwei
2025-11-16 11:58:15,2990845286 Gwei
2025-11-16 11:58:30,3141417845 Gwei
2025-11-16 11:58:45,3324571259 Gwei
2025-11-16 11:59:00,3537128630 Gwei
