"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}"
2025-11-16 11:44:45,1.90 kb/s,,,,,,,2.80 kb/s,,1.16 kb/s,,1.81 kb/s,,,,,,,,,,,,,,,,,,
2025-11-16 11:45:00,3.37 kb/s,2.61 kb/s,4.81 kb/s,2.57 kb/s,2.56 kb/s,1.75 kb/s,1.45 kb/s,4.41 kb/s,2.17 kb/s,3.34 kb/s,1.67 kb/s,3.33 kb/s,1.74 kb/s,2.29 kb/s,2.73 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:45:15,30.6 kb/s,4.27 kb/s,7.41 kb/s,4.23 kb/s,4.22 kb/s,4.42 kb/s,7.03 kb/s,46.7 kb/s,3.85 kb/s,36.6 kb/s,4.51 kb/s,36.1 kb/s,6.40 kb/s,7.08 kb/s,11.4 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:45:30,67.3 kb/s,59.9 kb/s,69.9 kb/s,44.5 kb/s,38.0 kb/s,43.4 kb/s,41.1 kb/s,75.3 kb/s,43.5 kb/s,67.4 kb/s,47.3 kb/s,71.0 kb/s,82.8 kb/s,55.4 kb/s,58.5 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:45:45,111 kb/s,90.0 kb/s,101 kb/s,93.2 kb/s,84.2 kb/s,85.7 kb/s,80.8 kb/s,114 kb/s,84.4 kb/s,103 kb/s,93.4 kb/s,113 kb/s,117 kb/s,104 kb/s,87.1 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:46:00,154 kb/s,140 kb/s,138 kb/s,153 kb/s,142 kb/s,113 kb/s,107 kb/s,145 kb/s,112 kb/s,144 kb/s,131 kb/s,143 kb/s,148 kb/s,135 kb/s,125 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:46:15,201 kb/s,177 kb/s,169 kb/s,189 kb/s,179 kb/s,161 kb/s,142 kb/s,188 kb/s,137 kb/s,174 kb/s,163 kb/s,195 kb/s,188 kb/s,177 kb/s,157 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:46:30,237 kb/s,222 kb/s,219 kb/s,223 kb/s,215 kb/s,189 kb/s,163 kb/s,214 kb/s,171 kb/s,205 kb/s,190 kb/s,229 kb/s,237 kb/s,212 kb/s,188 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:46:45,281 kb/s,255 kb/s,251 kb/s,263 kb/s,258 kb/s,223 kb/s,204 kb/s,253 kb/s,210 kb/s,244 kb/s,226 kb/s,273 kb/s,272 kb/s,271 kb/s,214 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:47:00,322 kb/s,308 kb/s,287 kb/s,322 kb/s,321 kb/s,251 kb/s,232 kb/s,287 kb/s,239 kb/s,291 kb/s,259 kb/s,306 kb/s,308 kb/s,305 kb/s,245 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:47:15,369 kb/s,334 kb/s,318 kb/s,360 kb/s,362 kb/s,299 kb/s,268 kb/s,330 kb/s,265 kb/s,325 kb/s,288 kb/s,359 kb/s,351 kb/s,345 kb/s,276 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:47:30,406 kb/s,372 kb/s,371 kb/s,395 kb/s,398 kb/s,328 kb/s,294 kb/s,358 kb/s,298 kb/s,351 kb/s,317 kb/s,394 kb/s,410 kb/s,379 kb/s,316 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:47:45,453 kb/s,408 kb/s,403 kb/s,437 kb/s,436 kb/s,367 kb/s,336 kb/s,401 kb/s,338 kb/s,392 kb/s,349 kb/s,441 kb/s,438 kb/s,435 kb/s,347 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:48:00,497 kb/s,473 kb/s,438 kb/s,490 kb/s,487 kb/s,392 kb/s,363 kb/s,434 kb/s,369 kb/s,431 kb/s,383 kb/s,473 kb/s,471 kb/s,469 kb/s,385 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:48:15,557 kb/s,511 kb/s,466 kb/s,524 kb/s,525 kb/s,442 kb/s,397 kb/s,483 kb/s,394 kb/s,462 kb/s,414 kb/s,532 kb/s,504 kb/s,512 kb/s,418 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:48:30,600 kb/s,559 kb/s,512 kb/s,557 kb/s,556 kb/s,470 kb/s,423 kb/s,511 kb/s,429 kb/s,490 kb/s,440 kb/s,566 kb/s,549 kb/s,548 kb/s,460 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:48:45,642 kb/s,597 kb/s,543 kb/s,593 kb/s,593 kb/s,512 kb/s,459 kb/s,552 kb/s,468 kb/s,526 kb/s,473 kb/s,612 kb/s,575 kb/s,607 kb/s,489 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:49:00,684 kb/s,658 kb/s,582 kb/s,640 kb/s,654 kb/s,543 kb/s,485 kb/s,585 kb/s,499 kb/s,566 kb/s,512 kb/s,651 kb/s,603 kb/s,639 kb/s,527 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:49:15,732 kb/s,695 kb/s,612 kb/s,673 kb/s,691 kb/s,587 kb/s,521 kb/s,632 kb/s,523 kb/s,599 kb/s,546 kb/s,718 kb/s,640 kb/s,684 kb/s,553 kb/s,,,,,,,,,,,,,,,
