"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}"
2025-11-16 11:44:45,11.3 kb/s,,,,,,,11.5 kb/s,,10.6 kb/s,,11.8 kb/s,,,,,,,,,,,,,,,,,,
2025-11-16 11:45:00,20.9 kb/s,16.0 kb/s,17.7 kb/s,16.2 kb/s,16.3 kb/s,17.1 kb/s,14.5 kb/s,21.2 kb/s,14.9 kb/s,20.0 kb/s,16.4 kb/s,21.7 kb/s,13.2 kb/s,14.4 kb/s,17.5 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:45:15,53.2 kb/s,25.1 kb/s,24.2 kb/s,25.1 kb/s,25.4 kb/s,26.6 kb/s,27.1 kb/s,53.3 kb/s,23.7 kb/s,53.7 kb/s,25.7 kb/s,61.5 kb/s,24.2 kb/s,26.6 kb/s,28.3 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:45:30,98.7 kb/s,86.3 kb/s,70.9 kb/s,68.3 kb/s,71.4 kb/s,73.3 kb/s,71.3 kb/s,82.1 kb/s,67.7 kb/s,85.4 kb/s,77.5 kb/s,112 kb/s,91.7 kb/s,71.2 kb/s,97.4 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:45:45,149 kb/s,131 kb/s,103 kb/s,120 kb/s,125 kb/s,123 kb/s,123 kb/s,113 kb/s,126 kb/s,119 kb/s,129 kb/s,172 kb/s,128 kb/s,133 kb/s,139 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:46:00,193 kb/s,195 kb/s,138 kb/s,180 kb/s,180 kb/s,161 kb/s,160 kb/s,145 kb/s,169 kb/s,165 kb/s,175 kb/s,220 kb/s,164 kb/s,171 kb/s,186 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:46:15,253 kb/s,237 kb/s,168 kb/s,227 kb/s,225 kb/s,219 kb/s,208 kb/s,189 kb/s,206 kb/s,201 kb/s,216 kb/s,289 kb/s,209 kb/s,218 kb/s,231 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:46:30,293 kb/s,291 kb/s,212 kb/s,266 kb/s,264 kb/s,259 kb/s,245 kb/s,222 kb/s,253 kb/s,234 kb/s,252 kb/s,333 kb/s,261 kb/s,256 kb/s,292 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:46:45,345 kb/s,334 kb/s,246 kb/s,319 kb/s,315 kb/s,305 kb/s,305 kb/s,263 kb/s,310 kb/s,276 kb/s,295 kb/s,381 kb/s,300 kb/s,318 kb/s,337 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:47:00,392 kb/s,401 kb/s,284 kb/s,378 kb/s,371 kb/s,343 kb/s,346 kb/s,300 kb/s,354 kb/s,326 kb/s,347 kb/s,420 kb/s,334 kb/s,360 kb/s,392 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:47:15,451 kb/s,449 kb/s,316 kb/s,423 kb/s,416 kb/s,400 kb/s,394 kb/s,353 kb/s,396 kb/s,366 kb/s,389 kb/s,478 kb/s,375 kb/s,410 kb/s,437 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:47:30,492 kb/s,502 kb/s,361 kb/s,465 kb/s,456 kb/s,440 kb/s,432 kb/s,388 kb/s,445 kb/s,402 kb/s,427 kb/s,523 kb/s,430 kb/s,449 kb/s,501 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:47:45,544 kb/s,545 kb/s,395 kb/s,511 kb/s,511 kb/s,485 kb/s,492 kb/s,426 kb/s,506 kb/s,440 kb/s,472 kb/s,575 kb/s,475 kb/s,511 kb/s,547 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:48:00,588 kb/s,603 kb/s,432 kb/s,563 kb/s,576 kb/s,524 kb/s,531 kb/s,464 kb/s,555 kb/s,492 kb/s,522 kb/s,620 kb/s,514 kb/s,554 kb/s,600 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:48:15,647 kb/s,645 kb/s,468 kb/s,607 kb/s,620 kb/s,580 kb/s,578 kb/s,513 kb/s,600 kb/s,533 kb/s,564 kb/s,685 kb/s,566 kb/s,605 kb/s,646 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:48:30,689 kb/s,696 kb/s,516 kb/s,646 kb/s,664 kb/s,620 kb/s,617 kb/s,549 kb/s,656 kb/s,568 kb/s,605 kb/s,727 kb/s,620 kb/s,646 kb/s,711 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:48:45,746 kb/s,732 kb/s,550 kb/s,692 kb/s,716 kb/s,664 kb/s,673 kb/s,591 kb/s,718 kb/s,607 kb/s,651 kb/s,778 kb/s,659 kb/s,712 kb/s,757 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:49:00,794 kb/s,794 kb/s,588 kb/s,752 kb/s,775 kb/s,702 kb/s,712 kb/s,630 kb/s,766 kb/s,657 kb/s,703 kb/s,819 kb/s,696 kb/s,758 kb/s,810 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:49:15,858 kb/s,839 kb/s,619 kb/s,794 kb/s,817 kb/s,763 kb/s,762 kb/s,682 kb/s,809 kb/s,696 kb/s,747 kb/s,893 kb/s,737 kb/s,809 kb/s,858 kb/s,,,,,,,,,,,,,,,
2025-11-16 11:49:30,901 kb/s,889 kb/s,665 kb/s,830 kb/s,859 kb/s,797 kb/s,803 kb/s,719 kb/s,863 kb/s,731 kb/s,781 kb/s,938 kb/s,788 kb/s,855 kb/s,927 kb/s,,,,,,,,,,,,,,,
