"Time","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-06-geth-lighthouse:9001"", job=""el-06-geth-lighthouse"", service=""el-06-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-07-geth-lighthouse:9001"", job=""el-07-geth-lighthouse"", service=""el-07-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-08-geth-lighthouse:9001"", job=""el-08-geth-lighthouse"", service=""el-08-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-09-geth-lighthouse:9001"", job=""el-09-geth-lighthouse"", service=""el-09-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-10-geth-lighthouse:9001"", job=""el-10-geth-lighthouse"", service=""el-10-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-11-geth-lighthouse:9001"", job=""el-11-geth-lighthouse"", service=""el-11-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-12-geth-lighthouse:9001"", job=""el-12-geth-lighthouse"", service=""el-12-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-13-geth-lighthouse:9001"", job=""el-13-geth-lighthouse"", service=""el-13-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-14-geth-lighthouse:9001"", job=""el-14-geth-lighthouse"", service=""el-14-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-15-geth-lighthouse:9001"", job=""el-15-geth-lighthouse"", service=""el-15-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-11-geth-lighthouse:9001"", job=""el-11-geth-lighthouse"", service=""el-11-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-08-geth-lighthouse:9001"", job=""el-08-geth-lighthouse"", service=""el-08-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-03-geth-lighthouse:9001"", job=""el-03-geth-lighthouse"", service=""el-03-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-06-geth-lighthouse:9001"", job=""el-06-geth-lighthouse"", service=""el-06-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-01-geth-lighthouse:9001"", job=""el-01-geth-lighthouse"", service=""el-01-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-07-geth-lighthouse:9001"", job=""el-07-geth-lighthouse"", service=""el-07-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-15-geth-lighthouse:9001"", job=""el-15-geth-lighthouse"", service=""el-15-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-12-geth-lighthouse:9001"", job=""el-12-geth-lighthouse"", service=""el-12-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-14-geth-lighthouse:9001"", job=""el-14-geth-lighthouse"", service=""el-14-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-05-geth-lighthouse:9001"", job=""el-05-geth-lighthouse"", service=""el-05-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-09-geth-lighthouse:9001"", job=""el-09-geth-lighthouse"", service=""el-09-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-04-geth-lighthouse:9001"", job=""el-04-geth-lighthouse"", service=""el-04-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-13-geth-lighthouse:9001"", job=""el-13-geth-lighthouse"", service=""el-13-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-10-geth-lighthouse:9001"", job=""el-10-geth-lighthouse"", service=""el-10-geth-lighthouse""}","{client_name=""geth"", client_type=""execution"", instance=""el-02-geth-lighthouse:9001"", job=""el-02-geth-lighthouse"", service=""el-02-geth-lighthouse""}"
2025-11-16 12:03:30,,,0.544 vCPU,,,,,0.548 vCPU,,,0.562 vCPU,,,,,,,,,,,,,,,,,,,
2025-11-16 12:03:45,0.738 vCPU,0.323 vCPU,0.553 vCPU,0.429 vCPU,0.462 vCPU,0.812 vCPU,0.551 vCPU,0.617 vCPU,0.453 vCPU,0.377 vCPU,0.623 vCPU,0.506 vCPU,0.429 vCPU,0.398 vCPU,0.515 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:04:00,0.647 vCPU,0.779 vCPU,1.38 vCPU,0.801 vCPU,0.450 vCPU,0.696 vCPU,0.513 vCPU,1.28 vCPU,0.454 vCPU,0.832 vCPU,1.29 vCPU,0.483 vCPU,0.740 vCPU,0.857 vCPU,0.489 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:04:15,1.36 vCPU,1.52 vCPU,1.42 vCPU,1.31 vCPU,1.33 vCPU,1.37 vCPU,1.36 vCPU,1.45 vCPU,1.33 vCPU,1.43 vCPU,1.44 vCPU,1.35 vCPU,1.31 vCPU,1.43 vCPU,1.35 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:04:30,1.48 vCPU,1.79 vCPU,1.86 vCPU,1.75 vCPU,1.75 vCPU,1.41 vCPU,1.59 vCPU,1.79 vCPU,1.75 vCPU,1.76 vCPU,1.79 vCPU,1.62 vCPU,1.75 vCPU,1.76 vCPU,1.63 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:04:45,1.86 vCPU,1.78 vCPU,1.56 vCPU,1.84 vCPU,2.18 vCPU,1.86 vCPU,2.15 vCPU,1.69 vCPU,2.17 vCPU,1.77 vCPU,1.67 vCPU,2.15 vCPU,1.89 vCPU,1.77 vCPU,2.15 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:05:00,1.80 vCPU,1.59 vCPU,1.82 vCPU,1.85 vCPU,1.77 vCPU,1.81 vCPU,1.76 vCPU,1.74 vCPU,1.78 vCPU,1.69 vCPU,1.75 vCPU,1.76 vCPU,1.85 vCPU,1.70 vCPU,1.76 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:05:15,1.76 vCPU,1.82 vCPU,1.77 vCPU,1.58 vCPU,1.59 vCPU,1.83 vCPU,1.75 vCPU,1.82 vCPU,1.59 vCPU,1.74 vCPU,1.82 vCPU,1.72 vCPU,1.59 vCPU,1.73 vCPU,1.71 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:05:30,1.86 vCPU,1.86 vCPU,1.90 vCPU,1.84 vCPU,1.84 vCPU,1.78 vCPU,1.70 vCPU,1.81 vCPU,1.84 vCPU,1.84 vCPU,1.81 vCPU,1.73 vCPU,1.84 vCPU,1.84 vCPU,1.74 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:05:45,1.64 vCPU,1.87 vCPU,1.73 vCPU,1.85 vCPU,1.92 vCPU,1.65 vCPU,1.90 vCPU,1.81 vCPU,1.91 vCPU,1.86 vCPU,1.81 vCPU,1.91 vCPU,1.85 vCPU,1.86 vCPU,1.91 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:06:00,1.97 vCPU,1.79 vCPU,2.05 vCPU,2.04 vCPU,1.95 vCPU,1.97 vCPU,1.93 vCPU,1.96 vCPU,1.98 vCPU,1.90 vCPU,1.96 vCPU,1.94 vCPU,2.04 vCPU,1.91 vCPU,1.94 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:06:15,2.00 vCPU,2.10 vCPU,2.04 vCPU,1.85 vCPU,1.86 vCPU,2.07 vCPU,2.01 vCPU,2.10 vCPU,1.86 vCPU,2.01 vCPU,2.11 vCPU,1.99 vCPU,1.86 vCPU,2.00 vCPU,1.98 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:06:30,2.13 vCPU,2.14 vCPU,2.12 vCPU,2.12 vCPU,2.12 vCPU,2.05 vCPU,1.97 vCPU,2.04 vCPU,2.12 vCPU,2.13 vCPU,2.04 vCPU,2.01 vCPU,2.12 vCPU,2.13 vCPU,2.02 vCPU,,,,,,,,,,,,,,,
2025-11-16 12:06:45,1.87 vCPU,2.07 vCPU,1.91 vCPU,2.06 vCPU,2.14 vCPU,1.88 vCPU,2.13 vCPU,2.00 vCPU,2.11 vCPU,2.05 vCPU,1.99 vCPU,2.12 vCPU,2.06 vCPU,2.05 vCPU,2.12 vCPU,,,,,,,,,,,,,,,
