"Time","Value"
2025-11-16 12:03:15,1000000001 Gwei
2025-11-16 12:03:30,1000000001 Gwei
2025-11-16 12:03:45,1000000001 Gwei
2025-11-16 12:04:00,975000001 Gwei
2025-11-16 12:04:15,862500001 Gwei
2025-11-16 12:04:30,720963543 Gwei
2025-11-16 12:04:45,614792889 Gwei
2025-11-16 12:05:00,514740755 Gwei
2025-11-16 12:05:15,442383959 Gwei
2025-11-16 12:05:30,369788645 Gwei
2025-11-16 12:05:45,1530836857 Gwei
2025-11-16 12:06:00,2293124138 Gwei
2025-11-16 12:06:15,2261830836 Gwei
2025-11-16 12:06:30,2230430071 Gwei
2025-11-16 12:06:45,2206011811 Gwei
2025-11-16 12:07:00,2181343070 Gwei
2025-11-16 12:07:15,2163078827 Gwei
2025-11-16 12:07:30,2144299417 Gwei
2025-11-16 12:07:45,2129008275 Gwei
2025-11-16 12:08:00,2113560291 Gwei
2025-11-16 12:08:15,2102295493 Gwei
2025-11-16 12:08:30,2090431117 Gwei
2025-11-16 12:08:45,2080549876 Gwei
2025-11-16 12:09:00,2071113485 Gwei
2025-11-16 12:09:15,2063951188 Gwei
2025-11-16 12:09:30,2056586879 Gwei
2025-11-16 12:09:45,2050770995 Gwei
2025-11-16 12:10:00,2044600269 Gwei
2025-11-16 12:10:15,2040047414 Gwei
2025-11-16 12:10:30,2039014122 Gwei
2025-11-16 12:10:45,2043859552 Gwei
2025-11-16 12:11:00,2050419932 Gwei
2025-11-16 12:11:15,2055669254 Gwei
2025-11-16 12:11:30,2062644543 Gwei
2025-11-16 12:11:45,2069176431 Gwei
2025-11-16 12:12:00,2076679597 Gwei
2025-11-16 12:12:15,2085190551 Gwei
2025-11-16 12:12:30,2094445042 Gwei
2025-11-16 12:12:45,2102802604 Gwei
2025-11-16 12:13:00,2116538534 Gwei
2025-11-16 12:13:15,2130592896 Gwei
2025-11-16 12:13:30,2148503002 Gwei
2025-11-16 12:13:45,2165410956 Gwei
2025-11-16 12:14:00,2186666638 Gwei
2025-11-16 12:14:15,2206990508 Gwei
2025-11-16 12:14:30,2231467496 Gwei
2025-11-16 12:14:45,2255828417 Gwei
2025-11-16 12:15:00,2286305738 Gwei
2025-11-16 12:15:15,2312214707 Gwei
2025-11-16 12:15:30,2347070574 Gwei
2025-11-16 12:15:45,2386080471 Gwei
2025-11-16 12:16:00,2438275177 Gwei
2025-11-16 12:16:15,2488398261 Gwei
2025-11-16 12:16:30,2550250442 Gwei
2025-11-16 12:16:45,2610448873 Gwei
2025-11-16 12:17:00,2685745933 Gwei
2025-11-16 12:17:15,2751185119 Gwei
2025-11-16 12:17:30,2838873931 Gwei
2025-11-16 12:17:45,2920612865 Gwei
2025-11-16 12:18:00,2936576550 Gwei
2025-11-16 12:18:15,2829629280 Gwei
2025-11-16 12:18:30,2693486916 Gwei
2025-11-16 12:18:45,2585992608 Gwei
2025-11-16 12:19:00,2495123480 Gwei
2025-11-16 12:19:15,2425524273 Gwei
2025-11-16 12:19:30,2355695637 Gwei
