"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}"
2025-11-16 12:03:30,,,1.21 kb/s,,1.15 kb/s,,,1.72 kb/s,,,,,,1.16 kb/s,,,,,,,,,,,,,,,,
2025-11-16 12:03:45,1.15 kb/s,1.04 kb/s,3.27 kb/s,2.98 kb/s,3.32 kb/s,2.49 kb/s,2.88 kb/s,3.24 kb/s,1.84 kb/s,2.77 kb/s,2.02 kb/s,1.71 kb/s,3.31 kb/s,3.36 kb/s,992 b/s,,,,,,,,,,,,,,,
2025-11-16 12:04:00,3.81 kb/s,6.66 kb/s,30.2 kb/s,4.49 kb/s,29.7 kb/s,4.14 kb/s,4.39 kb/s,32.2 kb/s,6.61 kb/s,4.46 kb/s,6.66 kb/s,4.39 kb/s,6.10 kb/s,26.9 kb/s,6.32 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:04:15,50.4 kb/s,58.1 kb/s,64.2 kb/s,39.6 kb/s,64.6 kb/s,47.8 kb/s,55.4 kb/s,64.0 kb/s,60.8 kb/s,51.8 kb/s,46.2 kb/s,32.8 kb/s,60.1 kb/s,58.0 kb/s,50.2 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:04:30,94.7 kb/s,111 kb/s,97.7 kb/s,76.0 kb/s,105 kb/s,88.4 kb/s,96.6 kb/s,95.0 kb/s,103 kb/s,95.2 kb/s,89.9 kb/s,72.3 kb/s,84.8 kb/s,90.9 kb/s,82.2 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:04:45,141 kb/s,140 kb/s,128 kb/s,118 kb/s,139 kb/s,143 kb/s,141 kb/s,131 kb/s,132 kb/s,130 kb/s,119 kb/s,103 kb/s,116 kb/s,115 kb/s,111 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:05:00,169 kb/s,178 kb/s,171 kb/s,178 kb/s,197 kb/s,182 kb/s,197 kb/s,179 kb/s,166 kb/s,179 kb/s,157 kb/s,146 kb/s,139 kb/s,155 kb/s,148 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:05:15,211 kb/s,204 kb/s,202 kb/s,217 kb/s,224 kb/s,222 kb/s,233 kb/s,209 kb/s,206 kb/s,207 kb/s,192 kb/s,174 kb/s,184 kb/s,176 kb/s,188 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:05:30,245 kb/s,249 kb/s,239 kb/s,242 kb/s,264 kb/s,248 kb/s,264 kb/s,237 kb/s,250 kb/s,245 kb/s,229 kb/s,208 kb/s,216 kb/s,209 kb/s,223 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:05:45,288 kb/s,274 kb/s,268 kb/s,282 kb/s,298 kb/s,305 kb/s,304 kb/s,274 kb/s,284 kb/s,273 kb/s,258 kb/s,236 kb/s,258 kb/s,231 kb/s,249 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:06:00,325 kb/s,309 kb/s,317 kb/s,334 kb/s,356 kb/s,340 kb/s,358 kb/s,323 kb/s,326 kb/s,317 kb/s,294 kb/s,278 kb/s,289 kb/s,269 kb/s,283 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:06:15,369 kb/s,337 kb/s,343 kb/s,371 kb/s,393 kb/s,377 kb/s,391 kb/s,358 kb/s,360 kb/s,339 kb/s,327 kb/s,310 kb/s,339 kb/s,297 kb/s,322 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:06:30,413 kb/s,381 kb/s,380 kb/s,401 kb/s,437 kb/s,403 kb/s,425 kb/s,384 kb/s,400 kb/s,374 kb/s,359 kb/s,354 kb/s,367 kb/s,331 kb/s,355 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:06:45,460 kb/s,413 kb/s,407 kb/s,437 kb/s,474 kb/s,457 kb/s,471 kb/s,420 kb/s,433 kb/s,401 kb/s,386 kb/s,390 kb/s,406 kb/s,360 kb/s,385 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:07:00,500 kb/s,456 kb/s,446 kb/s,478 kb/s,530 kb/s,486 kb/s,521 kb/s,476 kb/s,469 kb/s,445 kb/s,421 kb/s,439 kb/s,435 kb/s,399 kb/s,422 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:07:15,541 kb/s,485 kb/s,472 kb/s,510 kb/s,564 kb/s,520 kb/s,560 kb/s,509 kb/s,511 kb/s,475 kb/s,453 kb/s,470 kb/s,482 kb/s,424 kb/s,461 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:07:30,573 kb/s,531 kb/s,506 kb/s,546 kb/s,598 kb/s,552 kb/s,599 kb/s,543 kb/s,546 kb/s,515 kb/s,494 kb/s,510 kb/s,511 kb/s,459 kb/s,497 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:07:45,615 kb/s,558 kb/s,534 kb/s,581 kb/s,632 kb/s,599 kb/s,639 kb/s,580 kb/s,576 kb/s,542 kb/s,526 kb/s,546 kb/s,550 kb/s,486 kb/s,522 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:08:00,650 kb/s,596 kb/s,574 kb/s,639 kb/s,676 kb/s,629 kb/s,699 kb/s,635 kb/s,611 kb/s,588 kb/s,563 kb/s,596 kb/s,582 kb/s,529 kb/s,560 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:08:15,692 kb/s,627 kb/s,603 kb/s,673 kb/s,713 kb/s,659 kb/s,725 kb/s,671 kb/s,647 kb/s,609 kb/s,594 kb/s,626 kb/s,632 kb/s,552 kb/s,604 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:08:30,732 kb/s,673 kb/s,636 kb/s,704 kb/s,759 kb/s,694 kb/s,758 kb/s,702 kb/s,687 kb/s,644 kb/s,637 kb/s,672 kb/s,662 kb/s,586 kb/s,642 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:08:45,781 kb/s,699 kb/s,658 kb/s,742 kb/s,796 kb/s,747 kb/s,804 kb/s,741 kb/s,716 kb/s,674 kb/s,663 kb/s,710 kb/s,700 kb/s,613 kb/s,675 kb/s,,,,,,,,,,,,,,,
