"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-geth:5054"", job=""cl-14-lighthouse-geth"", service=""cl-14-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-geth:5054"", job=""cl-15-lighthouse-geth"", service=""cl-15-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-geth:5054"", job=""cl-13-lighthouse-geth"", service=""cl-13-lighthouse-geth"", supernode=""False""}"
2025-11-16 12:03:30,,,10.9 kb/s,,10.7 kb/s,,,11.4 kb/s,,,,,,10.8 kb/s,,,,,,,,,,,,,,,,
2025-11-16 12:03:45,14.7 kb/s,14.0 kb/s,20.5 kb/s,17.2 kb/s,20.4 kb/s,15.6 kb/s,17.5 kb/s,21.2 kb/s,13.5 kb/s,16.9 kb/s,13.5 kb/s,16.4 kb/s,16.9 kb/s,20.4 kb/s,13.1 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:04:00,23.7 kb/s,26.1 kb/s,53.1 kb/s,27.2 kb/s,51.0 kb/s,24.6 kb/s,27.2 kb/s,57.2 kb/s,25.3 kb/s,26.5 kb/s,25.0 kb/s,26.0 kb/s,23.2 kb/s,45.0 kb/s,24.5 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:04:15,74.2 kb/s,63.9 kb/s,90.0 kb/s,70.9 kb/s,93.3 kb/s,81.1 kb/s,73.8 kb/s,101 kb/s,84.0 kb/s,72.5 kb/s,74.3 kb/s,59.2 kb/s,74.7 kb/s,75.7 kb/s,73.6 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:04:30,121 kb/s,111 kb/s,132 kb/s,116 kb/s,133 kb/s,126 kb/s,118 kb/s,137 kb/s,140 kb/s,133 kb/s,124 kb/s,103 kb/s,106 kb/s,107 kb/s,111 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:04:45,177 kb/s,142 kb/s,164 kb/s,163 kb/s,169 kb/s,188 kb/s,168 kb/s,181 kb/s,185 kb/s,174 kb/s,161 kb/s,143 kb/s,138 kb/s,135 kb/s,144 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:05:00,220 kb/s,174 kb/s,220 kb/s,220 kb/s,226 kb/s,228 kb/s,232 kb/s,241 kb/s,235 kb/s,251 kb/s,204 kb/s,195 kb/s,168 kb/s,175 kb/s,182 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:05:15,260 kb/s,203 kb/s,256 kb/s,262 kb/s,264 kb/s,273 kb/s,275 kb/s,285 kb/s,283 kb/s,294 kb/s,246 kb/s,232 kb/s,215 kb/s,203 kb/s,224 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:05:30,302 kb/s,248 kb/s,301 kb/s,300 kb/s,310 kb/s,319 kb/s,309 kb/s,328 kb/s,337 kb/s,340 kb/s,295 kb/s,271 kb/s,250 kb/s,237 kb/s,262 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:05:45,359 kb/s,280 kb/s,339 kb/s,348 kb/s,348 kb/s,377 kb/s,355 kb/s,384 kb/s,380 kb/s,381 kb/s,332 kb/s,309 kb/s,292 kb/s,269 kb/s,296 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:06:00,399 kb/s,319 kb/s,392 kb/s,407 kb/s,401 kb/s,420 kb/s,405 kb/s,448 kb/s,433 kb/s,449 kb/s,378 kb/s,361 kb/s,328 kb/s,313 kb/s,340 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:06:15,448 kb/s,351 kb/s,432 kb/s,451 kb/s,444 kb/s,471 kb/s,447 kb/s,495 kb/s,488 kb/s,492 kb/s,422 kb/s,395 kb/s,390 kb/s,343 kb/s,384 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:06:30,491 kb/s,402 kb/s,474 kb/s,492 kb/s,492 kb/s,513 kb/s,486 kb/s,542 kb/s,546 kb/s,549 kb/s,473 kb/s,433 kb/s,430 kb/s,376 kb/s,421 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:06:45,555 kb/s,436 kb/s,511 kb/s,539 kb/s,534 kb/s,572 kb/s,532 kb/s,599 kb/s,589 kb/s,590 kb/s,513 kb/s,472 kb/s,476 kb/s,405 kb/s,456 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:07:00,599 kb/s,471 kb/s,564 kb/s,597 kb/s,600 kb/s,614 kb/s,592 kb/s,661 kb/s,645 kb/s,648 kb/s,560 kb/s,525 kb/s,516 kb/s,446 kb/s,501 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:07:15,645 kb/s,504 kb/s,603 kb/s,644 kb/s,638 kb/s,659 kb/s,632 kb/s,711 kb/s,695 kb/s,694 kb/s,606 kb/s,561 kb/s,585 kb/s,475 kb/s,547 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:07:30,686 kb/s,554 kb/s,646 kb/s,683 kb/s,689 kb/s,705 kb/s,674 kb/s,754 kb/s,743 kb/s,754 kb/s,654 kb/s,602 kb/s,624 kb/s,508 kb/s,585 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:07:45,738 kb/s,589 kb/s,684 kb/s,737 kb/s,724 kb/s,761 kb/s,727 kb/s,812 kb/s,785 kb/s,798 kb/s,691 kb/s,636 kb/s,671 kb/s,540 kb/s,626 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:08:00,774 kb/s,631 kb/s,738 kb/s,797 kb/s,780 kb/s,806 kb/s,785 kb/s,882 kb/s,836 kb/s,865 kb/s,737 kb/s,690 kb/s,711 kb/s,587 kb/s,671 kb/s,,,,,,,,,,,,,,,
2025-11-16 12:08:15,819 kb/s,664 kb/s,778 kb/s,836 kb/s,820 kb/s,857 kb/s,824 kb/s,935 kb/s,883 kb/s,904 kb/s,784 kb/s,712 kb/s,775 kb/s,619 kb/s,721 kb/s,,,,,,,,,,,,,,,
