"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}"
2025-11-16 15:23:00,2.60 kb/s,2.57 kb/s,3.29 kb/s,3.01 kb/s,2.31 kb/s,6.27 kb/s,3.28 kb/s,4.08 kb/s,2.57 kb/s,3.68 kb/s,2.63 kb/s,2.86 kb/s,3.05 kb/s,4.54 kb/s,3.89 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:23:15,37.9 kb/s,53.8 kb/s,44.1 kb/s,40.6 kb/s,50.7 kb/s,44.3 kb/s,52.3 kb/s,33.8 kb/s,8.02 kb/s,36.4 kb/s,54.6 kb/s,42.3 kb/s,37.6 kb/s,11.5 kb/s,36.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:23:30,66.2 kb/s,86.8 kb/s,79.8 kb/s,83.1 kb/s,93.8 kb/s,85.9 kb/s,85.5 kb/s,68.6 kb/s,75.1 kb/s,75.7 kb/s,84.3 kb/s,75.4 kb/s,63.3 kb/s,79.2 kb/s,80.5 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:23:45,110 kb/s,140 kb/s,107 kb/s,113 kb/s,123 kb/s,114 kb/s,126 kb/s,106 kb/s,116 kb/s,114 kb/s,138 kb/s,119 kb/s,100 kb/s,110 kb/s,114 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:24:00,137 kb/s,173 kb/s,146 kb/s,141 kb/s,146 kb/s,147 kb/s,159 kb/s,134 kb/s,152 kb/s,146 kb/s,171 kb/s,174 kb/s,147 kb/s,150 kb/s,165 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:24:15,173 kb/s,207 kb/s,193 kb/s,177 kb/s,183 kb/s,176 kb/s,197 kb/s,186 kb/s,198 kb/s,172 kb/s,218 kb/s,211 kb/s,178 kb/s,180 kb/s,198 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:24:30,205 kb/s,240 kb/s,229 kb/s,221 kb/s,224 kb/s,225 kb/s,223 kb/s,220 kb/s,248 kb/s,213 kb/s,253 kb/s,244 kb/s,204 kb/s,230 kb/s,241 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:24:45,248 kb/s,299 kb/s,260 kb/s,250 kb/s,254 kb/s,254 kb/s,269 kb/s,257 kb/s,296 kb/s,257 kb/s,304 kb/s,287 kb/s,240 kb/s,267 kb/s,273 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:25:00,280 kb/s,337 kb/s,306 kb/s,275 kb/s,282 kb/s,286 kb/s,306 kb/s,288 kb/s,335 kb/s,292 kb/s,338 kb/s,335 kb/s,282 kb/s,314 kb/s,331 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:25:15,311 kb/s,378 kb/s,354 kb/s,313 kb/s,320 kb/s,321 kb/s,342 kb/s,338 kb/s,379 kb/s,322 kb/s,382 kb/s,372 kb/s,312 kb/s,353 kb/s,367 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:25:30,345 kb/s,409 kb/s,389 kb/s,358 kb/s,362 kb/s,370 kb/s,374 kb/s,371 kb/s,423 kb/s,359 kb/s,417 kb/s,403 kb/s,341 kb/s,408 kb/s,412 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:25:45,391 kb/s,463 kb/s,425 kb/s,392 kb/s,394 kb/s,404 kb/s,431 kb/s,411 kb/s,464 kb/s,399 kb/s,480 kb/s,449 kb/s,375 kb/s,438 kb/s,446 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:26:00,421 kb/s,492 kb/s,469 kb/s,422 kb/s,422 kb/s,436 kb/s,458 kb/s,437 kb/s,495 kb/s,434 kb/s,518 kb/s,503 kb/s,419 kb/s,478 kb/s,512 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:26:15,457 kb/s,532 kb/s,522 kb/s,459 kb/s,460 kb/s,470 kb/s,495 kb/s,489 kb/s,538 kb/s,463 kb/s,554 kb/s,542 kb/s,448 kb/s,510 kb/s,553 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:26:30,487 kb/s,567 kb/s,560 kb/s,504 kb/s,501 kb/s,522 kb/s,526 kb/s,519 kb/s,582 kb/s,502 kb/s,588 kb/s,579 kb/s,479 kb/s,565 kb/s,597 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:26:45,535 kb/s,626 kb/s,593 kb/s,534 kb/s,532 kb/s,555 kb/s,580 kb/s,552 kb/s,614 kb/s,545 kb/s,651 kb/s,624 kb/s,517 kb/s,601 kb/s,634 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:27:00,566 kb/s,665 kb/s,634 kb/s,560 kb/s,559 kb/s,593 kb/s,618 kb/s,582 kb/s,649 kb/s,578 kb/s,682 kb/s,676 kb/s,561 kb/s,638 kb/s,683 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:27:15,603 kb/s,708 kb/s,687 kb/s,593 kb/s,598 kb/s,627 kb/s,662 kb/s,626 kb/s,684 kb/s,605 kb/s,728 kb/s,715 kb/s,595 kb/s,678 kb/s,719 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:27:30,633 kb/s,746 kb/s,723 kb/s,636 kb/s,646 kb/s,670 kb/s,698 kb/s,658 kb/s,722 kb/s,641 kb/s,764 kb/s,743 kb/s,622 kb/s,720 kb/s,760 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:27:45,681 kb/s,805 kb/s,756 kb/s,669 kb/s,679 kb/s,702 kb/s,752 kb/s,701 kb/s,751 kb/s,682 kb/s,822 kb/s,790 kb/s,658 kb/s,752 kb/s,798 kb/s,,,,,,,,,,,,,,,
