"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}"
2025-11-16 15:23:00,14.6 kb/s,14.3 kb/s,20.7 kb/s,13.0 kb/s,12.8 kb/s,16.2 kb/s,13.7 kb/s,19.1 kb/s,17.0 kb/s,15.4 kb/s,14.0 kb/s,17.2 kb/s,17.0 kb/s,21.8 kb/s,16.9 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:23:15,61.5 kb/s,66.4 kb/s,60.9 kb/s,59.1 kb/s,62.8 kb/s,49.2 kb/s,65.8 kb/s,55.4 kb/s,30.1 kb/s,46.8 kb/s,66.9 kb/s,59.9 kb/s,55.4 kb/s,32.5 kb/s,53.9 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:23:30,106 kb/s,100 kb/s,103 kb/s,109 kb/s,118 kb/s,92.5 kb/s,99.4 kb/s,98.8 kb/s,103 kb/s,85.1 kb/s,104 kb/s,96.7 kb/s,92.0 kb/s,97.7 kb/s,106 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:23:45,157 kb/s,153 kb/s,143 kb/s,147 kb/s,152 kb/s,125 kb/s,146 kb/s,145 kb/s,148 kb/s,128 kb/s,164 kb/s,142 kb/s,137 kb/s,138 kb/s,143 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:24:00,194 kb/s,194 kb/s,189 kb/s,186 kb/s,188 kb/s,161 kb/s,182 kb/s,184 kb/s,186 kb/s,164 kb/s,207 kb/s,198 kb/s,188 kb/s,188 kb/s,206 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:24:15,237 kb/s,242 kb/s,245 kb/s,235 kb/s,235 kb/s,197 kb/s,225 kb/s,245 kb/s,237 kb/s,199 kb/s,254 kb/s,238 kb/s,229 kb/s,229 kb/s,250 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:24:30,278 kb/s,285 kb/s,287 kb/s,291 kb/s,287 kb/s,244 kb/s,265 kb/s,287 kb/s,290 kb/s,238 kb/s,296 kb/s,277 kb/s,267 kb/s,289 kb/s,305 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:24:45,337 kb/s,346 kb/s,326 kb/s,331 kb/s,326 kb/s,278 kb/s,319 kb/s,335 kb/s,350 kb/s,285 kb/s,365 kb/s,323 kb/s,315 kb/s,333 kb/s,348 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:25:00,378 kb/s,386 kb/s,373 kb/s,372 kb/s,364 kb/s,315 kb/s,356 kb/s,378 kb/s,392 kb/s,328 kb/s,412 kb/s,384 kb/s,381 kb/s,386 kb/s,414 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:25:15,427 kb/s,438 kb/s,432 kb/s,417 kb/s,408 kb/s,349 kb/s,404 kb/s,441 kb/s,449 kb/s,364 kb/s,460 kb/s,426 kb/s,422 kb/s,428 kb/s,456 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:25:30,471 kb/s,481 kb/s,475 kb/s,477 kb/s,460 kb/s,398 kb/s,444 kb/s,487 kb/s,502 kb/s,405 kb/s,500 kb/s,466 kb/s,462 kb/s,493 kb/s,507 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:25:45,531 kb/s,550 kb/s,511 kb/s,519 kb/s,499 kb/s,434 kb/s,499 kb/s,542 kb/s,547 kb/s,459 kb/s,563 kb/s,515 kb/s,512 kb/s,541 kb/s,551 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:26:00,573 kb/s,596 kb/s,557 kb/s,559 kb/s,538 kb/s,474 kb/s,544 kb/s,588 kb/s,587 kb/s,498 kb/s,604 kb/s,571 kb/s,570 kb/s,595 kb/s,610 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:26:15,619 kb/s,646 kb/s,609 kb/s,609 kb/s,586 kb/s,511 kb/s,595 kb/s,661 kb/s,636 kb/s,533 kb/s,660 kb/s,612 kb/s,615 kb/s,641 kb/s,652 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:26:30,663 kb/s,686 kb/s,651 kb/s,668 kb/s,643 kb/s,561 kb/s,637 kb/s,710 kb/s,685 kb/s,578 kb/s,704 kb/s,650 kb/s,657 kb/s,708 kb/s,706 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:26:45,721 kb/s,746 kb/s,690 kb/s,712 kb/s,683 kb/s,597 kb/s,695 kb/s,766 kb/s,737 kb/s,633 kb/s,765 kb/s,698 kb/s,707 kb/s,751 kb/s,748 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:27:00,762 kb/s,786 kb/s,739 kb/s,752 kb/s,722 kb/s,634 kb/s,733 kb/s,815 kb/s,776 kb/s,678 kb/s,810 kb/s,753 kb/s,766 kb/s,808 kb/s,814 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:27:15,809 kb/s,834 kb/s,794 kb/s,803 kb/s,772 kb/s,670 kb/s,778 kb/s,890 kb/s,827 kb/s,716 kb/s,861 kb/s,794 kb/s,810 kb/s,849 kb/s,858 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:27:30,852 kb/s,870 kb/s,838 kb/s,859 kb/s,827 kb/s,720 kb/s,814 kb/s,937 kb/s,868 kb/s,758 kb/s,906 kb/s,835 kb/s,852 kb/s,917 kb/s,912 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:27:45,917 kb/s,926 kb/s,871 kb/s,905 kb/s,868 kb/s,754 kb/s,870 kb/s,991 kb/s,909 kb/s,815 kb/s,972 kb/s,876 kb/s,904 kb/s,957 kb/s,954 kb/s,,,,,,,,,,,,,,,
