"Time","Value"
2025-11-16 15:41:45,1033333334 Gwei
2025-11-16 15:42:00,1040000001 Gwei
2025-11-16 15:42:15,1040000001 Gwei
2025-11-16 15:42:30,990000001 Gwei
2025-11-16 15:42:45,931536459 Gwei
2025-11-16 15:43:00,40795123699 Gwei
2025-11-16 15:43:15,74229464525 Gwei
2025-11-16 15:43:30,74203300128 Gwei
2025-11-16 15:43:45,34975056442 Gwei
2025-11-16 15:44:00,2271416818 Gwei
2025-11-16 15:44:15,2241776952 Gwei
2025-11-16 15:44:30,2211238443 Gwei
2025-11-16 15:44:45,2191142277 Gwei
2025-11-16 15:45:00,2161292142 Gwei
2025-11-16 15:45:15,2143123462 Gwei
2025-11-16 15:45:30,2120847800 Gwei
2025-11-16 15:45:45,2099154075 Gwei
2025-11-16 15:46:00,2083163941 Gwei
2025-11-16 15:46:15,2065659279 Gwei
2025-11-16 15:46:30,2053630717 Gwei
2025-11-16 15:46:45,2038509239 Gwei
2025-11-16 15:47:00,2020994588 Gwei
2025-11-16 15:47:15,2005982765 Gwei
2025-11-16 15:47:30,1990861439 Gwei
2025-11-16 15:47:45,1974388995 Gwei
2025-11-16 15:48:00,1963326584 Gwei
2025-11-16 15:48:15,1954071939 Gwei
2025-11-16 15:48:30,1945343930 Gwei
2025-11-16 15:48:45,1934894818 Gwei
2025-11-16 15:49:00,1927525321 Gwei
2025-11-16 15:49:15,1921491677 Gwei
2025-11-16 15:49:30,1918323502 Gwei
2025-11-16 15:49:45,1912976780 Gwei
2025-11-16 15:50:00,1911956980 Gwei
2025-11-16 15:50:15,1911247444 Gwei
2025-11-16 15:50:30,1908309166 Gwei
2025-11-16 15:50:45,1907771342 Gwei
2025-11-16 15:51:00,1911150597 Gwei
2025-11-16 15:51:15,1914060262 Gwei
2025-11-16 15:51:30,1913714998 Gwei
2025-11-16 15:51:45,1916555495 Gwei
2025-11-16 15:52:00,1917535438 Gwei
2025-11-16 15:52:15,1918706909 Gwei
2025-11-16 15:52:30,1923303292 Gwei
2025-11-16 15:52:45,1925566220 Gwei
2025-11-16 15:53:00,1929976328 Gwei
2025-11-16 15:53:15,1934472849 Gwei
2025-11-16 15:53:30,1935771490 Gwei
2025-11-16 15:53:45,1941593648 Gwei
2025-11-16 15:54:00,1945309233 Gwei
2025-11-16 15:54:15,1947374972 Gwei
2025-11-16 15:54:30,1954358209 Gwei
2025-11-16 15:54:45,1956679453 Gwei
2025-11-16 15:55:00,1962798866 Gwei
2025-11-16 15:55:15,1969717016 Gwei
2025-11-16 15:55:30,1971268780 Gwei
2025-11-16 15:55:45,1979902803 Gwei
2025-11-16 15:56:00,1985673118 Gwei
2025-11-16 15:56:15,1989150391 Gwei
2025-11-16 15:56:30,1999973306 Gwei
