"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}"
2025-11-16 15:42:00,,,1.65 kb/s,,,1.07 kb/s,,,,948 b/s,,,,,,,,,,,,,,,,,,,,
2025-11-16 15:42:15,6.16 kb/s,7.04 kb/s,5.92 kb/s,3.47 kb/s,4.86 kb/s,6.16 kb/s,3.23 kb/s,3.22 kb/s,2.83 kb/s,5.76 kb/s,3.01 kb/s,3.69 kb/s,2.88 kb/s,4.15 kb/s,5.94 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:42:30,38.5 kb/s,49.4 kb/s,53.3 kb/s,39.5 kb/s,34.2 kb/s,59.3 kb/s,33.6 kb/s,54.1 kb/s,50.3 kb/s,45.1 kb/s,35.9 kb/s,57.5 kb/s,42.9 kb/s,34.3 kb/s,48.5 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:42:45,79.9 kb/s,87.3 kb/s,84.3 kb/s,71.0 kb/s,68.8 kb/s,85.8 kb/s,69.1 kb/s,87.7 kb/s,84.2 kb/s,71.0 kb/s,65.9 kb/s,102 kb/s,69.3 kb/s,63.4 kb/s,92.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:43:00,108 kb/s,114 kb/s,114 kb/s,108 kb/s,98.6 kb/s,111 kb/s,94.1 kb/s,125 kb/s,125 kb/s,93.1 kb/s,107 kb/s,162 kb/s,112 kb/s,100 kb/s,128 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:43:15,139 kb/s,150 kb/s,152 kb/s,137 kb/s,138 kb/s,139 kb/s,135 kb/s,177 kb/s,155 kb/s,124 kb/s,133 kb/s,201 kb/s,141 kb/s,137 kb/s,177 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:43:30,167 kb/s,174 kb/s,197 kb/s,169 kb/s,188 kb/s,170 kb/s,161 kb/s,208 kb/s,191 kb/s,162 kb/s,165 kb/s,242 kb/s,176 kb/s,175 kb/s,221 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:43:45,207 kb/s,225 kb/s,237 kb/s,209 kb/s,227 kb/s,199 kb/s,195 kb/s,239 kb/s,229 kb/s,191 kb/s,198 kb/s,290 kb/s,202 kb/s,205 kb/s,277 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:44:00,234 kb/s,258 kb/s,270 kb/s,254 kb/s,262 kb/s,227 kb/s,222 kb/s,281 kb/s,278 kb/s,217 kb/s,239 kb/s,354 kb/s,251 kb/s,248 kb/s,315 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:44:15,267 kb/s,300 kb/s,315 kb/s,284 kb/s,297 kb/s,261 kb/s,263 kb/s,328 kb/s,313 kb/s,250 kb/s,269 kb/s,394 kb/s,281 kb/s,288 kb/s,360 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:44:30,292 kb/s,332 kb/s,356 kb/s,324 kb/s,349 kb/s,294 kb/s,293 kb/s,360 kb/s,353 kb/s,290 kb/s,301 kb/s,435 kb/s,319 kb/s,331 kb/s,403 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:44:45,332 kb/s,394 kb/s,401 kb/s,359 kb/s,388 kb/s,334 kb/s,328 kb/s,388 kb/s,388 kb/s,321 kb/s,332 kb/s,473 kb/s,349 kb/s,367 kb/s,459 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:45:00,360 kb/s,431 kb/s,434 kb/s,396 kb/s,419 kb/s,362 kb/s,357 kb/s,426 kb/s,435 kb/s,351 kb/s,377 kb/s,524 kb/s,394 kb/s,410 kb/s,500 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:45:15,388 kb/s,473 kb/s,480 kb/s,425 kb/s,461 kb/s,398 kb/s,396 kb/s,477 kb/s,463 kb/s,384 kb/s,407 kb/s,561 kb/s,427 kb/s,453 kb/s,536 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:45:30,412 kb/s,507 kb/s,525 kb/s,460 kb/s,511 kb/s,440 kb/s,422 kb/s,511 kb/s,502 kb/s,431 kb/s,439 kb/s,593 kb/s,458 kb/s,497 kb/s,580 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:45:45,448 kb/s,568 kb/s,568 kb/s,494 kb/s,550 kb/s,479 kb/s,457 kb/s,542 kb/s,544 kb/s,461 kb/s,471 kb/s,635 kb/s,493 kb/s,531 kb/s,630 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:46:00,478 kb/s,601 kb/s,602 kb/s,536 kb/s,579 kb/s,510 kb/s,484 kb/s,582 kb/s,589 kb/s,490 kb/s,518 kb/s,696 kb/s,550 kb/s,566 kb/s,663 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:46:15,510 kb/s,645 kb/s,647 kb/s,562 kb/s,621 kb/s,544 kb/s,526 kb/s,633 kb/s,617 kb/s,528 kb/s,551 kb/s,735 kb/s,586 kb/s,609 kb/s,703 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:46:30,536 kb/s,678 kb/s,700 kb/s,603 kb/s,673 kb/s,587 kb/s,556 kb/s,671 kb/s,655 kb/s,571 kb/s,583 kb/s,770 kb/s,627 kb/s,650 kb/s,739 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:46:45,574 kb/s,732 kb/s,744 kb/s,637 kb/s,704 kb/s,632 kb/s,595 kb/s,703 kb/s,693 kb/s,601 kb/s,618 kb/s,816 kb/s,658 kb/s,685 kb/s,796 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:47:00,600 kb/s,771 kb/s,776 kb/s,673 kb/s,735 kb/s,668 kb/s,627 kb/s,748 kb/s,740 kb/s,630 kb/s,666 kb/s,876 kb/s,712 kb/s,724 kb/s,835 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:47:15,616 kb/s,802 kb/s,804 kb/s,687 kb/s,755 kb/s,676 kb/s,649 kb/s,766 kb/s,759 kb/s,649 kb/s,686 kb/s,888 kb/s,727 kb/s,750 kb/s,865 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:47:30,605 kb/s,792 kb/s,829 kb/s,692 kb/s,774 kb/s,692 kb/s,654 kb/s,770 kb/s,766 kb/s,670 kb/s,692 kb/s,887 kb/s,742 kb/s,765 kb/s,863 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:47:45,614 kb/s,819 kb/s,847 kb/s,697 kb/s,786 kb/s,707 kb/s,666 kb/s,766 kb/s,768 kb/s,680 kb/s,690 kb/s,876 kb/s,733 kb/s,770 kb/s,883 kb/s,,,,,,,,,,,,,,,
