"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}"
2025-11-16 15:42:00,,,11.1 kb/s,,,11.4 kb/s,,,,11.0 kb/s,,,,,,,,,,,,,,,,,,,,
2025-11-16 15:42:15,18.3 kb/s,18.1 kb/s,22.1 kb/s,15.1 kb/s,22.7 kb/s,22.5 kb/s,17.9 kb/s,18.8 kb/s,14.9 kb/s,21.9 kb/s,16.4 kb/s,16.7 kb/s,15.4 kb/s,19.9 kb/s,17.2 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:42:30,67.9 kb/s,50.0 kb/s,63.5 kb/s,66.2 kb/s,52.8 kb/s,71.2 kb/s,58.9 kb/s,57.0 kb/s,68.1 kb/s,71.7 kb/s,56.3 kb/s,59.0 kb/s,61.1 kb/s,60.4 kb/s,68.2 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:42:45,113 kb/s,93.1 kb/s,92.2 kb/s,108 kb/s,87.7 kb/s,104 kb/s,102 kb/s,91.4 kb/s,112 kb/s,104 kb/s,92.4 kb/s,107 kb/s,95.4 kb/s,99.0 kb/s,115 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:43:00,146 kb/s,125 kb/s,121 kb/s,164 kb/s,119 kb/s,136 kb/s,141 kb/s,128 kb/s,165 kb/s,138 kb/s,138 kb/s,174 kb/s,147 kb/s,143 kb/s,153 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:43:15,188 kb/s,164 kb/s,158 kb/s,210 kb/s,155 kb/s,177 kb/s,209 kb/s,178 kb/s,205 kb/s,182 kb/s,173 kb/s,222 kb/s,184 kb/s,193 kb/s,195 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:43:30,224 kb/s,193 kb/s,201 kb/s,265 kb/s,201 kb/s,217 kb/s,253 kb/s,214 kb/s,253 kb/s,230 kb/s,210 kb/s,264 kb/s,231 kb/s,240 kb/s,238 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:43:45,276 kb/s,250 kb/s,237 kb/s,319 kb/s,242 kb/s,260 kb/s,308 kb/s,249 kb/s,300 kb/s,270 kb/s,251 kb/s,314 kb/s,275 kb/s,283 kb/s,289 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:44:00,313 kb/s,288 kb/s,271 kb/s,381 kb/s,277 kb/s,296 kb/s,352 kb/s,288 kb/s,358 kb/s,309 kb/s,300 kb/s,380 kb/s,339 kb/s,330 kb/s,329 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:44:15,357 kb/s,332 kb/s,305 kb/s,432 kb/s,320 kb/s,342 kb/s,419 kb/s,341 kb/s,401 kb/s,358 kb/s,336 kb/s,425 kb/s,383 kb/s,384 kb/s,377 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:44:30,395 kb/s,369 kb/s,353 kb/s,484 kb/s,369 kb/s,388 kb/s,463 kb/s,380 kb/s,452 kb/s,410 kb/s,381 kb/s,469 kb/s,435 kb/s,440 kb/s,423 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:44:45,444 kb/s,422 kb/s,390 kb/s,541 kb/s,407 kb/s,432 kb/s,513 kb/s,415 kb/s,501 kb/s,456 kb/s,419 kb/s,528 kb/s,477 kb/s,481 kb/s,476 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:45:00,481 kb/s,462 kb/s,423 kb/s,606 kb/s,443 kb/s,470 kb/s,551 kb/s,457 kb/s,563 kb/s,495 kb/s,475 kb/s,601 kb/s,544 kb/s,526 kb/s,518 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:45:15,525 kb/s,504 kb/s,457 kb/s,653 kb/s,480 kb/s,514 kb/s,618 kb/s,511 kb/s,605 kb/s,542 kb/s,514 kb/s,651 kb/s,584 kb/s,574 kb/s,566 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:45:30,562 kb/s,545 kb/s,504 kb/s,706 kb/s,528 kb/s,564 kb/s,661 kb/s,553 kb/s,651 kb/s,600 kb/s,553 kb/s,700 kb/s,635 kb/s,627 kb/s,613 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:45:45,615 kb/s,600 kb/s,543 kb/s,762 kb/s,566 kb/s,606 kb/s,712 kb/s,588 kb/s,697 kb/s,643 kb/s,595 kb/s,758 kb/s,676 kb/s,670 kb/s,673 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:46:00,653 kb/s,641 kb/s,581 kb/s,821 kb/s,606 kb/s,646 kb/s,759 kb/s,637 kb/s,761 kb/s,681 kb/s,647 kb/s,818 kb/s,735 kb/s,722 kb/s,717 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:46:15,697 kb/s,688 kb/s,621 kb/s,870 kb/s,646 kb/s,695 kb/s,828 kb/s,694 kb/s,806 kb/s,733 kb/s,684 kb/s,864 kb/s,776 kb/s,778 kb/s,770 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:46:30,736 kb/s,726 kb/s,668 kb/s,923 kb/s,696 kb/s,747 kb/s,874 kb/s,734 kb/s,858 kb/s,788 kb/s,725 kb/s,910 kb/s,827 kb/s,832 kb/s,820 kb/s,,,,,,,,,,,,,,,
2025-11-16 15:46:45,790 kb/s,786 kb/s,707 kb/s,981 kb/s,730 kb/s,794 kb/s,928 kb/s,775 kb/s,908 kb/s,832 kb/s,768 kb/s,963 kb/s,871 kb/s,875 kb/s,878 kb/s,,,,,,,,,,,,,,,
