"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}"
2025-11-16 16:01:45,3.71 kb/s,,,,,,2.92 kb/s,1.15 kb/s,3.34 kb/s,1.81 kb/s,,2.93 kb/s,,2.06 kb/s,2.68 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:02:00,6.69 kb/s,4.07 kb/s,4.27 kb/s,3.19 kb/s,3.20 kb/s,4.33 kb/s,6.61 kb/s,6.63 kb/s,28.9 kb/s,6.73 kb/s,3.99 kb/s,38.9 kb/s,3.57 kb/s,7.58 kb/s,27.2 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:02:15,69.7 kb/s,53.3 kb/s,57.7 kb/s,53.2 kb/s,55.2 kb/s,57.9 kb/s,52.3 kb/s,84.2 kb/s,58.8 kb/s,60.7 kb/s,40.5 kb/s,73.1 kb/s,51.4 kb/s,39.9 kb/s,56.3 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:02:30,106 kb/s,101 kb/s,90.1 kb/s,122 kb/s,103 kb/s,87.1 kb/s,78.3 kb/s,119 kb/s,93.1 kb/s,88.9 kb/s,92.1 kb/s,106 kb/s,77.7 kb/s,92.3 kb/s,82.0 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:02:45,147 kb/s,147 kb/s,129 kb/s,162 kb/s,135 kb/s,133 kb/s,113 kb/s,152 kb/s,121 kb/s,117 kb/s,126 kb/s,160 kb/s,131 kb/s,124 kb/s,116 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:03:00,182 kb/s,186 kb/s,157 kb/s,194 kb/s,168 kb/s,158 kb/s,139 kb/s,198 kb/s,167 kb/s,153 kb/s,157 kb/s,194 kb/s,169 kb/s,166 kb/s,158 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:03:15,240 kb/s,230 kb/s,195 kb/s,244 kb/s,208 kb/s,197 kb/s,184 kb/s,257 kb/s,194 kb/s,187 kb/s,190 kb/s,231 kb/s,212 kb/s,196 kb/s,187 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:03:30,276 kb/s,281 kb/s,231 kb/s,303 kb/s,258 kb/s,222 kb/s,215 kb/s,289 kb/s,237 kb/s,215 kb/s,238 kb/s,264 kb/s,244 kb/s,257 kb/s,213 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:03:45,316 kb/s,330 kb/s,278 kb/s,348 kb/s,288 kb/s,265 kb/s,253 kb/s,318 kb/s,266 kb/s,244 kb/s,265 kb/s,319 kb/s,296 kb/s,296 kb/s,250 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:04:00,346 kb/s,367 kb/s,313 kb/s,388 kb/s,312 kb/s,291 kb/s,283 kb/s,354 kb/s,322 kb/s,280 kb/s,295 kb/s,352 kb/s,334 kb/s,342 kb/s,292 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:04:15,399 kb/s,413 kb/s,356 kb/s,432 kb/s,349 kb/s,329 kb/s,329 kb/s,408 kb/s,355 kb/s,318 kb/s,330 kb/s,390 kb/s,378 kb/s,373 kb/s,323 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:04:30,428 kb/s,460 kb/s,396 kb/s,492 kb/s,393 kb/s,352 kb/s,358 kb/s,443 kb/s,396 kb/s,351 kb/s,381 kb/s,423 kb/s,415 kb/s,430 kb/s,353 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:04:45,470 kb/s,505 kb/s,447 kb/s,531 kb/s,424 kb/s,391 kb/s,396 kb/s,475 kb/s,429 kb/s,380 kb/s,413 kb/s,476 kb/s,479 kb/s,464 kb/s,390 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:05:00,504 kb/s,534 kb/s,475 kb/s,572 kb/s,453 kb/s,415 kb/s,426 kb/s,510 kb/s,486 kb/s,418 kb/s,446 kb/s,509 kb/s,515 kb/s,506 kb/s,436 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:05:15,559 kb/s,574 kb/s,518 kb/s,612 kb/s,485 kb/s,449 kb/s,469 kb/s,558 kb/s,514 kb/s,460 kb/s,486 kb/s,542 kb/s,565 kb/s,538 kb/s,469 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:05:30,593 kb/s,620 kb/s,561 kb/s,677 kb/s,523 kb/s,472 kb/s,500 kb/s,595 kb/s,552 kb/s,492 kb/s,537 kb/s,576 kb/s,600 kb/s,598 kb/s,498 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:05:45,632 kb/s,661 kb/s,608 kb/s,721 kb/s,555 kb/s,513 kb/s,534 kb/s,622 kb/s,583 kb/s,520 kb/s,572 kb/s,631 kb/s,658 kb/s,638 kb/s,535 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:06:00,663 kb/s,694 kb/s,645 kb/s,761 kb/s,583 kb/s,540 kb/s,566 kb/s,661 kb/s,638 kb/s,555 kb/s,599 kb/s,666 kb/s,692 kb/s,686 kb/s,577 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:06:15,719 kb/s,739 kb/s,688 kb/s,807 kb/s,616 kb/s,575 kb/s,615 kb/s,708 kb/s,673 kb/s,593 kb/s,636 kb/s,702 kb/s,738 kb/s,720 kb/s,606 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:06:30,754 kb/s,787 kb/s,729 kb/s,869 kb/s,662 kb/s,601 kb/s,646 kb/s,739 kb/s,716 kb/s,626 kb/s,686 kb/s,737 kb/s,762 kb/s,789 kb/s,633 kb/s,,,,,,,,,,,,,,,
