"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}"
2025-11-16 16:01:45,18.6 kb/s,,,,,,18.3 kb/s,13.3 kb/s,15.7 kb/s,14.1 kb/s,,13.8 kb/s,,14.8 kb/s,16.3 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:02:00,25.8 kb/s,18.0 kb/s,18.3 kb/s,17.5 kb/s,17.5 kb/s,18.5 kb/s,25.1 kb/s,24.9 kb/s,38.3 kb/s,26.1 kb/s,17.4 kb/s,51.4 kb/s,18.5 kb/s,26.8 kb/s,40.8 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:02:15,97.7 kb/s,66.3 kb/s,61.2 kb/s,65.4 kb/s,73.8 kb/s,81.2 kb/s,85.4 kb/s,86.9 kb/s,66.2 kb/s,108 kb/s,64.4 kb/s,94.2 kb/s,56.4 kb/s,57.0 kb/s,72.3 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:02:30,144 kb/s,115 kb/s,100 kb/s,122 kb/s,149 kb/s,128 kb/s,126 kb/s,121 kb/s,97.5 kb/s,160 kb/s,129 kb/s,131 kb/s,88.1 kb/s,104 kb/s,102 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:02:45,199 kb/s,155 kb/s,145 kb/s,163 kb/s,195 kb/s,204 kb/s,179 kb/s,158 kb/s,127 kb/s,205 kb/s,171 kb/s,183 kb/s,139 kb/s,140 kb/s,140 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:03:00,244 kb/s,191 kb/s,184 kb/s,205 kb/s,239 kb/s,254 kb/s,222 kb/s,200 kb/s,172 kb/s,265 kb/s,217 kb/s,221 kb/s,173 kb/s,180 kb/s,194 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:03:15,309 kb/s,238 kb/s,225 kb/s,252 kb/s,290 kb/s,312 kb/s,284 kb/s,249 kb/s,205 kb/s,326 kb/s,270 kb/s,263 kb/s,212 kb/s,214 kb/s,233 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:03:30,355 kb/s,285 kb/s,265 kb/s,314 kb/s,357 kb/s,364 kb/s,331 kb/s,287 kb/s,245 kb/s,380 kb/s,330 kb/s,302 kb/s,246 kb/s,267 kb/s,270 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:03:45,405 kb/s,329 kb/s,318 kb/s,351 kb/s,404 kb/s,439 kb/s,390 kb/s,324 kb/s,279 kb/s,422 kb/s,376 kb/s,352 kb/s,297 kb/s,305 kb/s,317 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:04:00,450 kb/s,367 kb/s,359 kb/s,387 kb/s,449 kb/s,489 kb/s,436 kb/s,369 kb/s,330 kb/s,479 kb/s,418 kb/s,389 kb/s,332 kb/s,349 kb/s,376 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:04:15,513 kb/s,409 kb/s,406 kb/s,437 kb/s,500 kb/s,544 kb/s,508 kb/s,421 kb/s,365 kb/s,536 kb/s,467 kb/s,432 kb/s,379 kb/s,387 kb/s,420 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:04:30,557 kb/s,458 kb/s,455 kb/s,498 kb/s,567 kb/s,588 kb/s,557 kb/s,458 kb/s,403 kb/s,591 kb/s,530 kb/s,471 kb/s,413 kb/s,445 kb/s,457 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:04:45,610 kb/s,505 kb/s,508 kb/s,540 kb/s,614 kb/s,658 kb/s,618 kb/s,492 kb/s,437 kb/s,639 kb/s,575 kb/s,524 kb/s,463 kb/s,483 kb/s,502 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:05:00,652 kb/s,546 kb/s,551 kb/s,577 kb/s,657 kb/s,703 kb/s,664 kb/s,536 kb/s,486 kb/s,696 kb/s,614 kb/s,567 kb/s,501 kb/s,526 kb/s,560 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:05:15,721 kb/s,593 kb/s,602 kb/s,630 kb/s,711 kb/s,754 kb/s,732 kb/s,585 kb/s,523 kb/s,758 kb/s,664 kb/s,610 kb/s,537 kb/s,566 kb/s,601 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:05:30,767 kb/s,644 kb/s,646 kb/s,685 kb/s,778 kb/s,795 kb/s,786 kb/s,622 kb/s,559 kb/s,814 kb/s,725 kb/s,648 kb/s,570 kb/s,624 kb/s,639 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:05:45,825 kb/s,692 kb/s,699 kb/s,724 kb/s,824 kb/s,867 kb/s,848 kb/s,659 kb/s,594 kb/s,863 kb/s,772 kb/s,702 kb/s,623 kb/s,661 kb/s,683 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:06:00,870 kb/s,733 kb/s,738 kb/s,763 kb/s,870 kb/s,914 kb/s,895 kb/s,703 kb/s,646 kb/s,920 kb/s,815 kb/s,741 kb/s,661 kb/s,703 kb/s,739 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:06:15,939 kb/s,778 kb/s,784 kb/s,819 kb/s,922 kb/s,968 kb/s,970 kb/s,756 kb/s,680 kb/s,987 kb/s,866 kb/s,800 kb/s,701 kb/s,744 kb/s,783 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:06:30,989 kb/s,824 kb/s,825 kb/s,871 kb/s,990 kb/s,1.01 Mb/s,1.02 Mb/s,798 kb/s,716 kb/s,1.05 Mb/s,931 kb/s,832 kb/s,735 kb/s,802 kb/s,821 kb/s,,,,,,,,,,,,,,,
