"Time","Value"
2025-11-16 16:20:00,1045454546 Gwei
2025-11-16 16:20:15,1040000001 Gwei
2025-11-16 16:20:30,1023333334 Gwei
2025-11-16 16:20:45,967083334 Gwei
2025-11-16 16:21:00,912281902 Gwei
2025-11-16 16:21:15,858747966 Gwei
2025-11-16 16:21:30,804142355 Gwei
2025-11-16 16:21:45,775318453 Gwei
2025-11-16 16:22:00,1442243727 Gwei
2025-11-16 16:22:15,2176800157 Gwei
2025-11-16 16:22:30,2152259026 Gwei
2025-11-16 16:22:45,2140380230 Gwei
2025-11-16 16:23:00,2127520201 Gwei
2025-11-16 16:23:15,2114999928 Gwei
2025-11-16 16:23:30,2085074934 Gwei
2025-11-16 16:23:45,2073391276 Gwei
2025-11-16 16:24:00,2056866055 Gwei
2025-11-16 16:24:15,2038792169 Gwei
2025-11-16 16:24:30,2029939524 Gwei
2025-11-16 16:24:45,2014757197 Gwei
2025-11-16 16:25:00,2002504551 Gwei
2025-11-16 16:25:15,1996144452 Gwei
2025-11-16 16:25:30,1983197103 Gwei
2025-11-16 16:25:45,1970246065 Gwei
2025-11-16 16:26:00,1957816393 Gwei
2025-11-16 16:26:15,1948086986 Gwei
2025-11-16 16:26:30,1939712493 Gwei
2025-11-16 16:26:45,1932254565 Gwei
2025-11-16 16:27:00,1924867797 Gwei
2025-11-16 16:27:15,1923977070 Gwei
2025-11-16 16:27:30,1923388774 Gwei
2025-11-16 16:27:45,1922103414 Gwei
2025-11-16 16:28:00,1922546775 Gwei
2025-11-16 16:28:15,1926200014 Gwei
2025-11-16 16:28:30,1930811918 Gwei
2025-11-16 16:28:45,1934288347 Gwei
2025-11-16 16:29:00,1937738914 Gwei
2025-11-16 16:29:15,1944986713 Gwei
2025-11-16 16:29:30,1952217864 Gwei
2025-11-16 16:29:45,1958293201 Gwei
2025-11-16 16:30:00,1968312372 Gwei
2025-11-16 16:30:15,1979963439 Gwei
2025-11-16 16:30:30,1993813857 Gwei
2025-11-16 16:30:45,2010599693 Gwei
2025-11-16 16:31:00,2026246065 Gwei
2025-11-16 16:31:15,2042896663 Gwei
2025-11-16 16:31:30,2066762486 Gwei
2025-11-16 16:31:45,2085676742 Gwei
2025-11-16 16:32:00,2110643830 Gwei
2025-11-16 16:32:15,2142249537 Gwei
2025-11-16 16:32:30,2174063488 Gwei
2025-11-16 16:32:45,2205156185 Gwei
2025-11-16 16:33:00,2239624063 Gwei
2025-11-16 16:33:15,2288511268 Gwei
2025-11-16 16:33:30,2346343516 Gwei
2025-11-16 16:33:45,2392091217 Gwei
2025-11-16 16:34:00,2452346986 Gwei
