"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}"
2025-11-16 16:20:15,1.96 kb/s,2.58 kb/s,3.45 kb/s,3.09 kb/s,2.38 kb/s,2.16 kb/s,,3.09 kb/s,3.63 kb/s,2.48 kb/s,3.22 kb/s,2.86 kb/s,1.08 kb/s,3.83 kb/s,2.87 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:20:30,6.75 kb/s,39.2 kb/s,24.8 kb/s,27.3 kb/s,40.0 kb/s,3.86 kb/s,4.50 kb/s,34.9 kb/s,6.53 kb/s,29.2 kb/s,32.2 kb/s,27.8 kb/s,7.51 kb/s,6.72 kb/s,43.6 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:20:45,65.1 kb/s,64.0 kb/s,78.7 kb/s,56.0 kb/s,72.2 kb/s,38.0 kb/s,37.0 kb/s,66.7 kb/s,77.0 kb/s,58.4 kb/s,65.6 kb/s,63.7 kb/s,45.9 kb/s,59.1 kb/s,76.4 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:21:00,98.0 kb/s,93.1 kb/s,117 kb/s,82.3 kb/s,103 kb/s,74.4 kb/s,73.8 kb/s,100 kb/s,111 kb/s,91.1 kb/s,96.9 kb/s,95.3 kb/s,79.9 kb/s,83.1 kb/s,111 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:21:15,130 kb/s,113 kb/s,160 kb/s,114 kb/s,155 kb/s,102 kb/s,114 kb/s,138 kb/s,148 kb/s,121 kb/s,130 kb/s,152 kb/s,106 kb/s,113 kb/s,148 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:21:30,170 kb/s,149 kb/s,202 kb/s,155 kb/s,190 kb/s,128 kb/s,156 kb/s,176 kb/s,180 kb/s,158 kb/s,174 kb/s,185 kb/s,133 kb/s,137 kb/s,199 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:21:45,218 kb/s,173 kb/s,248 kb/s,185 kb/s,228 kb/s,163 kb/s,187 kb/s,202 kb/s,229 kb/s,187 kb/s,209 kb/s,218 kb/s,165 kb/s,179 kb/s,229 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:22:00,254 kb/s,206 kb/s,278 kb/s,211 kb/s,256 kb/s,207 kb/s,225 kb/s,242 kb/s,260 kb/s,222 kb/s,240 kb/s,248 kb/s,197 kb/s,205 kb/s,256 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:22:15,287 kb/s,230 kb/s,313 kb/s,242 kb/s,308 kb/s,238 kb/s,271 kb/s,280 kb/s,298 kb/s,256 kb/s,273 kb/s,306 kb/s,222 kb/s,233 kb/s,287 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:22:30,320 kb/s,264 kb/s,349 kb/s,284 kb/s,338 kb/s,273 kb/s,305 kb/s,322 kb/s,329 kb/s,297 kb/s,317 kb/s,341 kb/s,251 kb/s,254 kb/s,326 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:22:45,373 kb/s,288 kb/s,390 kb/s,311 kb/s,374 kb/s,311 kb/s,336 kb/s,358 kb/s,378 kb/s,326 kb/s,343 kb/s,380 kb/s,276 kb/s,296 kb/s,357 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:23:00,408 kb/s,321 kb/s,420 kb/s,336 kb/s,406 kb/s,361 kb/s,369 kb/s,395 kb/s,411 kb/s,362 kb/s,375 kb/s,408 kb/s,308 kb/s,320 kb/s,395 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:23:15,439 kb/s,341 kb/s,460 kb/s,368 kb/s,453 kb/s,396 kb/s,416 kb/s,439 kb/s,448 kb/s,393 kb/s,413 kb/s,474 kb/s,336 kb/s,353 kb/s,431 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:23:30,475 kb/s,378 kb/s,496 kb/s,408 kb/s,484 kb/s,426 kb/s,460 kb/s,482 kb/s,476 kb/s,437 kb/s,460 kb/s,511 kb/s,366 kb/s,380 kb/s,478 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:23:45,520 kb/s,405 kb/s,542 kb/s,437 kb/s,519 kb/s,464 kb/s,493 kb/s,517 kb/s,528 kb/s,469 kb/s,493 kb/s,551 kb/s,396 kb/s,424 kb/s,503 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:24:00,553 kb/s,435 kb/s,576 kb/s,465 kb/s,547 kb/s,512 kb/s,531 kb/s,555 kb/s,559 kb/s,506 kb/s,524 kb/s,582 kb/s,433 kb/s,449 kb/s,541 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:24:15,581 kb/s,462 kb/s,617 kb/s,498 kb/s,594 kb/s,547 kb/s,576 kb/s,598 kb/s,599 kb/s,539 kb/s,555 kb/s,630 kb/s,456 kb/s,483 kb/s,574 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:24:30,617 kb/s,504 kb/s,665 kb/s,539 kb/s,627 kb/s,578 kb/s,620 kb/s,643 kb/s,624 kb/s,578 kb/s,599 kb/s,660 kb/s,492 kb/s,509 kb/s,610 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:24:45,666 kb/s,529 kb/s,712 kb/s,569 kb/s,657 kb/s,617 kb/s,657 kb/s,677 kb/s,678 kb/s,604 kb/s,629 kb/s,695 kb/s,524 kb/s,552 kb/s,636 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:25:00,700 kb/s,564 kb/s,746 kb/s,597 kb/s,689 kb/s,668 kb/s,693 kb/s,716 kb/s,708 kb/s,642 kb/s,664 kb/s,723 kb/s,569 kb/s,581 kb/s,667 kb/s,,,,,,,,,,,,,,,
