"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}"
2025-11-16 16:20:15,13.9 kb/s,15.3 kb/s,17.3 kb/s,16.2 kb/s,13.4 kb/s,14.5 kb/s,,14.8 kb/s,18.5 kb/s,14.5 kb/s,16.2 kb/s,13.2 kb/s,14.0 kb/s,18.7 kb/s,15.1 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:20:30,25.6 kb/s,43.6 kb/s,37.7 kb/s,52.0 kb/s,53.4 kb/s,23.0 kb/s,20.6 kb/s,47.4 kb/s,25.0 kb/s,42.9 kb/s,54.8 kb/s,44.4 kb/s,26.8 kb/s,25.3 kb/s,54.1 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:20:45,93.2 kb/s,70.5 kb/s,100 kb/s,93.8 kb/s,93.3 kb/s,53.5 kb/s,60.2 kb/s,81.8 kb/s,90.2 kb/s,72.6 kb/s,94.7 kb/s,83.1 kb/s,66.0 kb/s,98.1 kb/s,88.7 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:21:00,138 kb/s,97.3 kb/s,137 kb/s,134 kb/s,137 kb/s,90.3 kb/s,100 kb/s,118 kb/s,124 kb/s,102 kb/s,135 kb/s,115 kb/s,106 kb/s,142 kb/s,129 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:21:15,174 kb/s,124 kb/s,179 kb/s,181 kb/s,196 kb/s,121 kb/s,147 kb/s,163 kb/s,163 kb/s,138 kb/s,177 kb/s,169 kb/s,138 kb/s,192 kb/s,167 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:21:30,213 kb/s,163 kb/s,228 kb/s,243 kb/s,238 kb/s,150 kb/s,188 kb/s,212 kb/s,197 kb/s,181 kb/s,237 kb/s,208 kb/s,174 kb/s,234 kb/s,217 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:21:45,274 kb/s,195 kb/s,277 kb/s,283 kb/s,276 kb/s,182 kb/s,223 kb/s,248 kb/s,251 kb/s,213 kb/s,272 kb/s,256 kb/s,211 kb/s,300 kb/s,250 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:22:00,321 kb/s,225 kb/s,312 kb/s,323 kb/s,321 kb/s,231 kb/s,269 kb/s,284 kb/s,286 kb/s,248 kb/s,318 kb/s,297 kb/s,255 kb/s,346 kb/s,291 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:22:15,362 kb/s,255 kb/s,354 kb/s,371 kb/s,374 kb/s,268 kb/s,318 kb/s,327 kb/s,325 kb/s,291 kb/s,354 kb/s,362 kb/s,289 kb/s,395 kb/s,329 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:22:30,412 kb/s,299 kb/s,397 kb/s,428 kb/s,416 kb/s,299 kb/s,371 kb/s,371 kb/s,357 kb/s,336 kb/s,408 kb/s,402 kb/s,324 kb/s,434 kb/s,377 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:22:45,471 kb/s,332 kb/s,445 kb/s,473 kb/s,458 kb/s,338 kb/s,416 kb/s,403 kb/s,411 kb/s,373 kb/s,450 kb/s,449 kb/s,360 kb/s,502 kb/s,415 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:23:00,519 kb/s,364 kb/s,484 kb/s,515 kb/s,501 kb/s,389 kb/s,465 kb/s,445 kb/s,445 kb/s,408 kb/s,495 kb/s,487 kb/s,409 kb/s,547 kb/s,457 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:23:15,566 kb/s,393 kb/s,532 kb/s,568 kb/s,556 kb/s,426 kb/s,518 kb/s,488 kb/s,488 kb/s,451 kb/s,535 kb/s,539 kb/s,442 kb/s,605 kb/s,497 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:23:30,619 kb/s,437 kb/s,579 kb/s,632 kb/s,597 kb/s,463 kb/s,568 kb/s,536 kb/s,523 kb/s,498 kb/s,594 kb/s,578 kb/s,483 kb/s,650 kb/s,547 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:23:45,683 kb/s,469 kb/s,635 kb/s,678 kb/s,638 kb/s,503 kb/s,609 kb/s,571 kb/s,575 kb/s,533 kb/s,634 kb/s,629 kb/s,521 kb/s,722 kb/s,592 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:24:00,730 kb/s,504 kb/s,677 kb/s,719 kb/s,683 kb/s,556 kb/s,662 kb/s,613 kb/s,611 kb/s,569 kb/s,676 kb/s,665 kb/s,565 kb/s,768 kb/s,635 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:24:15,775 kb/s,537 kb/s,727 kb/s,777 kb/s,734 kb/s,594 kb/s,715 kb/s,658 kb/s,655 kb/s,607 kb/s,719 kb/s,724 kb/s,606 kb/s,819 kb/s,676 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:24:30,824 kb/s,586 kb/s,778 kb/s,846 kb/s,774 kb/s,629 kb/s,762 kb/s,700 kb/s,692 kb/s,653 kb/s,774 kb/s,762 kb/s,647 kb/s,863 kb/s,732 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:24:45,883 kb/s,620 kb/s,828 kb/s,894 kb/s,818 kb/s,671 kb/s,803 kb/s,734 kb/s,742 kb/s,688 kb/s,815 kb/s,832 kb/s,693 kb/s,927 kb/s,773 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:25:00,931 kb/s,654 kb/s,865 kb/s,938 kb/s,863 kb/s,724 kb/s,845 kb/s,773 kb/s,780 kb/s,725 kb/s,859 kb/s,868 kb/s,741 kb/s,974 kb/s,819 kb/s,,,,,,,,,,,,,,,
