"Time","Value"
2025-11-16 12:24:45,1100000001 Gwei
2025-11-16 12:25:00,1100000001 Gwei
2025-11-16 12:25:15,1100000001 Gwei
2025-11-16 12:25:30,40923616298 Gwei
2025-11-16 12:25:45,100652303064 Gwei
2025-11-16 12:26:00,100652303064 Gwei
2025-11-16 12:26:15,100607385204 Gwei
2025-11-16 12:26:30,61384648651 Gwei
2025-11-16 12:26:45,2557281500 Gwei
2025-11-16 12:27:00,2549187025 Gwei
2025-11-16 12:27:15,2504667412 Gwei
2025-11-16 12:27:30,2477131279 Gwei
2025-11-16 12:27:45,2447968792 Gwei
2025-11-16 12:28:00,2442844631 Gwei
2025-11-16 12:28:15,2412099662 Gwei
2025-11-16 12:28:30,2397339571 Gwei
2025-11-16 12:28:45,2370721929 Gwei
2025-11-16 12:29:00,2346284095 Gwei
2025-11-16 12:29:15,2333549915 Gwei
2025-11-16 12:29:30,2300340824 Gwei
2025-11-16 12:29:45,2266292268 Gwei
2025-11-16 12:30:00,2238120215 Gwei
2025-11-16 12:30:15,2211554524 Gwei
2025-11-16 12:30:30,2186859994 Gwei
2025-11-16 12:30:45,2168061836 Gwei
2025-11-16 12:31:00,2149303160 Gwei
2025-11-16 12:31:15,2132554984 Gwei
2025-11-16 12:31:30,2117020721 Gwei
2025-11-16 12:31:45,2104590431 Gwei
2025-11-16 12:32:00,2093500773 Gwei
2025-11-16 12:32:15,2083509117 Gwei
2025-11-16 12:32:30,2073780806 Gwei
2025-11-16 12:32:45,2065499506 Gwei
2025-11-16 12:33:00,2058929882 Gwei
2025-11-16 12:33:15,2052357208 Gwei
2025-11-16 12:33:30,2048579846 Gwei
2025-11-16 12:33:45,2048017309 Gwei
2025-11-16 12:34:00,2048017309 Gwei
2025-11-16 12:34:15,2048017309 Gwei
2025-11-16 12:34:30,2048017309 Gwei
2025-11-16 12:34:45,2048017309 Gwei
2025-11-16 12:35:00,2048591679 Gwei
2025-11-16 12:35:15,2052158564 Gwei
2025-11-16 12:35:30,2057501565 Gwei
2025-11-16 12:35:45,2064819147 Gwei
2025-11-16 12:36:00,2071404833 Gwei
2025-11-16 12:36:15,2077312175 Gwei
2025-11-16 12:36:30,2086969685 Gwei
2025-11-16 12:36:45,2095033872 Gwei
2025-11-16 12:37:00,2105358019 Gwei
2025-11-16 12:37:15,2114718639 Gwei
2025-11-16 12:37:30,2126236917 Gwei
2025-11-16 12:37:45,2140023920 Gwei
2025-11-16 12:38:00,2158223014 Gwei
2025-11-16 12:38:15,2174969142 Gwei
2025-11-16 12:38:30,2195104545 Gwei
2025-11-16 12:38:45,2218158281 Gwei
2025-11-16 12:39:00,2239933650 Gwei
2025-11-16 12:39:15,2263285718 Gwei
2025-11-16 12:39:30,2289767689 Gwei
2025-11-16 12:39:45,2290481897 Gwei
2025-11-16 12:40:00,2297623972 Gwei
