"Time","Value"
2025-11-16 12:45:15,1100000001 Gwei
2025-11-16 12:45:30,1100000001 Gwei
2025-11-16 12:45:45,1100000001 Gwei
2025-11-16 12:46:00,40928108084 Gwei
2025-11-16 12:46:15,94032252194 Gwei
2025-11-16 12:46:30,100670270208 Gwei
2025-11-16 12:46:45,100661286636 Gwei
2025-11-16 12:47:00,100607385204 Gwei
2025-11-16 12:47:15,100570571445 Gwei
2025-11-16 12:47:30,93964585884 Gwei
2025-11-16 12:47:45,15500949179 Gwei
2025-11-16 12:48:00,2427073564 Gwei
2025-11-16 12:48:15,2402127841 Gwei
2025-11-16 12:48:30,2377941180 Gwei
2025-11-16 12:48:45,2349631329 Gwei
2025-11-16 12:49:00,2344913021 Gwei
2025-11-16 12:49:15,2328475859 Gwei
2025-11-16 12:49:30,2312147646 Gwei
2025-11-16 12:49:45,2287118405 Gwei
2025-11-16 12:50:00,2261375503 Gwei
2025-11-16 12:50:15,2249193560 Gwei
2025-11-16 12:50:30,2220363106 Gwei
2025-11-16 12:50:45,2195615550 Gwei
2025-11-16 12:51:00,2174536745 Gwei
2025-11-16 12:51:15,2155105042 Gwei
2025-11-16 12:51:30,2137529206 Gwei
2025-11-16 12:51:45,2122394921 Gwei
2025-11-16 12:52:00,2108566889 Gwei
2025-11-16 12:52:15,2097130061 Gwei
2025-11-16 12:52:30,2086344092 Gwei
2025-11-16 12:52:45,2076767584 Gwei
2025-11-16 12:53:00,2068193208 Gwei
2025-11-16 12:53:15,2060826953 Gwei
2025-11-16 12:53:30,2054062765 Gwei
2025-11-16 12:53:45,2047979351 Gwei
2025-11-16 12:54:00,2044237587 Gwei
2025-11-16 12:54:15,2043914012 Gwei
2025-11-16 12:54:30,2043914012 Gwei
2025-11-16 12:54:45,2043914012 Gwei
2025-11-16 12:55:00,2043914012 Gwei
2025-11-16 12:55:15,2043914012 Gwei
2025-11-16 12:55:30,2043914012 Gwei
2025-11-16 12:55:45,2044382558 Gwei
2025-11-16 12:56:00,2046753876 Gwei
2025-11-16 12:56:15,2049153694 Gwei
2025-11-16 12:56:30,2051748110 Gwei
2025-11-16 12:56:45,2054462706 Gwei
2025-11-16 12:57:00,2057507466 Gwei
2025-11-16 12:57:15,2060281088 Gwei
2025-11-16 12:57:30,2063555147 Gwei
2025-11-16 12:57:45,2066911442 Gwei
2025-11-16 12:58:00,2070429466 Gwei
2025-11-16 12:58:15,2073900034 Gwei
2025-11-16 12:58:30,2078244484 Gwei
2025-11-16 12:58:45,2082222915 Gwei
2025-11-16 12:59:00,2086386935 Gwei
2025-11-16 12:59:15,2090918121 Gwei
2025-11-16 12:59:30,2095903588 Gwei
2025-11-16 12:59:45,2100899761 Gwei
2025-11-16 13:00:00,2106515411 Gwei
2025-11-16 13:00:15,2112181366 Gwei
