"Time","Value"
2025-11-16 13:05:00,1100000001 Gwei
2025-11-16 13:05:15,1100000001 Gwei
2025-11-16 13:05:30,1100000001 Gwei
2025-11-16 13:05:45,21014054042 Gwei
2025-11-16 13:06:00,100655154140 Gwei
2025-11-16 13:06:15,100655154140 Gwei
2025-11-16 13:06:30,100655154140 Gwei
2025-11-16 13:06:45,100655154140 Gwei
2025-11-16 13:07:00,100640038073 Gwei
2025-11-16 13:07:15,100554455235 Gwei
2025-11-16 13:07:30,100473393696 Gwei
2025-11-16 13:07:45,100372612323 Gwei
2025-11-16 13:08:00,61122592410 Gwei
2025-11-16 13:08:15,2301730766 Gwei
2025-11-16 13:08:30,2284118344 Gwei
2025-11-16 13:08:45,2263742711 Gwei
2025-11-16 13:09:00,2252292860 Gwei
2025-11-16 13:09:15,2236802478 Gwei
2025-11-16 13:09:30,2218929496 Gwei
2025-11-16 13:09:45,2210842684 Gwei
2025-11-16 13:10:00,2197574610 Gwei
2025-11-16 13:10:15,2185840570 Gwei
2025-11-16 13:10:30,2166039121 Gwei
2025-11-16 13:10:45,2159821898 Gwei
2025-11-16 13:11:00,2142657566 Gwei
2025-11-16 13:11:15,2128604642 Gwei
2025-11-16 13:11:30,2112626856 Gwei
2025-11-16 13:11:45,2101343727 Gwei
2025-11-16 13:12:00,2089240243 Gwei
2025-11-16 13:12:15,2080031480 Gwei
2025-11-16 13:12:30,2070641915 Gwei
2025-11-16 13:12:45,2063422421 Gwei
2025-11-16 13:13:00,2056370141 Gwei
2025-11-16 13:13:15,2050360891 Gwei
2025-11-16 13:13:30,2044778458 Gwei
2025-11-16 13:13:45,2043916617 Gwei
2025-11-16 13:14:00,2043916617 Gwei
2025-11-16 13:14:15,2043916617 Gwei
2025-11-16 13:14:30,2043916617 Gwei
2025-11-16 13:14:45,2043916617 Gwei
2025-11-16 13:15:00,2043916617 Gwei
2025-11-16 13:15:15,2045294951 Gwei
2025-11-16 13:15:30,2052021137 Gwei
2025-11-16 13:15:45,2059011887 Gwei
2025-11-16 13:16:00,2069512154 Gwei
2025-11-16 13:16:15,2079441434 Gwei
2025-11-16 13:16:30,2093731828 Gwei
2025-11-16 13:16:45,2107115935 Gwei
2025-11-16 13:17:00,2125251102 Gwei
2025-11-16 13:17:15,2141574711 Gwei
2025-11-16 13:17:30,2161635814 Gwei
2025-11-16 13:17:45,2184710219 Gwei
2025-11-16 13:18:00,2215984589 Gwei
2025-11-16 13:18:15,2246833872 Gwei
2025-11-16 13:18:30,2291213062 Gwei
2025-11-16 13:18:45,2332781870 Gwei
2025-11-16 13:19:00,2389119335 Gwei
2025-11-16 13:19:15,2450537805 Gwei
