"Time","Value"
2025-11-16 13:24:00,1100000001 Gwei
2025-11-16 13:24:15,1100000001 Gwei
2025-11-16 13:24:30,1100000001 Gwei
2025-11-16 13:24:45,74118198153 Gwei
2025-11-16 13:25:00,100670270208 Gwei
2025-11-16 13:25:15,100670270208 Gwei
2025-11-16 13:25:30,100638827706 Gwei
2025-11-16 13:25:45,100602893418 Gwei
2025-11-16 13:26:00,100538204824 Gwei
2025-11-16 13:26:15,67814684495 Gwei
2025-11-16 13:26:30,2457140206 Gwei
2025-11-16 13:26:45,2429470543 Gwei
2025-11-16 13:27:00,2392797787 Gwei
2025-11-16 13:27:15,2387155825 Gwei
2025-11-16 13:27:30,2373318166 Gwei
2025-11-16 13:27:45,2352561678 Gwei
2025-11-16 13:28:00,2324343180 Gwei
2025-11-16 13:28:15,2310470647 Gwei
2025-11-16 13:28:30,2293314440 Gwei
2025-11-16 13:28:45,2276309122 Gwei
2025-11-16 13:29:00,2242736358 Gwei
2025-11-16 13:29:15,2214858992 Gwei
2025-11-16 13:29:30,2192359314 Gwei
2025-11-16 13:29:45,2171672860 Gwei
2025-11-16 13:30:00,2151904706 Gwei
2025-11-16 13:30:15,2135035229 Gwei
2025-11-16 13:30:30,2121395699 Gwei
2025-11-16 13:30:45,2108499582 Gwei
2025-11-16 13:31:00,2095806171 Gwei
2025-11-16 13:31:15,2084565514 Gwei
2025-11-16 13:31:30,2075866401 Gwei
2025-11-16 13:31:45,2067387449 Gwei
2025-11-16 13:32:00,2065379478 Gwei
2025-11-16 13:32:15,2065379478 Gwei
2025-11-16 13:32:30,2065379478 Gwei
2025-11-16 13:32:45,2065379478 Gwei
2025-11-16 13:33:00,2065379478 Gwei
2025-11-16 13:33:15,2065379478 Gwei
2025-11-16 13:33:30,2066032430 Gwei
2025-11-16 13:33:45,2070759025 Gwei
2025-11-16 13:34:00,2081790388 Gwei
2025-11-16 13:34:15,2090854335 Gwei
2025-11-16 13:34:30,2100369507 Gwei
2025-11-16 13:34:45,2112693485 Gwei
2025-11-16 13:35:00,2128145999 Gwei
2025-11-16 13:35:15,2144165988 Gwei
2025-11-16 13:35:30,2153844047 Gwei
2025-11-16 13:35:45,2172683392 Gwei
2025-11-16 13:36:00,2199814758 Gwei
2025-11-16 13:36:15,2225538384 Gwei
2025-11-16 13:36:30,2247977359 Gwei
2025-11-16 13:36:45,2285653758 Gwei
2025-11-16 13:37:00,2327297183 Gwei
2025-11-16 13:37:15,2369740436 Gwei
2025-11-16 13:37:30,2409823621 Gwei
2025-11-16 13:37:45,2464649544 Gwei
2025-11-16 13:38:00,2517992277 Gwei
2025-11-16 13:38:15,2583492800 Gwei
