"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}"
2025-11-30 01:28:15,2.61 kb/s,2.77 kb/s,2.66 kb/s,1.79 kb/s,2.93 kb/s,3.10 kb/s,2.62 kb/s,2.45 kb/s,2.32 kb/s,2.59 kb/s,1.54 kb/s,2.59 kb/s,,,,,,,,,,,,
2025-11-30 01:28:30,44.8 kb/s,36.7 kb/s,7.72 kb/s,7.04 kb/s,32.2 kb/s,34.9 kb/s,34.0 kb/s,7.57 kb/s,42.4 kb/s,38.9 kb/s,7.46 kb/s,34.8 kb/s,,,,,,,,,,,,
2025-11-30 01:28:45,75.6 kb/s,74.9 kb/s,52.5 kb/s,66.5 kb/s,60.2 kb/s,70.6 kb/s,65.1 kb/s,74.2 kb/s,66.3 kb/s,74.8 kb/s,46.4 kb/s,73.3 kb/s,,,,,,,,,,,,
2025-11-30 01:29:00,115 kb/s,99.7 kb/s,97.1 kb/s,97.8 kb/s,94.2 kb/s,105 kb/s,113 kb/s,104 kb/s,112 kb/s,117 kb/s,90.7 kb/s,115 kb/s,,,,,,,,,,,,
2025-11-30 01:29:15,166 kb/s,131 kb/s,129 kb/s,131 kb/s,124 kb/s,143 kb/s,150 kb/s,131 kb/s,141 kb/s,147 kb/s,116 kb/s,151 kb/s,,,,,,,,,,,,
2025-11-30 01:29:30,204 kb/s,165 kb/s,169 kb/s,162 kb/s,176 kb/s,190 kb/s,181 kb/s,172 kb/s,172 kb/s,178 kb/s,157 kb/s,182 kb/s,,,,,,,,,,,,
2025-11-30 01:29:45,240 kb/s,209 kb/s,197 kb/s,220 kb/s,203 kb/s,216 kb/s,216 kb/s,220 kb/s,202 kb/s,212 kb/s,194 kb/s,215 kb/s,,,,,,,,,,,,
2025-11-30 01:30:00,274 kb/s,242 kb/s,246 kb/s,251 kb/s,243 kb/s,239 kb/s,256 kb/s,249 kb/s,251 kb/s,256 kb/s,236 kb/s,260 kb/s,,,,,,,,,,,,
2025-11-30 01:30:15,338 kb/s,270 kb/s,275 kb/s,278 kb/s,269 kb/s,271 kb/s,284 kb/s,279 kb/s,279 kb/s,285 kb/s,267 kb/s,291 kb/s,,,,,,,,,,,,
2025-11-30 01:30:30,370 kb/s,304 kb/s,308 kb/s,321 kb/s,315 kb/s,316 kb/s,315 kb/s,318 kb/s,314 kb/s,313 kb/s,304 kb/s,315 kb/s,,,,,,,,,,,,
2025-11-30 01:30:45,405 kb/s,341 kb/s,336 kb/s,377 kb/s,345 kb/s,348 kb/s,352 kb/s,366 kb/s,345 kb/s,348 kb/s,340 kb/s,341 kb/s,,,,,,,,,,,,
2025-11-30 01:31:00,450 kb/s,373 kb/s,385 kb/s,409 kb/s,378 kb/s,377 kb/s,393 kb/s,395 kb/s,388 kb/s,393 kb/s,381 kb/s,382 kb/s,,,,,,,,,,,,
2025-11-30 01:31:15,493 kb/s,402 kb/s,416 kb/s,435 kb/s,403 kb/s,413 kb/s,438 kb/s,425 kb/s,414 kb/s,419 kb/s,411 kb/s,411 kb/s,,,,,,,,,,,,
2025-11-30 01:31:30,527 kb/s,434 kb/s,452 kb/s,470 kb/s,445 kb/s,458 kb/s,474 kb/s,458 kb/s,449 kb/s,450 kb/s,442 kb/s,436 kb/s,,,,,,,,,,,,
2025-11-30 01:31:45,558 kb/s,468 kb/s,476 kb/s,526 kb/s,472 kb/s,487 kb/s,513 kb/s,501 kb/s,482 kb/s,483 kb/s,471 kb/s,466 kb/s,,,,,,,,,,,,
2025-11-30 01:32:00,595 kb/s,498 kb/s,526 kb/s,554 kb/s,504 kb/s,517 kb/s,553 kb/s,527 kb/s,530 kb/s,531 kb/s,511 kb/s,513 kb/s,,,,,,,,,,,,
2025-11-30 01:32:15,645 kb/s,523 kb/s,555 kb/s,581 kb/s,534 kb/s,548 kb/s,581 kb/s,554 kb/s,562 kb/s,566 kb/s,541 kb/s,540 kb/s,,,,,,,,,,,,
2025-11-30 01:32:30,678 kb/s,557 kb/s,585 kb/s,616 kb/s,584 kb/s,604 kb/s,612 kb/s,586 kb/s,597 kb/s,597 kb/s,576 kb/s,567 kb/s,,,,,,,,,,,,
2025-11-30 01:32:45,709 kb/s,595 kb/s,608 kb/s,662 kb/s,609 kb/s,635 kb/s,647 kb/s,627 kb/s,626 kb/s,631 kb/s,612 kb/s,602 kb/s,,,,,,,,,,,,
