"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}"
2025-11-30 01:28:15,16.5 kb/s,12.5 kb/s,17.6 kb/s,16.3 kb/s,18.7 kb/s,20.0 kb/s,15.2 kb/s,17.1 kb/s,13.1 kb/s,14.3 kb/s,16.9 kb/s,14.5 kb/s,,,,,,,,,,,,
2025-11-30 01:28:30,56.8 kb/s,47.5 kb/s,30.2 kb/s,28.4 kb/s,63.1 kb/s,55.5 kb/s,46.9 kb/s,29.2 kb/s,50.3 kb/s,46.3 kb/s,29.5 kb/s,58.0 kb/s,,,,,,,,,,,,
2025-11-30 01:28:45,97.8 kb/s,90.6 kb/s,72.9 kb/s,99.2 kb/s,102 kb/s,89.1 kb/s,83.2 kb/s,97.2 kb/s,77.7 kb/s,81.1 kb/s,74.1 kb/s,93.0 kb/s,,,,,,,,,,,,
2025-11-30 01:29:00,147 kb/s,128 kb/s,135 kb/s,140 kb/s,145 kb/s,126 kb/s,122 kb/s,136 kb/s,126 kb/s,137 kb/s,124 kb/s,144 kb/s,,,,,,,,,,,,
2025-11-30 01:29:15,229 kb/s,159 kb/s,169 kb/s,174 kb/s,180 kb/s,175 kb/s,166 kb/s,172 kb/s,170 kb/s,175 kb/s,166 kb/s,174 kb/s,,,,,,,,,,,,
2025-11-30 01:29:30,271 kb/s,199 kb/s,208 kb/s,224 kb/s,247 kb/s,243 kb/s,204 kb/s,210 kb/s,215 kb/s,210 kb/s,208 kb/s,209 kb/s,,,,,,,,,,,,
2025-11-30 01:29:45,308 kb/s,246 kb/s,249 kb/s,276 kb/s,287 kb/s,288 kb/s,252 kb/s,263 kb/s,248 kb/s,250 kb/s,249 kb/s,249 kb/s,,,,,,,,,,,,
2025-11-30 01:30:00,359 kb/s,279 kb/s,308 kb/s,314 kb/s,331 kb/s,328 kb/s,303 kb/s,298 kb/s,305 kb/s,301 kb/s,301 kb/s,296 kb/s,,,,,,,,,,,,
2025-11-30 01:30:15,422 kb/s,312 kb/s,345 kb/s,363 kb/s,371 kb/s,377 kb/s,357 kb/s,331 kb/s,346 kb/s,337 kb/s,337 kb/s,332 kb/s,,,,,,,,,,,,
2025-11-30 01:30:30,468 kb/s,349 kb/s,388 kb/s,402 kb/s,430 kb/s,432 kb/s,404 kb/s,369 kb/s,389 kb/s,371 kb/s,382 kb/s,368 kb/s,,,,,,,,,,,,
2025-11-30 01:30:45,508 kb/s,399 kb/s,426 kb/s,458 kb/s,468 kb/s,468 kb/s,448 kb/s,419 kb/s,424 kb/s,406 kb/s,423 kb/s,412 kb/s,,,,,,,,,,,,
2025-11-30 01:31:00,554 kb/s,434 kb/s,479 kb/s,495 kb/s,515 kb/s,506 kb/s,503 kb/s,457 kb/s,482 kb/s,459 kb/s,473 kb/s,461 kb/s,,,,,,,,,,,,
2025-11-30 01:31:15,621 kb/s,471 kb/s,515 kb/s,538 kb/s,555 kb/s,547 kb/s,544 kb/s,491 kb/s,522 kb/s,496 kb/s,512 kb/s,496 kb/s,,,,,,,,,,,,
2025-11-30 01:31:30,662 kb/s,509 kb/s,555 kb/s,587 kb/s,612 kb/s,605 kb/s,580 kb/s,532 kb/s,565 kb/s,529 kb/s,560 kb/s,534 kb/s,,,,,,,,,,,,
2025-11-30 01:31:45,701 kb/s,564 kb/s,594 kb/s,645 kb/s,650 kb/s,640 kb/s,624 kb/s,584 kb/s,596 kb/s,573 kb/s,604 kb/s,576 kb/s,,,,,,,,,,,,
2025-11-30 01:32:00,748 kb/s,600 kb/s,643 kb/s,689 kb/s,694 kb/s,673 kb/s,680 kb/s,619 kb/s,654 kb/s,621 kb/s,661 kb/s,622 kb/s,,,,,,,,,,,,
2025-11-30 01:32:15,806 kb/s,636 kb/s,677 kb/s,734 kb/s,732 kb/s,721 kb/s,735 kb/s,660 kb/s,687 kb/s,652 kb/s,702 kb/s,657 kb/s,,,,,,,,,,,,
2025-11-30 01:32:30,855 kb/s,674 kb/s,718 kb/s,780 kb/s,782 kb/s,774 kb/s,772 kb/s,706 kb/s,736 kb/s,688 kb/s,744 kb/s,692 kb/s,,,,,,,,,,,,
2025-11-30 01:32:45,891 kb/s,728 kb/s,751 kb/s,844 kb/s,827 kb/s,815 kb/s,822 kb/s,763 kb/s,772 kb/s,727 kb/s,781 kb/s,730 kb/s,,,,,,,,,,,,
