"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}"
2025-11-29 04:33:00,1.04 kb/s,2.81 kb/s,2.34 kb/s,,3.83 kb/s,,2.40 kb/s,2.34 kb/s,1.60 kb/s,,2.50 kb/s,2.89 kb/s,,,,,,,,,,,,
2025-11-29 04:33:15,6.48 kb/s,34.1 kb/s,28.1 kb/s,3.12 kb/s,8.12 kb/s,7.00 kb/s,29.4 kb/s,38.8 kb/s,6.40 kb/s,3.60 kb/s,7.09 kb/s,6.32 kb/s,,,,,,,,,,,,
2025-11-29 04:33:30,60.8 kb/s,60.0 kb/s,55.5 kb/s,60.6 kb/s,52.9 kb/s,45.8 kb/s,56.3 kb/s,64.3 kb/s,59.2 kb/s,45.1 kb/s,56.3 kb/s,65.1 kb/s,,,,,,,,,,,,
2025-11-29 04:33:45,95.6 kb/s,92.3 kb/s,88.1 kb/s,88.0 kb/s,81.6 kb/s,85.1 kb/s,77.7 kb/s,105 kb/s,85.4 kb/s,72.5 kb/s,82.3 kb/s,92.2 kb/s,,,,,,,,,,,,
2025-11-29 04:34:00,125 kb/s,118 kb/s,114 kb/s,136 kb/s,111 kb/s,114 kb/s,111 kb/s,132 kb/s,113 kb/s,104 kb/s,108 kb/s,126 kb/s,,,,,,,,,,,,
2025-11-29 04:34:15,170 kb/s,161 kb/s,154 kb/s,170 kb/s,145 kb/s,142 kb/s,163 kb/s,169 kb/s,148 kb/s,150 kb/s,147 kb/s,155 kb/s,,,,,,,,,,,,
2025-11-29 04:34:30,219 kb/s,190 kb/s,182 kb/s,206 kb/s,185 kb/s,166 kb/s,195 kb/s,197 kb/s,187 kb/s,177 kb/s,191 kb/s,204 kb/s,,,,,,,,,,,,
2025-11-29 04:34:45,252 kb/s,221 kb/s,214 kb/s,235 kb/s,213 kb/s,208 kb/s,224 kb/s,228 kb/s,216 kb/s,208 kb/s,223 kb/s,234 kb/s,,,,,,,,,,,,
2025-11-29 04:35:00,283 kb/s,244 kb/s,239 kb/s,288 kb/s,243 kb/s,235 kb/s,255 kb/s,257 kb/s,248 kb/s,243 kb/s,250 kb/s,272 kb/s,,,,,,,,,,,,
2025-11-29 04:35:15,312 kb/s,288 kb/s,282 kb/s,315 kb/s,276 kb/s,269 kb/s,297 kb/s,299 kb/s,281 kb/s,282 kb/s,282 kb/s,306 kb/s,,,,,,,,,,,,
2025-11-29 04:35:30,368 kb/s,313 kb/s,308 kb/s,348 kb/s,314 kb/s,300 kb/s,327 kb/s,323 kb/s,327 kb/s,310 kb/s,330 kb/s,359 kb/s,,,,,,,,,,,,
2025-11-29 04:35:45,406 kb/s,342 kb/s,338 kb/s,377 kb/s,347 kb/s,342 kb/s,358 kb/s,360 kb/s,356 kb/s,334 kb/s,361 kb/s,390 kb/s,,,,,,,,,,,,
2025-11-29 04:36:00,437 kb/s,370 kb/s,367 kb/s,422 kb/s,373 kb/s,374 kb/s,388 kb/s,384 kb/s,385 kb/s,362 kb/s,386 kb/s,426 kb/s,,,,,,,,,,,,
2025-11-29 04:36:15,475 kb/s,413 kb/s,406 kb/s,450 kb/s,407 kb/s,405 kb/s,436 kb/s,445 kb/s,420 kb/s,404 kb/s,421 kb/s,457 kb/s,,,,,,,,,,,,
2025-11-29 04:36:30,526 kb/s,443 kb/s,436 kb/s,482 kb/s,454 kb/s,430 kb/s,465 kb/s,471 kb/s,458 kb/s,429 kb/s,466 kb/s,506 kb/s,,,,,,,,,,,,
2025-11-29 04:36:45,548 kb/s,478 kb/s,467 kb/s,514 kb/s,486 kb/s,475 kb/s,489 kb/s,506 kb/s,485 kb/s,462 kb/s,493 kb/s,543 kb/s,,,,,,,,,,,,
2025-11-29 04:37:00,588 kb/s,506 kb/s,494 kb/s,561 kb/s,508 kb/s,505 kb/s,518 kb/s,530 kb/s,513 kb/s,490 kb/s,523 kb/s,583 kb/s,,,,,,,,,,,,
2025-11-29 04:37:15,634 kb/s,551 kb/s,539 kb/s,588 kb/s,540 kb/s,541 kb/s,563 kb/s,577 kb/s,542 kb/s,538 kb/s,559 kb/s,614 kb/s,,,,,,,,,,,,
2025-11-29 04:37:30,689 kb/s,579 kb/s,565 kb/s,626 kb/s,579 kb/s,565 kb/s,591 kb/s,605 kb/s,587 kb/s,569 kb/s,609 kb/s,651 kb/s,,,,,,,,,,,,
