"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}"
2025-11-29 04:33:00,14.0 kb/s,14.5 kb/s,15.1 kb/s,,15.4 kb/s,,15.6 kb/s,15.1 kb/s,13.7 kb/s,,13.8 kb/s,17.4 kb/s,,,,,,,,,,,,
2025-11-29 04:33:15,26.0 kb/s,55.0 kb/s,44.2 kb/s,17.6 kb/s,26.8 kb/s,21.2 kb/s,43.5 kb/s,47.2 kb/s,25.2 kb/s,21.1 kb/s,25.4 kb/s,24.3 kb/s,,,,,,,,,,,,
2025-11-29 04:33:30,88.2 kb/s,89.7 kb/s,68.6 kb/s,74.6 kb/s,62.9 kb/s,61.1 kb/s,72.8 kb/s,86.0 kb/s,74.2 kb/s,75.0 kb/s,76.7 kb/s,90.1 kb/s,,,,,,,,,,,,
2025-11-29 04:33:45,124 kb/s,125 kb/s,103 kb/s,112 kb/s,88.3 kb/s,109 kb/s,105 kb/s,122 kb/s,106 kb/s,121 kb/s,112 kb/s,127 kb/s,,,,,,,,,,,,
2025-11-29 04:34:00,174 kb/s,157 kb/s,133 kb/s,168 kb/s,115 kb/s,141 kb/s,143 kb/s,163 kb/s,139 kb/s,171 kb/s,146 kb/s,175 kb/s,,,,,,,,,,,,
2025-11-29 04:34:15,221 kb/s,204 kb/s,186 kb/s,199 kb/s,150 kb/s,186 kb/s,190 kb/s,228 kb/s,180 kb/s,229 kb/s,180 kb/s,213 kb/s,,,,,,,,,,,,
2025-11-29 04:34:30,293 kb/s,236 kb/s,220 kb/s,247 kb/s,188 kb/s,221 kb/s,224 kb/s,265 kb/s,234 kb/s,269 kb/s,237 kb/s,260 kb/s,,,,,,,,,,,,
2025-11-29 04:34:45,338 kb/s,273 kb/s,262 kb/s,281 kb/s,223 kb/s,278 kb/s,263 kb/s,312 kb/s,268 kb/s,305 kb/s,271 kb/s,299 kb/s,,,,,,,,,,,,
2025-11-29 04:35:00,386 kb/s,305 kb/s,297 kb/s,331 kb/s,251 kb/s,314 kb/s,313 kb/s,350 kb/s,298 kb/s,350 kb/s,306 kb/s,346 kb/s,,,,,,,,,,,,
2025-11-29 04:35:15,447 kb/s,350 kb/s,348 kb/s,366 kb/s,286 kb/s,351 kb/s,370 kb/s,413 kb/s,334 kb/s,397 kb/s,346 kb/s,383 kb/s,,,,,,,,,,,,
2025-11-29 04:35:30,514 kb/s,385 kb/s,385 kb/s,412 kb/s,336 kb/s,385 kb/s,411 kb/s,454 kb/s,380 kb/s,430 kb/s,393 kb/s,438 kb/s,,,,,,,,,,,,
2025-11-29 04:35:45,554 kb/s,425 kb/s,434 kb/s,449 kb/s,365 kb/s,439 kb/s,445 kb/s,499 kb/s,414 kb/s,463 kb/s,429 kb/s,481 kb/s,,,,,,,,,,,,
2025-11-29 04:36:00,602 kb/s,456 kb/s,467 kb/s,508 kb/s,401 kb/s,471 kb/s,486 kb/s,540 kb/s,443 kb/s,504 kb/s,467 kb/s,527 kb/s,,,,,,,,,,,,
2025-11-29 04:36:15,659 kb/s,499 kb/s,524 kb/s,544 kb/s,436 kb/s,513 kb/s,541 kb/s,583 kb/s,489 kb/s,551 kb/s,506 kb/s,565 kb/s,,,,,,,,,,,,
2025-11-29 04:36:30,728 kb/s,532 kb/s,558 kb/s,590 kb/s,484 kb/s,548 kb/s,583 kb/s,630 kb/s,548 kb/s,590 kb/s,560 kb/s,627 kb/s,,,,,,,,,,,,
2025-11-29 04:36:45,779 kb/s,567 kb/s,598 kb/s,624 kb/s,515 kb/s,598 kb/s,628 kb/s,673 kb/s,587 kb/s,623 kb/s,600 kb/s,661 kb/s,,,,,,,,,,,,
2025-11-29 04:37:00,818 kb/s,599 kb/s,634 kb/s,681 kb/s,553 kb/s,634 kb/s,674 kb/s,719 kb/s,624 kb/s,663 kb/s,633 kb/s,706 kb/s,,,,,,,,,,,,
2025-11-29 04:37:15,869 kb/s,641 kb/s,691 kb/s,722 kb/s,587 kb/s,675 kb/s,735 kb/s,782 kb/s,669 kb/s,707 kb/s,672 kb/s,746 kb/s,,,,,,,,,,,,
2025-11-29 04:37:30,939 kb/s,672 kb/s,729 kb/s,766 kb/s,640 kb/s,711 kb/s,777 kb/s,824 kb/s,719 kb/s,743 kb/s,719 kb/s,819 kb/s,,,,,,,,,,,,
