"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}"
2025-11-28 19:16:15,2.57 kb/s,2.42 kb/s,2.37 kb/s,2.97 kb/s,,3.93 kb/s,2.38 kb/s,2.41 kb/s,1.32 kb/s,2.93 kb/s,,,,,,,,,,,,,,
2025-11-28 19:16:30,26.7 kb/s,30.6 kb/s,33.9 kb/s,43.3 kb/s,3.32 kb/s,29.0 kb/s,27.9 kb/s,36.5 kb/s,6.76 kb/s,6.37 kb/s,4.67 kb/s,4.20 kb/s,,,,,,,,,,,,
2025-11-28 19:16:45,59.4 kb/s,55.9 kb/s,64.1 kb/s,73.2 kb/s,57.0 kb/s,60.2 kb/s,55.5 kb/s,69.1 kb/s,53.8 kb/s,55.5 kb/s,47.4 kb/s,48.6 kb/s,,,,,,,,,,,,
2025-11-28 19:17:00,109 kb/s,89.6 kb/s,85.2 kb/s,98.7 kb/s,100 kb/s,85.8 kb/s,78.9 kb/s,92.1 kb/s,80.8 kb/s,79.1 kb/s,103 kb/s,92.3 kb/s,,,,,,,,,,,,
2025-11-28 19:17:15,137 kb/s,132 kb/s,137 kb/s,130 kb/s,130 kb/s,113 kb/s,122 kb/s,141 kb/s,114 kb/s,115 kb/s,130 kb/s,116 kb/s,,,,,,,,,,,,
2025-11-28 19:17:30,165 kb/s,163 kb/s,164 kb/s,160 kb/s,164 kb/s,160 kb/s,148 kb/s,168 kb/s,143 kb/s,147 kb/s,158 kb/s,148 kb/s,,,,,,,,,,,,
2025-11-28 19:17:45,203 kb/s,189 kb/s,194 kb/s,191 kb/s,204 kb/s,191 kb/s,184 kb/s,194 kb/s,192 kb/s,198 kb/s,189 kb/s,178 kb/s,,,,,,,,,,,,
2025-11-28 19:18:00,266 kb/s,222 kb/s,225 kb/s,216 kb/s,250 kb/s,215 kb/s,209 kb/s,220 kb/s,219 kb/s,224 kb/s,236 kb/s,219 kb/s,,,,,,,,,,,,
2025-11-28 19:18:15,293 kb/s,272 kb/s,266 kb/s,245 kb/s,275 kb/s,244 kb/s,250 kb/s,268 kb/s,248 kb/s,258 kb/s,266 kb/s,246 kb/s,,,,,,,,,,,,
2025-11-28 19:18:30,326 kb/s,304 kb/s,291 kb/s,285 kb/s,307 kb/s,286 kb/s,277 kb/s,295 kb/s,287 kb/s,282 kb/s,296 kb/s,277 kb/s,,,,,,,,,,,,
2025-11-28 19:18:45,366 kb/s,332 kb/s,325 kb/s,314 kb/s,337 kb/s,310 kb/s,305 kb/s,322 kb/s,335 kb/s,334 kb/s,324 kb/s,307 kb/s,,,,,,,,,,,,
2025-11-28 19:19:00,420 kb/s,368 kb/s,357 kb/s,344 kb/s,388 kb/s,335 kb/s,332 kb/s,348 kb/s,365 kb/s,363 kb/s,376 kb/s,338 kb/s,,,,,,,,,,,,
2025-11-28 19:19:15,456 kb/s,412 kb/s,407 kb/s,374 kb/s,412 kb/s,368 kb/s,379 kb/s,397 kb/s,389 kb/s,397 kb/s,413 kb/s,367 kb/s,,,,,,,,,,,,
2025-11-28 19:19:30,484 kb/s,436 kb/s,438 kb/s,420 kb/s,437 kb/s,416 kb/s,411 kb/s,425 kb/s,428 kb/s,419 kb/s,447 kb/s,394 kb/s,,,,,,,,,,,,
2025-11-28 19:19:45,517 kb/s,462 kb/s,476 kb/s,452 kb/s,472 kb/s,442 kb/s,447 kb/s,464 kb/s,473 kb/s,469 kb/s,481 kb/s,422 kb/s,,,,,,,,,,,,
2025-11-28 19:20:00,567 kb/s,503 kb/s,505 kb/s,478 kb/s,508 kb/s,465 kb/s,477 kb/s,494 kb/s,503 kb/s,498 kb/s,530 kb/s,463 kb/s,,,,,,,,,,,,
2025-11-28 19:20:15,594 kb/s,547 kb/s,551 kb/s,510 kb/s,535 kb/s,499 kb/s,527 kb/s,541 kb/s,525 kb/s,535 kb/s,557 kb/s,496 kb/s,,,,,,,,,,,,
2025-11-28 19:20:30,624 kb/s,575 kb/s,582 kb/s,559 kb/s,566 kb/s,545 kb/s,557 kb/s,567 kb/s,563 kb/s,563 kb/s,584 kb/s,525 kb/s,,,,,,,,,,,,
2025-11-28 19:20:45,665 kb/s,602 kb/s,615 kb/s,588 kb/s,605 kb/s,573 kb/s,591 kb/s,601 kb/s,605 kb/s,610 kb/s,623 kb/s,555 kb/s,,,,,,,,,,,,
