"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}"
2025-11-28 19:16:15,13.0 kb/s,15.8 kb/s,14.0 kb/s,18.7 kb/s,,18.0 kb/s,14.1 kb/s,13.7 kb/s,14.5 kb/s,19.3 kb/s,,,,,,,,,,,,,,
2025-11-28 19:16:30,47.7 kb/s,49.7 kb/s,52.0 kb/s,48.2 kb/s,19.2 kb/s,49.8 kb/s,42.7 kb/s,47.3 kb/s,26.3 kb/s,26.0 kb/s,23.3 kb/s,23.0 kb/s,,,,,,,,,,,,
2025-11-28 19:16:45,90.9 kb/s,78.4 kb/s,97.0 kb/s,76.4 kb/s,60.1 kb/s,73.2 kb/s,74.6 kb/s,83.2 kb/s,78.3 kb/s,73.9 kb/s,77.9 kb/s,65.4 kb/s,,,,,,,,,,,,
2025-11-28 19:17:00,151 kb/s,117 kb/s,138 kb/s,105 kb/s,116 kb/s,102 kb/s,104 kb/s,120 kb/s,115 kb/s,108 kb/s,136 kb/s,112 kb/s,,,,,,,,,,,,
2025-11-28 19:17:15,196 kb/s,180 kb/s,191 kb/s,134 kb/s,149 kb/s,142 kb/s,152 kb/s,168 kb/s,142 kb/s,148 kb/s,175 kb/s,152 kb/s,,,,,,,,,,,,
2025-11-28 19:17:30,243 kb/s,218 kb/s,230 kb/s,174 kb/s,178 kb/s,189 kb/s,189 kb/s,203 kb/s,195 kb/s,181 kb/s,216 kb/s,187 kb/s,,,,,,,,,,,,
2025-11-28 19:17:45,293 kb/s,263 kb/s,275 kb/s,202 kb/s,209 kb/s,220 kb/s,223 kb/s,251 kb/s,247 kb/s,234 kb/s,260 kb/s,226 kb/s,,,,,,,,,,,,
2025-11-28 19:18:00,347 kb/s,308 kb/s,307 kb/s,229 kb/s,262 kb/s,252 kb/s,254 kb/s,284 kb/s,290 kb/s,275 kb/s,314 kb/s,283 kb/s,,,,,,,,,,,,
2025-11-28 19:18:15,395 kb/s,363 kb/s,367 kb/s,263 kb/s,301 kb/s,290 kb/s,310 kb/s,334 kb/s,325 kb/s,317 kb/s,357 kb/s,317 kb/s,,,,,,,,,,,,
2025-11-28 19:18:30,435 kb/s,400 kb/s,409 kb/s,300 kb/s,331 kb/s,342 kb/s,348 kb/s,367 kb/s,370 kb/s,357 kb/s,395 kb/s,353 kb/s,,,,,,,,,,,,
2025-11-28 19:18:45,475 kb/s,437 kb/s,445 kb/s,332 kb/s,374 kb/s,377 kb/s,390 kb/s,410 kb/s,428 kb/s,410 kb/s,434 kb/s,388 kb/s,,,,,,,,,,,,
2025-11-28 19:19:00,538 kb/s,483 kb/s,481 kb/s,361 kb/s,423 kb/s,411 kb/s,430 kb/s,447 kb/s,469 kb/s,445 kb/s,490 kb/s,450 kb/s,,,,,,,,,,,,
2025-11-28 19:19:15,580 kb/s,543 kb/s,536 kb/s,401 kb/s,465 kb/s,444 kb/s,491 kb/s,499 kb/s,507 kb/s,488 kb/s,524 kb/s,487 kb/s,,,,,,,,,,,,
2025-11-28 19:19:30,627 kb/s,585 kb/s,575 kb/s,449 kb/s,500 kb/s,487 kb/s,522 kb/s,539 kb/s,546 kb/s,532 kb/s,569 kb/s,525 kb/s,,,,,,,,,,,,
2025-11-28 19:19:45,679 kb/s,626 kb/s,614 kb/s,484 kb/s,541 kb/s,522 kb/s,564 kb/s,576 kb/s,603 kb/s,592 kb/s,607 kb/s,566 kb/s,,,,,,,,,,,,
2025-11-28 19:20:00,747 kb/s,669 kb/s,651 kb/s,519 kb/s,605 kb/s,556 kb/s,599 kb/s,612 kb/s,640 kb/s,629 kb/s,659 kb/s,619 kb/s,,,,,,,,,,,,
2025-11-28 19:20:15,796 kb/s,731 kb/s,707 kb/s,558 kb/s,641 kb/s,589 kb/s,654 kb/s,666 kb/s,682 kb/s,674 kb/s,701 kb/s,653 kb/s,,,,,,,,,,,,
2025-11-28 19:20:30,842 kb/s,777 kb/s,746 kb/s,610 kb/s,675 kb/s,636 kb/s,687 kb/s,707 kb/s,728 kb/s,713 kb/s,742 kb/s,693 kb/s,,,,,,,,,,,,
2025-11-28 19:20:45,885 kb/s,819 kb/s,790 kb/s,646 kb/s,715 kb/s,678 kb/s,728 kb/s,748 kb/s,789 kb/s,773 kb/s,783 kb/s,734 kb/s,,,,,,,,,,,,
