"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}"
2025-11-30 04:31:00,,2.52 kb/s,,3.10 kb/s,,3.35 kb/s,,2.73 kb/s,2.36 kb/s,2.37 kb/s,2.78 kb/s,2.66 kb/s,,,,,,,,,,,,
2025-11-30 04:31:15,4.10 kb/s,41.9 kb/s,3.31 kb/s,7.94 kb/s,3.41 kb/s,23.7 kb/s,8.51 kb/s,39.1 kb/s,36.6 kb/s,32.5 kb/s,7.60 kb/s,32.2 kb/s,,,,,,,,,,,,
2025-11-30 04:31:30,51.2 kb/s,68.9 kb/s,58.1 kb/s,61.8 kb/s,53.8 kb/s,64.6 kb/s,57.9 kb/s,68.2 kb/s,59.6 kb/s,63.1 kb/s,71.8 kb/s,66.1 kb/s,,,,,,,,,,,,
2025-11-30 04:31:45,104 kb/s,102 kb/s,112 kb/s,92.2 kb/s,103 kb/s,90.9 kb/s,93.7 kb/s,97.5 kb/s,91.3 kb/s,100 kb/s,102 kb/s,103 kb/s,,,,,,,,,,,,
2025-11-30 04:32:00,144 kb/s,147 kb/s,142 kb/s,124 kb/s,132 kb/s,128 kb/s,116 kb/s,132 kb/s,130 kb/s,131 kb/s,132 kb/s,133 kb/s,,,,,,,,,,,,
2025-11-30 04:32:15,179 kb/s,174 kb/s,182 kb/s,153 kb/s,161 kb/s,168 kb/s,152 kb/s,182 kb/s,162 kb/s,161 kb/s,171 kb/s,183 kb/s,,,,,,,,,,,,
2025-11-30 04:32:30,217 kb/s,200 kb/s,212 kb/s,195 kb/s,193 kb/s,206 kb/s,189 kb/s,207 kb/s,194 kb/s,191 kb/s,225 kb/s,210 kb/s,,,,,,,,,,,,
2025-11-30 04:32:45,271 kb/s,229 kb/s,249 kb/s,234 kb/s,246 kb/s,237 kb/s,232 kb/s,237 kb/s,232 kb/s,229 kb/s,259 kb/s,243 kb/s,,,,,,,,,,,,
2025-11-30 04:33:00,310 kb/s,270 kb/s,281 kb/s,264 kb/s,279 kb/s,273 kb/s,260 kb/s,270 kb/s,274 kb/s,261 kb/s,293 kb/s,266 kb/s,,,,,,,,,,,,
2025-11-30 04:33:15,341 kb/s,303 kb/s,309 kb/s,304 kb/s,305 kb/s,324 kb/s,294 kb/s,323 kb/s,302 kb/s,289 kb/s,331 kb/s,316 kb/s,,,,,,,,,,,,
2025-11-30 04:33:30,375 kb/s,331 kb/s,340 kb/s,343 kb/s,340 kb/s,362 kb/s,334 kb/s,360 kb/s,329 kb/s,322 kb/s,394 kb/s,353 kb/s,,,,,,,,,,,,
2025-11-30 04:33:45,428 kb/s,367 kb/s,387 kb/s,383 kb/s,384 kb/s,386 kb/s,382 kb/s,395 kb/s,370 kb/s,360 kb/s,424 kb/s,382 kb/s,,,,,,,,,,,,
2025-11-30 04:34:00,459 kb/s,416 kb/s,418 kb/s,418 kb/s,410 kb/s,422 kb/s,410 kb/s,428 kb/s,416 kb/s,394 kb/s,452 kb/s,410 kb/s,,,,,,,,,,,,
2025-11-30 04:34:15,488 kb/s,442 kb/s,449 kb/s,455 kb/s,441 kb/s,460 kb/s,451 kb/s,475 kb/s,451 kb/s,422 kb/s,484 kb/s,453 kb/s,,,,,,,,,,,,
2025-11-30 04:34:30,527 kb/s,470 kb/s,487 kb/s,504 kb/s,473 kb/s,503 kb/s,486 kb/s,503 kb/s,480 kb/s,451 kb/s,523 kb/s,478 kb/s,,,,,,,,,,,,
2025-11-30 04:34:45,591 kb/s,505 kb/s,540 kb/s,547 kb/s,521 kb/s,528 kb/s,523 kb/s,530 kb/s,515 kb/s,493 kb/s,552 kb/s,509 kb/s,,,,,,,,,,,,
2025-11-30 04:35:00,625 kb/s,558 kb/s,568 kb/s,584 kb/s,545 kb/s,568 kb/s,549 kb/s,563 kb/s,557 kb/s,530 kb/s,581 kb/s,534 kb/s,,,,,,,,,,,,
2025-11-30 04:35:15,660 kb/s,592 kb/s,606 kb/s,622 kb/s,566 kb/s,610 kb/s,584 kb/s,611 kb/s,585 kb/s,566 kb/s,612 kb/s,578 kb/s,,,,,,,,,,,,
2025-11-30 04:35:30,702 kb/s,616 kb/s,644 kb/s,663 kb/s,600 kb/s,654 kb/s,613 kb/s,645 kb/s,613 kb/s,603 kb/s,664 kb/s,605 kb/s,,,,,,,,,,,,
2025-11-30 04:35:45,758 kb/s,651 kb/s,691 kb/s,703 kb/s,644 kb/s,687 kb/s,649 kb/s,679 kb/s,650 kb/s,644 kb/s,690 kb/s,642 kb/s,,,,,,,,,,,,
2025-11-30 04:36:00,796 kb/s,681 kb/s,727 kb/s,735 kb/s,674 kb/s,717 kb/s,675 kb/s,696 kb/s,688 kb/s,673 kb/s,723 kb/s,660 kb/s,,,,,,,,,,,,
2025-11-30 04:36:15,794 kb/s,689 kb/s,722 kb/s,728 kb/s,672 kb/s,725 kb/s,679 kb/s,718 kb/s,702 kb/s,671 kb/s,708 kb/s,681 kb/s,,,,,,,,,,,,
2025-11-30 04:36:30,787 kb/s,685 kb/s,714 kb/s,741 kb/s,669 kb/s,736 kb/s,684 kb/s,721 kb/s,701 kb/s,667 kb/s,728 kb/s,674 kb/s,,,,,,,,,,,,
