"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-besu:5054"", job=""cl-04-lighthouse-besu"", service=""cl-04-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-besu:5054"", job=""cl-06-lighthouse-besu"", service=""cl-06-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-besu:5054"", job=""cl-08-lighthouse-besu"", service=""cl-08-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-besu:5054"", job=""cl-02-lighthouse-besu"", service=""cl-02-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-besu:5054"", job=""cl-01-lighthouse-besu"", service=""cl-01-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-besu:5054"", job=""cl-05-lighthouse-besu"", service=""cl-05-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-besu:5054"", job=""cl-03-lighthouse-besu"", service=""cl-03-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-besu:5054"", job=""cl-07-lighthouse-besu"", service=""cl-07-lighthouse-besu"", supernode=""True""}"
2025-11-30 04:31:00,,15.8 kb/s,,16.9 kb/s,,19.7 kb/s,,17.4 kb/s,15.0 kb/s,14.0 kb/s,15.9 kb/s,16.9 kb/s,,,,,,,,,,,,
2025-11-30 04:31:15,19.8 kb/s,47.1 kb/s,19.2 kb/s,28.7 kb/s,19.6 kb/s,43.0 kb/s,23.8 kb/s,56.3 kb/s,46.0 kb/s,41.5 kb/s,27.7 kb/s,60.3 kb/s,,,,,,,,,,,,
2025-11-30 04:31:30,89.7 kb/s,81.1 kb/s,69.5 kb/s,89.7 kb/s,65.8 kb/s,93.3 kb/s,79.4 kb/s,94.1 kb/s,77.1 kb/s,70.4 kb/s,89.3 kb/s,89.8 kb/s,,,,,,,,,,,,
2025-11-30 04:31:45,163 kb/s,123 kb/s,114 kb/s,137 kb/s,111 kb/s,136 kb/s,133 kb/s,129 kb/s,116 kb/s,106 kb/s,125 kb/s,126 kb/s,,,,,,,,,,,,
2025-11-30 04:32:00,201 kb/s,182 kb/s,149 kb/s,169 kb/s,151 kb/s,175 kb/s,174 kb/s,179 kb/s,178 kb/s,147 kb/s,162 kb/s,158 kb/s,,,,,,,,,,,,
2025-11-30 04:32:15,246 kb/s,224 kb/s,172 kb/s,215 kb/s,186 kb/s,217 kb/s,221 kb/s,233 kb/s,217 kb/s,180 kb/s,203 kb/s,209 kb/s,,,,,,,,,,,,
2025-11-30 04:32:30,309 kb/s,262 kb/s,215 kb/s,259 kb/s,230 kb/s,260 kb/s,262 kb/s,277 kb/s,250 kb/s,217 kb/s,253 kb/s,246 kb/s,,,,,,,,,,,,
2025-11-30 04:32:45,377 kb/s,309 kb/s,274 kb/s,299 kb/s,281 kb/s,295 kb/s,314 kb/s,317 kb/s,291 kb/s,258 kb/s,290 kb/s,290 kb/s,,,,,,,,,,,,
2025-11-30 04:33:00,424 kb/s,366 kb/s,309 kb/s,335 kb/s,318 kb/s,339 kb/s,348 kb/s,368 kb/s,349 kb/s,299 kb/s,320 kb/s,332 kb/s,,,,,,,,,,,,
2025-11-30 04:33:15,475 kb/s,405 kb/s,345 kb/s,372 kb/s,361 kb/s,384 kb/s,390 kb/s,429 kb/s,390 kb/s,333 kb/s,367 kb/s,385 kb/s,,,,,,,,,,,,
2025-11-30 04:33:30,533 kb/s,448 kb/s,388 kb/s,423 kb/s,409 kb/s,433 kb/s,434 kb/s,465 kb/s,430 kb/s,373 kb/s,417 kb/s,417 kb/s,,,,,,,,,,,,
2025-11-30 04:33:45,609 kb/s,491 kb/s,445 kb/s,466 kb/s,474 kb/s,481 kb/s,476 kb/s,499 kb/s,468 kb/s,419 kb/s,457 kb/s,463 kb/s,,,,,,,,,,,,
2025-11-30 04:34:00,656 kb/s,543 kb/s,484 kb/s,503 kb/s,518 kb/s,523 kb/s,513 kb/s,546 kb/s,522 kb/s,459 kb/s,495 kb/s,497 kb/s,,,,,,,,,,,,
2025-11-30 04:34:15,712 kb/s,589 kb/s,521 kb/s,548 kb/s,555 kb/s,561 kb/s,552 kb/s,603 kb/s,555 kb/s,490 kb/s,543 kb/s,544 kb/s,,,,,,,,,,,,
2025-11-30 04:34:30,766 kb/s,627 kb/s,567 kb/s,592 kb/s,604 kb/s,598 kb/s,595 kb/s,646 kb/s,591 kb/s,528 kb/s,611 kb/s,583 kb/s,,,,,,,,,,,,
2025-11-30 04:34:45,830 kb/s,671 kb/s,621 kb/s,632 kb/s,661 kb/s,636 kb/s,645 kb/s,689 kb/s,635 kb/s,571 kb/s,646 kb/s,629 kb/s,,,,,,,,,,,,
2025-11-30 04:35:00,879 kb/s,720 kb/s,665 kb/s,663 kb/s,704 kb/s,675 kb/s,687 kb/s,736 kb/s,691 kb/s,608 kb/s,685 kb/s,667 kb/s,,,,,,,,,,,,
2025-11-30 04:35:15,929 kb/s,759 kb/s,694 kb/s,710 kb/s,752 kb/s,718 kb/s,738 kb/s,796 kb/s,739 kb/s,637 kb/s,735 kb/s,716 kb/s,,,,,,,,,,,,
2025-11-30 04:35:30,987 kb/s,803 kb/s,735 kb/s,757 kb/s,798 kb/s,761 kb/s,790 kb/s,834 kb/s,778 kb/s,673 kb/s,796 kb/s,756 kb/s,,,,,,,,,,,,
