"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}"
2025-11-28 23:51:45,,964 b/s,1.03 kb/s,1.90 kb/s,,1.98 kb/s,1.42 kb/s,1.75 kb/s,1.25 kb/s,1.24 kb/s,,881 b/s,,,,,,,,,,,,
2025-11-28 23:52:00,2.01 kb/s,3.00 kb/s,3.16 kb/s,3.48 kb/s,1.01 kb/s,3.59 kb/s,3.71 kb/s,3.40 kb/s,3.35 kb/s,3.33 kb/s,1.08 kb/s,3.03 kb/s,,,,,,,,,,,,
2025-11-28 23:52:15,7.44 kb/s,34.8 kb/s,28.6 kb/s,30.0 kb/s,7.03 kb/s,28.9 kb/s,35.7 kb/s,33.5 kb/s,34.8 kb/s,32.0 kb/s,4.40 kb/s,37.6 kb/s,,,,,,,,,,,,
2025-11-28 23:52:30,49.7 kb/s,60.2 kb/s,63.6 kb/s,59.0 kb/s,53.8 kb/s,58.1 kb/s,67.5 kb/s,64.9 kb/s,64.9 kb/s,68.8 kb/s,52.4 kb/s,74.6 kb/s,,,,,,,,,,,,
2025-11-28 23:52:45,108 kb/s,109 kb/s,107 kb/s,90.3 kb/s,87.6 kb/s,84.8 kb/s,94.4 kb/s,102 kb/s,105 kb/s,102 kb/s,104 kb/s,121 kb/s,,,,,,,,,,,,
2025-11-28 23:53:00,152 kb/s,143 kb/s,138 kb/s,124 kb/s,115 kb/s,118 kb/s,127 kb/s,132 kb/s,155 kb/s,130 kb/s,135 kb/s,156 kb/s,,,,,,,,,,,,
2025-11-28 23:53:15,197 kb/s,181 kb/s,170 kb/s,171 kb/s,154 kb/s,165 kb/s,173 kb/s,183 kb/s,187 kb/s,174 kb/s,164 kb/s,186 kb/s,,,,,,,,,,,,
2025-11-28 23:53:30,232 kb/s,210 kb/s,203 kb/s,201 kb/s,196 kb/s,186 kb/s,198 kb/s,215 kb/s,221 kb/s,200 kb/s,198 kb/s,226 kb/s,,,,,,,,,,,,
2025-11-28 23:53:45,300 kb/s,261 kb/s,246 kb/s,232 kb/s,226 kb/s,215 kb/s,228 kb/s,251 kb/s,254 kb/s,235 kb/s,245 kb/s,273 kb/s,,,,,,,,,,,,
2025-11-28 23:54:00,335 kb/s,292 kb/s,275 kb/s,262 kb/s,252 kb/s,254 kb/s,259 kb/s,281 kb/s,296 kb/s,268 kb/s,273 kb/s,305 kb/s,,,,,,,,,,,,
2025-11-28 23:54:15,376 kb/s,323 kb/s,307 kb/s,312 kb/s,281 kb/s,303 kb/s,307 kb/s,324 kb/s,324 kb/s,311 kb/s,304 kb/s,335 kb/s,,,,,,,,,,,,
2025-11-28 23:54:30,408 kb/s,355 kb/s,337 kb/s,342 kb/s,327 kb/s,335 kb/s,339 kb/s,354 kb/s,354 kb/s,341 kb/s,334 kb/s,370 kb/s,,,,,,,,,,,,
2025-11-28 23:54:45,464 kb/s,396 kb/s,384 kb/s,371 kb/s,363 kb/s,366 kb/s,364 kb/s,388 kb/s,385 kb/s,370 kb/s,382 kb/s,416 kb/s,,,,,,,,,,,,
2025-11-28 23:55:00,498 kb/s,420 kb/s,415 kb/s,400 kb/s,392 kb/s,404 kb/s,393 kb/s,423 kb/s,430 kb/s,405 kb/s,413 kb/s,455 kb/s,,,,,,,,,,,,
2025-11-28 23:55:15,537 kb/s,454 kb/s,441 kb/s,447 kb/s,424 kb/s,448 kb/s,443 kb/s,469 kb/s,464 kb/s,446 kb/s,445 kb/s,483 kb/s,,,,,,,,,,,,
2025-11-28 23:55:30,572 kb/s,482 kb/s,480 kb/s,476 kb/s,461 kb/s,482 kb/s,470 kb/s,498 kb/s,491 kb/s,470 kb/s,472 kb/s,527 kb/s,,,,,,,,,,,,
2025-11-28 23:55:45,631 kb/s,522 kb/s,529 kb/s,503 kb/s,492 kb/s,511 kb/s,497 kb/s,528 kb/s,522 kb/s,504 kb/s,515 kb/s,564 kb/s,,,,,,,,,,,,
2025-11-28 23:56:00,668 kb/s,551 kb/s,559 kb/s,537 kb/s,524 kb/s,543 kb/s,528 kb/s,559 kb/s,573 kb/s,529 kb/s,546 kb/s,601 kb/s,,,,,,,,,,,,
2025-11-28 23:56:15,709 kb/s,581 kb/s,588 kb/s,575 kb/s,557 kb/s,585 kb/s,568 kb/s,598 kb/s,605 kb/s,576 kb/s,580 kb/s,633 kb/s,,,,,,,,,,,,
