"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}"
2025-11-28 23:51:45,,11.4 kb/s,11.7 kb/s,14.2 kb/s,,14.6 kb/s,15.2 kb/s,14.2 kb/s,13.7 kb/s,13.9 kb/s,,12.4 kb/s,,,,,,,,,,,,
2025-11-28 23:52:00,16.8 kb/s,19.9 kb/s,20.6 kb/s,24.4 kb/s,16.0 kb/s,24.9 kb/s,25.9 kb/s,24.2 kb/s,23.7 kb/s,23.9 kb/s,16.7 kb/s,21.6 kb/s,,,,,,,,,,,,
2025-11-28 23:52:15,30.1 kb/s,57.4 kb/s,58.2 kb/s,46.9 kb/s,28.8 kb/s,57.6 kb/s,58.7 kb/s,55.4 kb/s,61.0 kb/s,63.0 kb/s,29.8 kb/s,52.7 kb/s,,,,,,,,,,,,
2025-11-28 23:52:30,73.5 kb/s,92.8 kb/s,92.0 kb/s,75.8 kb/s,85.7 kb/s,89.3 kb/s,99.0 kb/s,87.0 kb/s,99.4 kb/s,93.4 kb/s,66.1 kb/s,90.2 kb/s,,,,,,,,,,,,
2025-11-28 23:52:45,153 kb/s,145 kb/s,150 kb/s,108 kb/s,124 kb/s,120 kb/s,142 kb/s,127 kb/s,142 kb/s,137 kb/s,128 kb/s,136 kb/s,,,,,,,,,,,,
2025-11-28 23:53:00,191 kb/s,177 kb/s,190 kb/s,139 kb/s,161 kb/s,154 kb/s,190 kb/s,168 kb/s,203 kb/s,183 kb/s,169 kb/s,184 kb/s,,,,,,,,,,,,
2025-11-28 23:53:15,236 kb/s,214 kb/s,225 kb/s,195 kb/s,201 kb/s,207 kb/s,261 kb/s,216 kb/s,246 kb/s,235 kb/s,210 kb/s,224 kb/s,,,,,,,,,,,,
2025-11-28 23:53:30,283 kb/s,247 kb/s,273 kb/s,228 kb/s,267 kb/s,247 kb/s,304 kb/s,252 kb/s,276 kb/s,272 kb/s,254 kb/s,259 kb/s,,,,,,,,,,,,
2025-11-28 23:53:45,340 kb/s,297 kb/s,337 kb/s,264 kb/s,306 kb/s,282 kb/s,344 kb/s,296 kb/s,327 kb/s,313 kb/s,314 kb/s,307 kb/s,,,,,,,,,,,,
2025-11-28 23:54:00,377 kb/s,332 kb/s,378 kb/s,293 kb/s,347 kb/s,324 kb/s,389 kb/s,334 kb/s,402 kb/s,347 kb/s,355 kb/s,355 kb/s,,,,,,,,,,,,
2025-11-28 23:54:15,416 kb/s,374 kb/s,418 kb/s,335 kb/s,391 kb/s,374 kb/s,447 kb/s,386 kb/s,443 kb/s,396 kb/s,395 kb/s,395 kb/s,,,,,,,,,,,,
2025-11-28 23:54:30,457 kb/s,403 kb/s,469 kb/s,373 kb/s,443 kb/s,411 kb/s,483 kb/s,424 kb/s,485 kb/s,431 kb/s,436 kb/s,437 kb/s,,,,,,,,,,,,
2025-11-28 23:54:45,524 kb/s,460 kb/s,525 kb/s,410 kb/s,479 kb/s,442 kb/s,530 kb/s,469 kb/s,530 kb/s,476 kb/s,496 kb/s,476 kb/s,,,,,,,,,,,,
2025-11-28 23:55:00,568 kb/s,499 kb/s,565 kb/s,448 kb/s,515 kb/s,483 kb/s,586 kb/s,502 kb/s,591 kb/s,514 kb/s,531 kb/s,522 kb/s,,,,,,,,,,,,
2025-11-28 23:55:15,619 kb/s,536 kb/s,604 kb/s,498 kb/s,557 kb/s,537 kb/s,645 kb/s,550 kb/s,624 kb/s,565 kb/s,569 kb/s,559 kb/s,,,,,,,,,,,,
2025-11-28 23:55:30,662 kb/s,568 kb/s,647 kb/s,534 kb/s,623 kb/s,571 kb/s,683 kb/s,587 kb/s,667 kb/s,607 kb/s,613 kb/s,601 kb/s,,,,,,,,,,,,
2025-11-28 23:55:45,727 kb/s,624 kb/s,706 kb/s,569 kb/s,661 kb/s,601 kb/s,719 kb/s,635 kb/s,713 kb/s,647 kb/s,668 kb/s,657 kb/s,,,,,,,,,,,,
2025-11-28 23:56:00,771 kb/s,662 kb/s,746 kb/s,600 kb/s,702 kb/s,639 kb/s,766 kb/s,675 kb/s,769 kb/s,687 kb/s,703 kb/s,704 kb/s,,,,,,,,,,,,
2025-11-28 23:56:15,816 kb/s,701 kb/s,784 kb/s,651 kb/s,747 kb/s,698 kb/s,817 kb/s,730 kb/s,804 kb/s,733 kb/s,741 kb/s,747 kb/s,,,,,,,,,,,,
